group,n,EV_reassess,EV_oracle,headroom,share_headroom_positive,oracle_contains_SKIP_share,oracle_contains_MARKET_share,oracle_contains_LIMIT_RR3_share,oracle_contains_REASSESS_RR3_share
AG,418,0.06008978199046394,0.48917628013871406,0.42908649814825006,0.5358851674641149,0.6220095693779905,0.49521531100478466,0.430622009569378,0.46411483253588515
AL,548,0.009854014598540144,0.48679973266590204,0.47694571806736186,0.5711678832116789,0.5656934306569343,0.5894160583941606,0.3978102189781022,0.42883211678832117
AU,336,0.2078489390025695,0.7338365338175715,0.525987594815002,0.5892857142857143,0.5625,0.5119047619047619,0.3958333333333333,0.4107142857142857
CF,805,0.1425465838509317,0.5557749379557667,0.413228354104835,0.48695652173913045,0.5863354037267081,0.6434782608695652,0.4546583850931677,0.5130434782608696
CU,507,0.010041240810471579,0.40853132842564777,0.39849008761517624,0.5483234714003945,0.5522682445759369,0.5857988165680473,0.4280078895463511,0.4516765285996055
I,1093,0.042543458371454713,0.4150318371269883,0.3724883787555336,0.4775846294602013,0.6340347666971637,0.5608417200365965,0.4473924977127173,0.5224153705397987
M,795,0.03201257861635249,0.4647982931725636,0.4327857145562111,0.5484276729559748,0.5924528301886792,0.5861635220125786,0.43018867924528303,0.45157232704402517
MA,587,-0.0922771152754117,0.35031861404559533,0.44259572932100705,0.5672913117546848,0.5996592844974447,0.5587734241908007,0.3833049403747871,0.43270868824531517
NI,381,0.12387611031379701,0.5497020329089636,0.42582592259516655,0.5380577427821522,0.5958005249343832,0.5301837270341208,0.4225721784776903,0.46194225721784776
P,473,0.23052760401651287,0.7316230066299442,0.5010954026134313,0.5835095137420718,0.47568710359408034,0.6321353065539113,0.3890063424947146,0.4164904862579281
RB,1043,0.03355704697986577,0.4751358814829545,0.4415788345030887,0.5925215723873442,0.5369127516778524,0.5934803451581975,0.34419942473633747,0.4074784276126558
RU,532,0.22744360902255845,0.6636186348450388,0.4361750258224803,0.5263157894736842,0.6165413533834586,0.5281954887218046,0.43796992481203006,0.47368421052631576
SC,412,0.024670655756884978,0.38808408844759906,0.36341343269071413,0.47572815533980584,0.6699029126213593,0.4878640776699029,0.4684466019417476,0.5242718446601942
SN,401,0.05174684881720291,0.5104023067727617,0.4586554579555587,0.6084788029925187,0.5411471321695761,0.5660847880299252,0.371571072319202,0.3915211970074813
TA,684,-0.048858976944276815,0.45417232979202454,0.5030313067363014,0.5584795321637427,0.6198830409356725,0.5760233918128655,0.37719298245614036,0.4415204678362573
