signal_bar_index,signal_bar_time,side,event_type,structure_level,momentum_bcolor,momentum_val,higher_swing_bias,oracle_penalty_bp,nearest_oracle_entry_index,nearest_oracle_entry_time,signed_distance_bars,abs_distance_bars
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,5,863,2025-11-19 11:00:00,1,1
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,10,863,2025-11-19 11:00:00,1,1
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,20,854,2025-11-18 14:00:00,-8,8
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,30,854,2025-11-18 14:00:00,-8,8
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,50,854,2025-11-18 14:00:00,-8,8
862,2025-11-19 10:00:00,BUY,CHoCH,Internal,lime,83.09821428571439,1,80,854,2025-11-18 14:00:00,-8,8
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,5,909,2025-11-25 14:00:00,4,4
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,10,909,2025-11-25 14:00:00,4,4
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,20,909,2025-11-25 14:00:00,4,4
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,30,912,2025-11-25 23:00:00,7,7
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,50,912,2025-11-25 23:00:00,7,7
905,2025-11-25 09:00:00,BUY,CHoCH,Internal,lime,180.06500000000023,1,80,912,2025-11-25 23:00:00,7,7
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,5,937,2025-11-28 02:00:00,-1,1
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,10,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,20,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,30,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,50,953,2025-12-01 14:00:00,15,15
938,2025-11-28 09:00:00,BUY,BOS,Internal,lime,163.74607142857116,1,80,953,2025-12-01 14:00:00,15,15
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,5,937,2025-11-28 02:00:00,-1,1
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,10,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,20,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,30,933,2025-11-27 22:00:00,-5,5
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,50,953,2025-12-01 14:00:00,15,15
938,2025-11-28 09:00:00,BUY,BOS,Swing,lime,163.74607142857116,1,80,953,2025-12-01 14:00:00,15,15
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,5,960,2025-12-02 09:00:00,3,3
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,10,960,2025-12-02 09:00:00,3,3
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,20,960,2025-12-02 09:00:00,3,3
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,30,953,2025-12-01 14:00:00,-4,4
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,50,953,2025-12-01 14:00:00,-4,4
957,2025-12-02 00:00:00,BUY,BOS,Internal,lime,524.0553571428568,1,80,953,2025-12-01 14:00:00,-4,4
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,5,970,2025-12-03 02:00:00,-2,2
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,10,975,2025-12-03 14:00:00,3,3
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,20,975,2025-12-03 14:00:00,3,3
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,30,975,2025-12-03 14:00:00,3,3
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,50,975,2025-12-03 14:00:00,3,3
972,2025-12-03 10:00:00,BUY,BOS,Internal,lime,70.37500000000045,1,80,975,2025-12-03 14:00:00,3,3
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,5,1001,2025-12-06 00:00:00,1,1
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,10,1001,2025-12-06 00:00:00,1,1
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,20,1001,2025-12-06 00:00:00,1,1
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,30,1004,2025-12-08 09:00:00,4,4
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,50,1004,2025-12-08 09:00:00,4,4
1000,2025-12-05 23:00:00,BUY,CHoCH,Internal,lime,116.14321428571404,1,80,988,2025-12-04 22:00:00,-12,12
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,5,1018,2025-12-09 13:00:00,-2,2
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,10,1018,2025-12-09 13:00:00,-2,2
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,20,1018,2025-12-09 13:00:00,-2,2
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,30,1018,2025-12-09 13:00:00,-2,2
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,50,1018,2025-12-09 13:00:00,-2,2
1020,2025-12-09 21:00:00,BUY,BOS,Internal,maroon,-62.81500000000011,1,80,1018,2025-12-09 13:00:00,-2,2
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,5,1036,2025-12-11 02:00:00,-1,1
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,10,1036,2025-12-11 02:00:00,-1,1
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,20,1036,2025-12-11 02:00:00,-1,1
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,30,1040,2025-12-11 13:00:00,3,3
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,50,1040,2025-12-11 13:00:00,3,3
1037,2025-12-11 09:00:00,BUY,BOS,Internal,lime,359.06964285714287,1,80,1040,2025-12-11 13:00:00,3,3
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,5,1040,2025-12-11 13:00:00,-4,4
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,10,1040,2025-12-11 13:00:00,-4,4
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,20,1040,2025-12-11 13:00:00,-4,4
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,30,1040,2025-12-11 13:00:00,-4,4
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,50,1040,2025-12-11 13:00:00,-4,4
1044,2025-12-11 23:00:00,BUY,BOS,Internal,lime,239.58750000000015,1,80,1040,2025-12-11 13:00:00,-4,4
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,5,1052,2025-12-12 14:00:00,-1,1
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,10,1050,2025-12-12 11:00:00,-3,3
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,20,1050,2025-12-12 11:00:00,-3,3
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,30,1050,2025-12-12 11:00:00,-3,3
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,50,1050,2025-12-12 11:00:00,-3,3
1053,2025-12-12 21:00:00,BUY,BOS,Internal,lime,397.3575,1,80,1056,2025-12-13 00:00:00,3,3
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,5,1078,2025-12-17 00:00:00,-3,3
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,10,1078,2025-12-17 00:00:00,-3,3
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,20,1088,2025-12-17 23:00:00,7,7
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,30,1088,2025-12-17 23:00:00,7,7
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,50,1088,2025-12-17 23:00:00,7,7
1081,2025-12-17 09:00:00,BUY,CHoCH,Internal,lime,100.77607142857141,1,80,1073,2025-12-16 13:00:00,-8,8
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,5,1117,2025-12-22 13:00:00,6,6
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,10,1117,2025-12-22 13:00:00,6,6
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,20,1117,2025-12-22 13:00:00,6,6
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,30,1117,2025-12-22 13:00:00,6,6
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,50,1104,2025-12-19 10:00:00,-7,7
1111,2025-12-20 00:00:00,BUY,BOS,Internal,maroon,-55.218928571428506,1,80,1104,2025-12-19 10:00:00,-7,7
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,5,1137,2025-12-24 10:00:00,1,1
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,10,1137,2025-12-24 10:00:00,1,1
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,20,1137,2025-12-24 10:00:00,1,1
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,30,1137,2025-12-24 10:00:00,1,1
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,50,1131,2025-12-23 22:00:00,-5,5
1136,2025-12-24 09:00:00,BUY,BOS,Internal,lime,473.8775000000004,1,80,1143,2025-12-24 23:00:00,7,7
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,5,1149,2025-12-25 11:00:00,-3,3
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,10,1149,2025-12-25 11:00:00,-3,3
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,20,1149,2025-12-25 11:00:00,-3,3
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,30,1149,2025-12-25 11:00:00,-3,3
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,50,1149,2025-12-25 11:00:00,-3,3
1152,2025-12-25 21:00:00,BUY,BOS,Internal,lime,166.34000000000003,1,80,1143,2025-12-24 23:00:00,-9,9
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,5,1199,2026-01-05 13:00:00,-3,3
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,10,1199,2026-01-05 13:00:00,-3,3
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,20,1206,2026-01-06 02:00:00,4,4
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,30,1206,2026-01-06 02:00:00,4,4
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,50,1194,2025-12-31 13:00:00,-8,8
1202,2026-01-05 22:00:00,BUY,CHoCH,Internal,lime,169.51428571428553,1,80,1194,2025-12-31 13:00:00,-8,8
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,5,1249,2026-01-10 01:00:00,2,2
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,10,1249,2026-01-10 01:00:00,2,2
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,20,1249,2026-01-10 01:00:00,2,2
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,30,1249,2026-01-10 01:00:00,2,2
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,50,1249,2026-01-10 01:00:00,2,2
1247,2026-01-09 23:00:00,BUY,CHoCH,Internal,lime,369.59321428571457,1,80,1257,2026-01-12 22:00:00,10,10
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,5,1309,2026-01-19 13:00:00,-1,1
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,10,1311,2026-01-19 21:00:00,1,1
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,20,1311,2026-01-19 21:00:00,1,1
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,30,1311,2026-01-19 21:00:00,1,1
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,50,1302,2026-01-16 23:00:00,-8,8
1310,2026-01-19 14:00:00,BUY,CHoCH,Internal,lime,167.1600000000005,1,80,1302,2026-01-16 23:00:00,-8,8
1345,2026-01-22 22:00:00,BUY,CHoCH,Internal,lime,195.1367857142865,1,5,1344,2026-01-22 21:00:00,-1,1
1345,2026-01-22 22:00:00,BUY,CHoCH,Internal,lime,195.1367857142865,1,10,1344,2026-01-22 21:00:00,-1,1
