instrument,horizon,features,stratum,learner,n,up_rate,auc,brier_skill,logloss_skill,calibration_slope,return_spread,mfe_up_top20,folds_evaluated
AG,H5,P0,ALL,logistic,21805,0.5019032332033937,0.5152505051539091,0.0005455170855759306,0.0003810780364613686,0.21128003129809036,2.689719047134454e-05,0.002223591242478583,7
AG,H5,P0,ALL,gbr,21805,0.5019032332033937,0.5133213941884451,-0.0008608129003693232,-0.0006532567897983288,0.09355831608206382,-8.186698404249424e-05,0.0019256262210092096,7
AG,H5,P0,TOP50,logistic,18857,0.5044280638489685,0.5072601036521242,2.7037676355812224e-05,3.287280237129764e-06,0.13347303891214063,-4.955330315856246e-05,0.002185201435656905,7
AG,H5,P0,TOP50,gbr,18857,0.5044280638489685,0.5067208282090017,-0.0027793158628299786,-0.002035701181702043,0.04096001190703579,-4.620404586027907e-05,0.002138504793534177,7
AG,H5,P0,TOP30,logistic,15533,0.5082727097148008,0.5174619220818676,0.000990405630812874,0.0006942784721476469,0.2265844872297607,8.111005062985063e-06,0.002712604712531198,7
AG,H5,P0,TOP30,gbr,15533,0.5082727097148008,0.509559822301114,-0.003565175550799715,-0.0026185327509518075,0.04596656859777689,-5.257633279534979e-05,0.0021767384755053214,7
AG,H5,P0,TOP20,logistic,13008,0.5104551045510455,0.5250294440954774,0.0015482157304208544,0.0010934154609042457,0.28051725458054116,5.8832668546964e-05,0.0028621107521606673,7
AG,H5,P0,TOP20,gbr,13008,0.5104551045510455,0.5073769047610038,-0.004905832250741149,-0.0036043262277654087,0.04228880187729443,-6.115206747742484e-05,0.0022523750648336754,7
AG,H5,P1,ALL,logistic,17850,0.5047619047619047,0.5221809603206091,0.0007117655452417715,0.0004742901256273857,0.1662968920536142,-0.00014172512422272186,0.002247359425126735,7
AG,H5,P1,ALL,gbr,17850,0.5047619047619047,0.524132757217973,0.0008208041348334305,0.0005701917517306754,0.14619694677203837,-0.0001372843231851611,0.0021922434386258574,7
AG,H5,P1,TOP50,logistic,15151,0.5084812883638044,0.5150691051656002,0.000612898528766781,0.00043257370797722405,0.16101541874193417,-0.00014589256443905662,0.0024279446533080175,7
AG,H5,P1,TOP50,gbr,15151,0.5084812883638044,0.5119178382898547,-0.0029128459816050167,-0.002161494851547374,0.05514151784454832,-2.5315477515925568e-05,0.002244347322145503,7
AG,H5,P1,TOP30,logistic,12576,0.5129611959287532,0.5210217305337885,0.001118639950236644,0.0007970800432830494,0.17201320251688515,-0.00013096702042708126,0.002671761149394748,7
AG,H5,P1,TOP30,gbr,12576,0.5129611959287532,0.512917649217492,-0.0047815778488868865,-0.0035437524735604242,0.04593560807353642,-3.721785429612431e-05,0.002307299555070498,7
AG,H5,P1,TOP20,logistic,10529,0.5144838066293095,0.5268502797805437,0.0015332583204116235,0.0010809550838161153,0.1780239455030045,2.8321736091437232e-05,0.0026861806904882857,7
AG,H5,P1,TOP20,gbr,10529,0.5144838066293095,0.511836938600817,-0.006211441828941622,-0.004606588304704395,0.043343450464925506,1.5530749240749604e-05,0.0023531284271199825,7
AG,H5,P2,ALL,logistic,17059,0.5059499384489126,0.5239893647235874,0.0010355757247008102,0.0007393354746993985,0.17106997495863085,-2.6049942713037476e-05,0.001944848945993945,7
AG,H5,P2,ALL,gbr,17059,0.5059499384489126,0.5253206576420126,0.0010355567108213393,0.0007313530457925266,0.1503964726702397,-0.00012097585646927256,0.0021632713382546873,7
AG,H5,P2,TOP50,logistic,14396,0.5099333148096693,0.5222253083586057,0.0007824029741871907,0.0005591579956891746,0.14999618468486753,-2.1230400048296822e-05,0.002040434434323826,7
AG,H5,P2,TOP50,gbr,14396,0.5099333148096693,0.5152901516882694,-0.0024442536299218443,-0.001812402614429498,0.06821990511502435,-4.9682369238190915e-05,0.0022047843381858383,7
AG,H5,P2,TOP30,logistic,12038,0.5136235255025752,0.5231054323354041,0.00016795279437431532,8.987721465680831e-05,0.12711894120193057,0.00013652104692137007,0.0022922272968657425,7
AG,H5,P2,TOP30,gbr,12038,0.5136235255025752,0.514250486824221,-0.005272312424993153,-0.003928621442135238,0.04449720447366231,-6.568841846986807e-06,0.0022608611026321635,7
AG,H5,P2,TOP20,logistic,10081,0.5148298779882948,0.5216138406865034,-0.001236516063288562,-0.000942180231176204,0.10260754836161043,0.00011834887577248932,0.002377609711809723,7
AG,H5,P2,TOP20,gbr,10081,0.5148298779882948,0.5165795852474109,-0.006725473795533121,-0.005012991735042549,0.0504638908009064,-3.668330913650266e-05,0.0023262913823971832,7
AG,H5,P3,ALL,logistic,17003,0.5085573134152797,0.5266738193635228,0.0009910593745693363,0.0006985444268834407,0.16117660879404097,1.2255947363565238e-05,0.0018345775226310255,7
AG,H5,P3,ALL,gbr,17003,0.5085573134152797,0.5256327883565514,0.0010701924280133168,0.0007600762232236047,0.15060812968703732,-0.00012120297762420248,0.002181331434347511,7
AG,H5,P3,TOP50,logistic,14369,0.5118658222562461,0.5242402831512851,0.0009194109359044189,0.0006563033821027631,0.147447148066791,2.46432462383775e-05,0.002045989336186634,7
AG,H5,P3,TOP50,gbr,14369,0.5118658222562461,0.5163408251962619,-0.0022098536006218694,-0.0016282381609962204,0.07941578384389958,-5.193348238602919e-05,0.0021653536602026127,7
AG,H5,P3,TOP30,logistic,12018,0.5146446996172408,0.5249340267186073,-0.0014864056890502297,-0.001284958309807127,0.09634720456915102,2.9344630793327967e-06,0.0023134237869342923,7
AG,H5,P3,TOP30,gbr,12018,0.5146446996172408,0.5184879025076985,-0.0036543474911241436,-0.0027238786666183845,0.07275329548779623,-1.9370611259917495e-05,0.002201078956275569,7
AG,H5,P3,TOP20,logistic,10065,0.5158469945355191,0.5238741617990645,-0.0023612603034706137,-0.0018090605313720864,0.09422416998846334,5.846618681686646e-05,0.0023547444627963765,7
AG,H5,P3,TOP20,gbr,10065,0.5158469945355191,0.518219398294492,-0.0063277500388592145,-0.004737003059635869,0.058922511837050155,4.013971628163378e-05,0.00222161395452507,7
AG,H15,P0,ALL,logistic,20220,0.5132047477744807,0.49584073696066505,-0.0002886021980867959,-0.0002062405294886993,-0.003105431148784985,-0.00046305030431770104,0.003972744664427538,7
AG,H15,P0,ALL,gbr,20220,0.5132047477744807,0.5007459750833583,-0.0038534015936306787,-0.002825749827027879,-0.021170748460965786,-0.0001490687535437808,0.0032677693409254595,7
AG,H15,P0,TOP50,logistic,17379,0.516370332009897,0.4963880186889298,-0.0010875147895017534,-0.0007878745619678273,-0.07785819514117184,-0.00048388764347949084,0.0038659221800315135,7
AG,H15,P0,TOP50,gbr,17379,0.516370332009897,0.49738325948436934,-0.006226175856238525,-0.004591740175651227,-0.036940086758108635,0.00012524075045227816,0.003513530042263967,7
AG,H15,P0,TOP30,logistic,14415,0.5216094346167187,0.5046927231369626,-0.0006509393113272033,-0.0004847891279340377,0.05905522817773094,-0.00022599175362904246,0.004499907506572541,7
AG,H15,P0,TOP30,gbr,14415,0.5216094346167187,0.5004008985434887,-0.006723002617371465,-0.004932166054610443,-0.00818282757481083,8.562890463378181e-05,0.003774514891574127,7
AG,H15,P0,TOP20,logistic,12075,0.5238923395445134,0.502440018022351,-0.0009359763932736964,-0.0006892734366359399,0.03108548904060327,-0.0004197812775793861,0.0043141258597581824,7
AG,H15,P0,TOP20,gbr,12075,0.5238923395445134,0.500070157495397,-0.008585284494963652,-0.006321354226463294,-0.009971961393933974,0.00016811933707109436,0.003475744981268091,7
AG,H15,P1,ALL,logistic,16265,0.5146633876421765,0.5041686923471755,-0.0009896069353760861,-0.0007687930523208042,0.03660610105088588,-0.0006388643974102942,0.00381773004361745,7
AG,H15,P1,ALL,gbr,16265,0.5146633876421765,0.5056875781866268,-0.002426887403364608,-0.0017894454841045349,0.05140514844395109,-0.00043226662522155004,0.0037741237739371335,7
AG,H15,P1,TOP50,logistic,13654,0.5186026072945656,0.49966395889360327,-0.0022418553878582603,-0.0016716886935632669,-0.022722492489853672,-0.0006456078176465208,0.00419849033392819,7
AG,H15,P1,TOP50,gbr,13654,0.5186026072945656,0.4999186995590547,-0.005343476520097923,-0.003936424107666703,0.012809118738373829,-0.00029653143538337806,0.0037951318244824317,7
AG,H15,P1,TOP30,logistic,11460,0.524869109947644,0.5088102516894174,-0.00211927905047693,-0.0016643759303918149,0.02710535045782236,-0.0002879757141360326,0.004397245091242488,7
AG,H15,P1,TOP30,gbr,11460,0.524869109947644,0.502520695506413,-0.006571168351949153,-0.004861838166247523,0.028134258636927287,-0.00015279931176209445,0.0041086814754974724,7
AG,H15,P1,TOP20,logistic,9618,0.5260969016427531,0.5048779715810451,-0.003262322811064422,-0.0024655698676800952,0.0004131765031795925,-0.00025577075590446933,0.004141932999805917,7
AG,H15,P1,TOP20,gbr,9618,0.5260969016427531,0.501852148938495,-0.011993982790022395,-0.008943917346414976,0.007131137362455105,-3.398247278169032e-05,0.004007840347344516,7
AG,H15,P2,ALL,logistic,15474,0.516737753651286,0.5055248773089407,-0.0015159693494675164,-0.0011162092537138069,0.020795360538093836,-0.0005278852564718447,0.003271436237821394,7
AG,H15,P2,ALL,gbr,15474,0.516737753651286,0.5071176434700367,-0.002561551969515463,-0.0018821098205696885,0.04346940466493958,-0.0005106114264718269,0.003745133571069574,7
AG,H15,P2,TOP50,logistic,12905,0.5211933359163116,0.4960184749001406,-0.004595980951571654,-0.0033593093659998186,-0.06396408173808402,-0.0005522082487109457,0.003512019811006743,7
AG,H15,P2,TOP50,gbr,12905,0.5211933359163116,0.49779760343334356,-0.007292366883644652,-0.005371868923052414,-0.01777534840664558,-0.00042028129570553254,0.0035766005085126483,7
AG,H15,P2,TOP30,logistic,10906,0.5262240968274344,0.5058105790385747,-0.005707711009754091,-0.00426916101091801,0.007141118634059342,-0.0001919319054673329,0.0038305490298597834,7
AG,H15,P2,TOP30,gbr,10906,0.5262240968274344,0.5041081274523105,-0.006692833883406246,-0.004932087440061794,0.029117283964047527,-0.00012642689648725003,0.0039105400073357515,7
AG,H15,P2,TOP20,logistic,9155,0.5264882577826324,0.5018838269991912,-0.01023059290750794,-0.007659319429728084,-0.012619695125311605,-0.00047911372107513773,0.0037668733557843226,7
AG,H15,P2,TOP20,gbr,9155,0.5264882577826324,0.5007441839318105,-0.013907770093653848,-0.010353707369911147,-0.00015023449879310183,-0.00026598038569718466,0.003884415390892183,7
AG,H15,P3,ALL,logistic,15421,0.519291874716296,0.5050358719925696,-0.0018203420178861673,-0.0013395636233086705,0.0036697036191961525,-0.00046832461578740945,0.003248732696852718,7
AG,H15,P3,ALL,gbr,15421,0.519291874716296,0.5017668322504422,-0.0031742142294743925,-0.002335046570087984,0.015273883682373045,-0.00048541853388076717,0.003782003299391909,7
AG,H15,P3,TOP50,logistic,12884,0.5232846941943495,0.49931237775108067,-0.004433773293918808,-0.00324721028752073,-0.03847006317572192,-0.0006334792071486104,0.003582795728661568,7
AG,H15,P3,TOP50,gbr,12884,0.5232846941943495,0.5024809968102868,-0.005440205368261397,-0.004017830585850035,0.013723121150341787,-0.0003544568178740844,0.0036639186588241896,7
AG,H15,P3,TOP30,logistic,10887,0.5274180214935243,0.5090203330175181,-0.005397194285264639,-0.004062683921193466,0.021183151188672426,-0.0002025797151507097,0.0037988753269540564,7
AG,H15,P3,TOP30,gbr,10887,0.5274180214935243,0.5076760196042391,-0.0053430991303304864,-0.003948253034585569,0.0470473290600885,-0.0003429894483493403,0.0038291920228453904,7
AG,H15,P3,TOP20,logistic,9150,0.52775956284153,0.5034818422543466,-0.010078476335297903,-0.007583485267466772,-0.008101345996658904,-0.0004886678349569661,0.003604316605123721,7
AG,H15,P3,TOP20,gbr,9150,0.52775956284153,0.5018886606985519,-0.011590427621004817,-0.008606600968114941,0.014950845618662785,-0.0001754112620851471,0.003794841980167896,7
AG,H30,P0,ALL,logistic,17842,0.5223629637932967,0.48844519939807396,-0.0009846332246910006,-0.000713139331619983,-0.2600652700643957,-0.0006616431246259493,0.006063429093199915,7
AG,H30,P0,ALL,gbr,17842,0.5223629637932967,0.5052653923749991,-0.002491242062071519,-0.0018133096427164208,0.04185914491504567,0.00014729579290721298,0.0049361971459170205,7
AG,H30,P0,TOP50,logistic,15129,0.5261418467843215,0.4875884952030343,-0.002878756134961913,-0.002150823247448308,-0.18086003558010771,-0.0005870044438381202,0.006228546262385464,7
AG,H30,P0,TOP50,gbr,15129,0.5261418467843215,0.4924908315464896,-0.005372129656288083,-0.003910803605702284,-0.021934107571972075,6.957558395530043e-05,0.0051694054119290995,7
AG,H30,P0,TOP30,logistic,12702,0.5296016375373956,0.5083729528105374,-0.0025535987935338955,-0.0020019945012017537,0.036665846523543565,0.0001114118103027695,0.00651164415059431,7
AG,H30,P0,TOP30,gbr,12702,0.5296016375373956,0.5057191123263337,-0.0049442482458577075,-0.003622780328557784,0.03623680772509175,0.0003219415688964695,0.005849691444531922,7
AG,H30,P0,TOP20,logistic,10687,0.5322354262187705,0.516839707603968,-0.00023677519760711974,-0.00021507935617259832,0.11954048055614355,0.0003257389423745777,0.0059781700440228345,7
AG,H30,P0,TOP20,gbr,10687,0.5322354262187705,0.512701538197935,-0.0038818060620491313,-0.002857576603973566,0.062170741472596686,0.0002376234463478227,0.005475189934371386,7
