instrument,horizon,all_path_future_spearman,top30_path_future_spearman,n_all,n_top30
AG,H5,-0.013410051392877211,-0.00913712471842436,28892,8669
AG,H15,0.0044330556732204195,0.005209821539697736,26630,7991
AG,H30,0.004473099786177174,0.003935521744693094,23237,6972
CU,H5,-0.019826286399901437,-0.01597721775901603,23891,7169
CU,H15,-0.013544195522722511,-0.018940110559573346,21629,6491
CU,H30,-0.015700251099890556,-0.021306126094004302,18236,5473
AL,H5,-0.032347890137578064,-0.04263293011503553,23891,7170
AL,H15,-0.03137702166520457,-0.03552320000102712,21629,6490
AL,H30,-0.028205154611483315,-0.03591145881934504,18236,5472
SN,H5,-0.011399057727889919,0.0026021152775728353,23891,7170
SN,H15,0.0050750578909826444,0.012764631363598756,21629,6489
SN,H30,-0.0030450623631467543,-0.013995856095532362,18236,5471
I,H5,-0.052496822982565215,-0.07980632234633968,17217,5165
I,H15,-0.050932715293261,-0.06887306929874304,14953,4487
I,H30,-0.061593160608294104,-0.06095186717812013,11559,3468
SC,H5,-0.022031275498290696,-0.015462972664819177,28889,8669
SC,H15,-0.015834090153565378,0.0037512419882774943,26624,7987
SC,H30,-0.005070431444987184,0.0037793245441052805,23229,6970
M,H5,-0.03603987884999401,-0.04001324814437771,17217,5167
M,H15,-0.01832151050184052,-0.032010869924546256,14953,4486
M,H30,-0.002885950694083624,-0.018504935582592155,11559,3468
CF,H5,-0.05666706505636386,-0.047898922546723254,17217,5165
CF,H15,-0.04662492033524056,-0.04517545885753149,14953,4486
CF,H30,-0.02906607314761776,-0.03484910242069624,11559,3469
