instrument,stratum,path_state_bin,n,mean_future_return,up_probability
AG,ALL,0,5196,-0.00027644371079222306,0.5236720554272517
AG,ALL,1,2965,4.720582580578299e-06,0.5187183811129848
AG,ALL,2,2243,4.687484411631666e-05,0.5020062416406599
AG,ALL,3,3020,0.0001365187675579416,0.5062913907284768
AG,ALL,4,5214,0.00028493284698509914,0.5168776371308017
AG,TOP30,0,4292,-0.0003144320126890051,0.5300559179869525
AG,TOP30,1,1607,-1.803884066563902e-05,0.5164903546981954
AG,TOP30,2,1215,3.870930216910936e-05,0.5201646090534979
AG,TOP30,3,1775,0.00021274223467585484,0.5245070422535211
AG,TOP30,4,4446,0.00031360907673719316,0.5229419703103914
CU,ALL,0,3572,-2.1748363470760067e-05,0.5125979843225084
CU,ALL,1,2763,-8.917133756738595e-06,0.48280854144046326
CU,ALL,2,2462,2.1850818908844733e-05,0.4703493095044679
CU,ALL,3,2724,6.620302006078877e-05,0.4948604992657856
CU,ALL,4,3613,3.6025484219487526e-05,0.47633545530030447
CU,TOP30,0,2186,-2.1318453224785818e-05,0.5169258920402562
CU,TOP30,1,914,-5.809739971584123e-05,0.46936542669584247
CU,TOP30,2,723,3.198491579206048e-06,0.45504840940525587
CU,TOP30,3,921,5.208751988519073e-05,0.48642779587404994
CU,TOP30,4,2399,4.2109777570175246e-05,0.47186327636515213
AL,ALL,0,3877,-9.568872059086402e-06,0.5029662109878772
AL,ALL,1,1727,5.948984206270276e-07,0.4493341053850608
AL,ALL,2,3703,2.5514663513954778e-05,0.43667296786389415
AL,ALL,3,2130,1.8647116226463783e-05,0.4591549295774648
AL,ALL,4,3697,-3.37043654893387e-06,0.45820935893968084
AL,TOP30,0,2182,-5.928473959300066e-05,0.5077910174152154
AL,TOP30,1,617,9.371775082068161e-05,0.5008103727714749
AL,TOP30,2,1471,4.800099779309764e-05,0.44663494221617944
AL,TOP30,3,839,-5.8728145229987234e-05,0.4612634088200238
AL,TOP30,4,2338,-3.143919290666635e-05,0.4576561163387511
SN,ALL,0,4178,-0.00028412431215499415,0.5011967448539971
SN,ALL,1,2418,-4.808661724564163e-05,0.5144747725392886
SN,ALL,2,1798,5.699105718356618e-05,0.4905450500556173
SN,ALL,3,2512,0.00018934111643049615,0.5230891719745223
SN,ALL,4,4228,0.0001809627825153156,0.49834437086092714
SN,TOP30,0,3026,-0.0002910636726264622,0.5089226701916721
SN,TOP30,1,925,-0.0001389544233324838,0.5102702702702703
SN,TOP30,2,652,9.400123361230333e-05,0.4754601226993865
SN,TOP30,3,992,0.0004036906650996416,0.5403225806451613
SN,TOP30,4,3190,0.00020375295403915694,0.503448275862069
I,ALL,0,2202,7.98601955573468e-05,0.4623069936421435
I,ALL,1,1930,5.4237685679956264e-05,0.42642487046632127
I,ALL,2,2202,-2.7979298200454094e-05,0.4141689373297003
I,ALL,3,2045,-2.15898805234818e-05,0.41271393643031784
I,ALL,4,2086,-0.00010497674876358154,0.4175455417066155
I,TOP30,0,384,0.0002834031362843233,0.46875
I,TOP30,1,235,5.256722635099238e-05,0.41702127659574467
I,TOP30,2,300,-7.866223864366084e-05,0.41
I,TOP30,3,292,-0.00027354230229197486,0.386986301369863
I,TOP30,4,503,-0.00039018825105458296,0.3856858846918489
SC,ALL,0,4984,-4.9719609037191965e-05,0.514446227929374
SC,ALL,1,2882,-1.557852145091377e-06,0.4764052741151978
SC,ALL,2,2688,-3.4914401222835356e-05,0.4564732142857143
SC,ALL,3,2836,2.215159361508824e-05,0.47602256699576867
SC,ALL,4,5244,0.0001367020532261666,0.4858886346300534
SC,TOP30,0,3521,-2.106691671318282e-06,0.5143425163305879
SC,TOP30,1,1333,5.4866788854037397e-05,0.5026256564141035
SC,TOP30,2,1263,4.940014008473356e-05,0.447347585114806
SC,TOP30,3,1349,1.696393375626535e-05,0.502594514455152
SC,TOP30,4,3707,0.00021621105275577987,0.500674399784192
M,ALL,0,2105,5.37769173563303e-05,0.4665083135391924
M,ALL,1,2148,-3.863367638607905e-05,0.436219739292365
M,ALL,2,1949,-1.4000263243471903e-05,0.42739866598255516
M,ALL,3,2123,2.35914945573687e-05,0.4281676872350447
M,ALL,4,2140,-1.0544259743116709e-05,0.4485981308411215
M,TOP30,0,668,9.018407913991964e-05,0.47155688622754494
M,TOP30,1,540,-2.4120234744703e-05,0.45
M,TOP30,2,477,7.08469878105521e-05,0.45073375262054505
M,TOP30,3,492,0.00010091428269362578,0.4349593495934959
M,TOP30,4,644,-2.145620209588636e-05,0.4549689440993789
CF,ALL,0,2220,6.138524906392603e-05,0.48963963963963963
CF,ALL,1,1480,5.040415161176487e-05,0.4635135135135135
CF,ALL,2,2858,-3.3562878328684416e-05,0.43946815955213436
CF,ALL,3,1602,4.3551470032253486e-05,0.42696629213483145
CF,ALL,4,2305,-2.0266923757064136e-06,0.42386117136659435
CF,TOP30,0,1222,0.0001062046872558258,0.5016366612111293
CF,TOP30,1,594,0.0001148580668394105,0.48148148148148145
CF,TOP30,2,1275,-7.333103490619872e-05,0.4266666666666667
CF,TOP30,3,640,5.363890984882991e-05,0.446875
CF,TOP30,4,1182,8.519749472965196e-06,0.4450084602368866
