group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
ALL_8,H15,S0,ALL,gbr,8,0.5159746955302301,1.0,-0.004370056793082,0.125,-0.0032852556283947676,0.0,-8.837082346794372e-05,0.5
ALL_8,H15,S0,ALL,logistic,8,0.5074753390405132,1.0,-0.0035881735754094146,0.25,-0.002838627942106875,0.25,-7.789304751582365e-05,0.25
ALL_8,H15,S0,TOP20,gbr,8,0.5165889022254241,1.0,-0.009181933858157687,0.125,-0.007159853507434977,0.125,-0.00017431564787765596,0.5
ALL_8,H15,S0,TOP20,logistic,8,0.5026191394937592,1.0,-0.01142410096141211,0.125,-0.009060880281566375,0.125,-0.0002952833284794449,0.25
ALL_8,H15,S0,TOP30,gbr,8,0.5160708826718565,1.0,-0.0061420662567909234,0.125,-0.004799512059004085,0.125,-0.00016938964503695206,0.5
ALL_8,H15,S0,TOP30,logistic,8,0.505234344080296,1.0,-0.0077828734629670215,0.125,-0.0059536038891158105,0.125,-0.00021809353759922587,0.25
ALL_8,H15,S0,TOP50,gbr,8,0.5156942145193467,1.0,-0.004719361304462044,0.125,-0.0036143234311788452,0.125,-0.00015947661868352515,0.375
ALL_8,H15,S0,TOP50,logistic,8,0.5063952133685268,1.0,-0.005672656632174311,0.25,-0.004359327215716635,0.25,-0.00011133679064192512,0.25
ALL_8,H15,S1,ALL,gbr,8,0.5156126838734676,1.0,-0.006428248259264913,0.125,-0.00494735988937578,0.125,-8.810120978101304e-05,0.375
ALL_8,H15,S1,ALL,logistic,8,0.5106430693896,1.0,-0.006091304654166185,0.125,-0.007524591904195854,0.125,-6.038503551437676e-05,0.375
ALL_8,H15,S1,TOP20,gbr,8,0.5242752865690576,1.0,-0.008251206061478888,0.125,-0.0066188020289537075,0.125,-0.00021718793136712853,0.375
ALL_8,H15,S1,TOP20,logistic,8,0.5146996162052575,1.0,-0.012850653806745771,0.125,-0.015497722831654848,0.125,-6.0872874053553435e-05,0.375
ALL_8,H15,S1,TOP30,gbr,8,0.5244756247337254,1.0,-0.005171459203282103,0.125,-0.004198232466839369,0.125,-0.00020098025596177574,0.375
ALL_8,H15,S1,TOP30,logistic,8,0.5131200766235343,1.0,-0.010995573987386154,0.25,-0.013015589345276357,0.125,-9.743293608374921e-05,0.5
ALL_8,H15,S1,TOP50,gbr,8,0.5189464178788841,1.0,-0.003824526719090948,0.0,-0.002932556379863671,0.0,-0.0001674216772503984,0.375
