instrument,horizon,learner,offset,n,auc,brier_skill
AG,H15,logistic,0,4894,0.5087630639344763,-0.008033894671292785
AG,H15,logistic,1,3510,0.498622667524469,-0.007639341249539244
AG,H15,logistic,2,3510,0.5103045173870654,-0.008339817147403172
AG,H15,gbr,0,4894,0.5147523940695347,-0.0030143401507258805
AG,H15,gbr,1,3510,0.5101994195190385,-0.0025121301171058263
AG,H15,gbr,2,3510,0.5078345791355217,-0.004979449764686672
CU,H15,logistic,0,3727,0.5105697525888548,-0.00934941277653345
CU,H15,logistic,1,2344,0.5309290668531794,-0.0031303802879603104
CU,H15,logistic,2,2343,0.5068246304600322,-0.011669040809996423
CU,H15,gbr,0,3727,0.5159494080765701,-0.0028008719653951353
CU,H15,gbr,1,2344,0.5451838171008918,0.0026291651367554847
CU,H15,gbr,2,2343,0.5253118300881241,-8.985118087312394e-05
AL,H15,logistic,0,3727,0.5315932713458814,-0.01837567036951393
AL,H15,logistic,1,2344,0.5148425242147829,-0.021310082512960182
AL,H15,logistic,2,2343,0.5253158134678452,-0.011410387294348512
AL,H15,gbr,0,3727,0.523180716164732,-0.009199550724660499
AL,H15,gbr,1,2344,0.5044091167915787,-0.014519916097450736
AL,H15,gbr,2,2343,0.5217925998911749,-0.0059201622332103465
SN,H15,logistic,0,3727,0.5108120301011804,-0.016346284350589935
SN,H15,logistic,1,2344,0.5108472687951242,-0.017785524849947665
SN,H15,logistic,2,2343,0.5005050387269234,-0.013345844857275857
SN,H15,gbr,0,3727,0.502435018636067,-0.006989513788392854
SN,H15,gbr,1,2344,0.5040373699751328,-0.009474473378922932
SN,H15,gbr,2,2343,0.5033352232810464,-0.007183464203678325
I,H15,logistic,0,2169,0.5340156036628056,0.0033647212091724166
I,H15,logistic,1,784,0.47851631769484543,-0.015679189544237637
I,H15,logistic,2,784,0.45254099298224365,-0.02287733414783899
I,H15,gbr,0,2169,0.5314096498707205,-0.0017900302524327394
I,H15,gbr,1,784,0.49308078881684164,-0.021331415109044016
I,H15,gbr,2,784,0.4491700477045948,-0.037788291456162026
SC,H15,logistic,0,4002,0.5199058486056573,-0.008452220895236229
SC,H15,logistic,1,4397,0.5194455973922734,-0.009210007474075521
SC,H15,logistic,2,3508,0.5225758090663563,-0.005477179802543919
SC,H15,gbr,0,4002,0.5229545247266099,-0.002071946183989981
SC,H15,gbr,1,4397,0.5154272006210606,-0.004069025697185147
SC,H15,gbr,2,3508,0.5199605202610086,-0.0031463257490047525
M,H15,logistic,0,2169,0.5004458773494307,-0.015558650857217637
M,H15,logistic,1,784,0.4734270773421127,-0.020548849561942806
M,H15,logistic,2,784,0.5200176066905424,-0.0035987954519156595
M,H15,gbr,0,2169,0.4879475922623131,-0.018942789874667243
M,H15,gbr,1,784,0.4928072297918195,-0.011449539372725637
M,H15,gbr,2,784,0.5291043930026743,0.003188888481235108
CF,H15,logistic,0,2169,0.538498362264656,-0.0005487566514486009
CF,H15,logistic,1,784,0.5579563208456604,0.008692938561125851
CF,H15,logistic,2,784,0.5601149936685034,0.015283618011145084
CF,H15,gbr,0,2169,0.5306455542648894,-0.004543279237798847
CF,H15,gbr,1,784,0.5531263504304758,0.006881675175807844
CF,H15,gbr,2,784,0.5467196002601047,0.010758157024879589
