instrument,horizon,learner,auc_B0,auc_B3,delta_auc,delta_brier_skill,delta_logloss_skill,delta_return_spread
AG,H5,gbr,0.5191826589217153,0.5227621704367722,0.0035795115150568657,0.0017774458314245845,0.0013257614882611346,6.966503464160404e-06
AG,H5,logistic,0.5294421645689584,0.5310107098155016,0.0015685452465431515,-0.0003931193777491071,0.00022087382514435205,2.1540496660865592e-05
AG,H15,gbr,0.512958743809086,0.5076112620218827,-0.005347481787203345,-0.0006156139106638925,-0.0003957944811296965,3.2984487564080155e-05
AG,H15,logistic,0.5099378405403197,0.5071834699512882,-0.0027543705890314962,-0.00403168267889531,-0.006340806810683164,-5.836126341564763e-06
CU,H5,gbr,0.5326974356455656,0.5346271477746556,0.0019297121290899888,-0.0005860470105668592,-0.0004431732631002827,5.4824748907111085e-05
CU,H5,logistic,0.5145050337916305,0.5178840420690038,0.003379008277373363,0.00037066196350443725,0.0013189852818038528,6.269445941076329e-05
CU,H15,gbr,0.5184159604347581,0.5178849864470422,-0.0005309739877159547,-0.0009915650672405185,-0.0007222461774827327,-8.135062232749672e-05
CU,H15,logistic,0.5013596350392413,0.5089906727934274,0.007631037754186054,-0.002466786720171532,-0.004550930844835266,8.49275209270742e-05
AL,H5,gbr,0.5381080670328523,0.5393721673141075,0.0012641002812552316,-0.0004452075867357186,-0.0002859006020731192,-3.2414481527581865e-05
AL,H5,logistic,0.5208053526005647,0.5266307879162972,0.005825435315732541,-0.003657785900812449,-0.007080751086232073,1.0495100018785257e-05
AL,H15,gbr,0.5216467047271724,0.5193484405202693,-0.0022982642069031556,3.133748088335331e-05,7.090495061734536e-05,-2.7129402319623936e-05
AL,H15,logistic,0.5237794975159183,0.5229746007265492,-0.000804896789369125,-0.004242257407310879,-0.010273629352588687,-7.885022274149659e-05
SN,H5,gbr,0.5260515083261308,0.5256300696375544,-0.0004214386885763588,0.0004241958699693349,0.00033375710295491245,-7.722887380594688e-05
SN,H5,logistic,0.520100070959089,0.5274610077797489,0.007360936820659969,-0.0017798652167464457,-0.003083987841445035,0.00016058652761621742
SN,H15,gbr,0.49801259650442253,0.5141414288843869,0.01612883237996432,-0.00041774101473279757,-0.0008907399998572263,-6.534328079228137e-05
SN,H15,logistic,0.5024333937212452,0.5074069282839732,0.004973534562727977,-0.007999139820505707,-0.01206387180517332,-0.00012835965431037615
I,H5,gbr,0.5386487684575282,0.5408912059438704,0.0022424374863422303,0.0027390788172186875,0.002026741879123106,-5.9707895933862245e-05
I,H5,logistic,0.5417859082820842,0.5343417101114476,-0.007444198170636573,-0.003819639189433288,-0.003316091845908975,-0.00010120856179672314
I,H15,gbr,0.5053873859051423,0.5142053002988947,0.008817914393752346,0.004735886469462214,0.0038470904806648942,0.00011380751517166586
I,H15,logistic,0.5073203676754955,0.49919437423586116,-0.008125993439634327,-0.0046655506304436045,-0.004088395479561413,-0.00012989607679461573
SC,H5,gbr,0.528765589424426,0.5305938812714183,0.0018282918469922915,0.0003736090060996178,0.0002701598107096581,6.401059074949246e-05
SC,H5,logistic,0.5276941773491823,0.5243398105729467,-0.0033543667762356844,-0.0021967125179565006,-0.0017125899034877712,8.374123892516888e-05
SC,H15,gbr,0.528666308995122,0.5227647608886716,-0.005901548106450383,-0.0005627698509386159,-0.00039173198993225355,-4.164374641413521e-05
SC,H15,logistic,0.5224464150810333,0.5138303387650773,-0.008616076315955956,-0.0013647135454653014,-0.0007116719162501006,6.296355646111097e-05
M,H5,gbr,0.5154903130860287,0.5288335509774165,0.013343237891387805,0.0054597241954865705,0.004019433496275093,4.1725384069558496e-05
M,H5,logistic,0.512751574686966,0.5180557579730122,0.005304183286046205,-0.0019700458352116534,-0.002743716139801178,7.953386092576778e-05
M,H15,gbr,0.49499314763278046,0.4987271506016724,0.003734002968891925,0.0007030031657762059,0.0004414116205668783,0.00013358801602790906
M,H15,logistic,0.48638728439799594,0.4850298897735776,-0.0013573946244183621,-0.010394400386240177,-0.009886036509069385,3.142883049826251e-05
CF,H5,gbr,0.5488417794184819,0.5538332943171821,0.0049915148987002,0.003592212557445351,0.0027281194425851085,1.9870171814952468e-05
CF,H5,logistic,0.5518872270358348,0.5448725849184708,-0.007014642117364023,-0.0048051584512727175,-0.00463666195627821,3.145841443812601e-06
CF,H15,gbr,0.5288494744744745,0.5370425112612612,0.008193036786786734,0.005607658256080894,0.004156242384923292,0.00017224149258763762
CF,H15,logistic,0.5476937875375376,0.5322677364864865,-0.015426051051051104,-0.008022754501107898,-0.006932793374619051,2.4919746674201726e-05
