instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
AG,H5,B0,gbr,ALL,12313,0.5191826589217153,-0.002076424087137818,-0.0015760378504361405,0.09092083030342944,-0.00020299008897342016
AG,H5,B0,gbr,TOP50,9960,0.5172130176932487,-0.0019790915114570318,-0.0014940209985272457,0.08755752308792218,-0.00021563766393994753
AG,H5,B0,gbr,TOP30,8221,0.5187336198198004,-0.0016897013392365157,-0.0012916585048736717,0.09155747805113142,-0.0002079460315802115
AG,H5,B0,gbr,TOP20,6944,0.5189073544199714,-0.001882496937823941,-0.001441019442356195,0.08867299568889694,-0.00022432591138425495
AG,H5,B0,logistic,ALL,12313,0.5294421645689584,-0.0038727678792631615,-0.008049240801408564,0.03110032928158114,-2.592514023372387e-05
AG,H5,B0,logistic,TOP50,9960,0.5294397715992649,-0.005587764085086544,-0.010528473882032152,0.027617420454802186,-5.444654631550003e-05
AG,H5,B0,logistic,TOP30,8221,0.5309626047155968,-0.007270571296167816,-0.013117344758756033,0.02548819943255226,-1.1309509291834145e-05
AG,H5,B0,logistic,TOP20,6944,0.5318140200770725,-0.00886270454312399,-0.015712630934953564,0.02401990716794519,2.8666492070113402e-05
AG,H5,B1,gbr,ALL,12313,0.5198099530152753,-0.0011507971663407002,-0.0008670497905758356,0.10589930521919956,-0.00016280854347496966
AG,H5,B1,gbr,TOP50,9960,0.5189089709109136,-0.0010281452339255814,-0.0007720784173537165,0.10354190854661094,-0.0002417960570001445
AG,H5,B1,gbr,TOP30,8221,0.5205974677205256,-0.0007350792227134306,-0.0005604638087508551,0.10827203919609452,-0.00016344468845853587
AG,H5,B1,gbr,TOP20,6944,0.5214698329168875,-0.0006689476741714717,-0.0005158748370732713,0.10987696206431839,-0.00018106291541892427
AG,H5,B1,logistic,ALL,12313,0.5291413203847428,-0.0034947343286158006,-0.006991375623793594,0.03734407145692193,-1.7410175220035412e-06
