group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
ALL_8,H15,B0,ALL,gbr,8,0.5156873521219221,1.0,-0.006940396679992578,0.125,-0.0054648232176813805,0.125,-5.0034019207135945e-05,0.5,0.0737420826016997,0.75
ALL_8,H15,B0,ALL,logistic,8,0.5086291041079076,1.0,-0.006533978217927561,0.125,-0.00763654491649568,0.125,-8.017592479505261e-05,0.375,0.023165640559921916,0.75
ALL_8,H15,B0,TOP20,gbr,8,0.5268345943477355,1.0,-0.006545357607068203,0.125,-0.005202084598418089,0.125,-0.00014581333876606545,0.5,0.07884170862021528,0.75
ALL_8,H15,B0,TOP20,logistic,8,0.519550059452434,1.0,-0.014156347608956232,0.125,-0.01579270844427827,0.125,-0.00023117301440641106,0.25,0.0166899831862572,0.75
ALL_8,H15,B0,TOP30,gbr,8,0.5256017473783707,1.0,-0.005847404787726163,0.125,-0.0045959396061932,0.125,-0.00011750926972601983,0.5,0.08636757083246152,0.75
ALL_8,H15,B0,TOP30,logistic,8,0.5147917260144259,1.0,-0.012160060064462908,0.25,-0.013410080472349706,0.125,-0.00017305342518018246,0.25,0.017872543584890446,0.75
ALL_8,H15,B0,TOP50,gbr,8,0.516431133398725,1.0,-0.008469206203290724,0.0,-0.006596515760433408,0.0,-3.340323831635534e-05,0.5,0.0725786354979188,0.75
ALL_8,H15,B0,TOP50,logistic,8,0.5145525092227161,1.0,-0.009421258986000769,0.125,-0.010623645539804438,0.125,-0.0001542130835285638,0.25,0.01843333420247466,0.625
ALL_8,H15,B1,ALL,gbr,8,0.5162242436025298,1.0,-0.005890975606237858,0.125,-0.0045952214601631125,0.125,1.549245332129841e-05,0.625,0.07811999394922098,0.75
ALL_8,H15,B1,ALL,logistic,8,0.507594529308772,1.0,-0.0084544836147189,0.125,-0.010317192647979812,0.125,-9.26606369153839e-05,0.25,0.03505082492282347,0.875
ALL_8,H15,B1,TOP20,gbr,8,0.5284369960261532,1.0,-0.004403843198039437,0.25,-0.003730344323453205,0.25,-9.54453658287468e-05,0.5,0.09436052705552364,0.75
ALL_8,H15,B1,TOP20,logistic,8,0.5175357754208876,1.0,-0.015082896379239097,0.125,-0.016683547907083818,0.125,-0.0001568954611751885,0.25,0.03200387510469019,0.875
ALL_8,H15,B1,TOP30,gbr,8,0.5255849289523764,1.0,-0.003180140668549214,0.125,-0.002598239194425034,0.125,-7.80563453233701e-05,0.5,0.0982837106544737,0.75
ALL_8,H15,B1,TOP30,logistic,8,0.5145911538731935,1.0,-0.013210946718947625,0.125,-0.01441395753240271,0.125,-0.00015523289381019734,0.25,0.032305700791128045,0.875
ALL_8,H15,B1,TOP50,gbr,8,0.5226577670674541,1.0,-0.0037535274536912855,0.125,-0.0028307175099457904,0.125,4.746404214890332e-05,0.625,0.08350502174862375,0.75
ALL_8,H15,B1,TOP50,logistic,8,0.5134058242956209,1.0,-0.010586081787447688,0.125,-0.011667610505314174,0.125,-0.00013001826885832642,0.25,0.03427986393254733,0.75
ALL_8,H15,B2,ALL,gbr,8,0.5168541454421673,1.0,-0.006738452007452156,0.0,-0.005172264342198862,0.0,-3.8829054286106884e-05,0.375,0.06814292587222523,0.875
ALL_8,H15,B2,ALL,logistic,8,0.5105211707374478,1.0,-0.007214500342889174,0.0,-0.007961188650457807,0.0,-8.088117125267479e-05,0.375,0.023140378431165967,0.625
ALL_8,H15,B2,TOP20,gbr,8,0.5201187706948701,1.0,-0.007149627332516784,0.125,-0.0053483451542613025,0.125,-6.253866979476306e-05,0.5,0.06054604685165978,0.875
ALL_8,H15,B2,TOP20,logistic,8,0.5145707640777645,1.0,-0.014540451859104353,0.125,-0.016202360951415362,0.125,-0.00019139195248097258,0.375,0.016165130118036247,0.625
ALL_8,H15,B2,TOP30,gbr,8,0.5198923014508787,1.0,-0.005617854526937971,0.125,-0.004226943273130446,0.125,-0.00013951648808499078,0.375,0.0660765100713721,0.875
ALL_8,H15,B2,TOP30,logistic,8,0.5125720043005002,1.0,-0.012568180865707212,0.125,-0.013704349255735826,0.125,-0.00013028322737740266,0.375,0.017560073134536912,0.625
ALL_8,H15,B2,TOP50,gbr,8,0.5193788696274784,1.0,-0.006578635440944947,0.0,-0.005105335505359299,0.0,-5.099218431921579e-05,0.5,0.06678852754895918,0.75
ALL_8,H15,B2,TOP50,logistic,8,0.5130106395317588,1.0,-0.009864196306691553,0.0,-0.011047819040725826,0.0,-0.0001214751391124379,0.375,0.01836178716598249,0.625
ALL_8,H15,B3,ALL,gbr,8,0.5160451433729685,1.0,-0.006880668439980475,0.125,-0.005289195216927944,0.125,-8.731133546846492e-06,0.5,0.062091602599316384,0.875
ALL_8,H15,B3,ALL,logistic,8,0.5081988005387003,1.0,-0.010627384632583947,0.0,-0.012038202192217073,0.0,-4.7249529589155875e-05,0.375,0.01392355742590172,0.625
ALL_8,H15,B3,TOP20,gbr,8,0.5196096725454075,1.0,-0.0071819464721554205,0.125,-0.0055295730810307475,0.125,-0.000115041867922871,0.5,0.06982099833695746,0.875
ALL_8,H15,B3,TOP20,logistic,8,0.5140220000543076,1.0,-0.016665400548450338,0.125,-0.019968089836936875,0.125,-0.00016045478210047762,0.375,0.012309781010506853,0.625
ALL_8,H15,B3,TOP30,gbr,8,0.5168174711103682,1.0,-0.0064060151861181636,0.125,-0.004824777928374213,0.125,-0.00017170569613915795,0.375,0.06811580747118239,0.875
ALL_8,H15,B3,TOP30,logistic,8,0.5127227372136339,1.0,-0.015953959362353,0.0,-0.016425227788149588,0.0,-0.00012017164513780234,0.375,0.013354193649090403,0.625
ALL_8,H15,B3,TOP50,gbr,8,0.5185738067463045,1.0,-0.005098098790624728,0.125,-0.003836687874124056,0.125,-5.6378226159615315e-05,0.25,0.06766005350620533,0.75
ALL_8,H15,B3,TOP50,logistic,8,0.5122640040993549,1.0,-0.011834308836033425,0.0,-0.012531612448148266,0.0,-8.013741634739767e-05,0.375,0.013722322353372429,0.625
ALL_8,H5,B0,ALL,gbr,8,0.5307315125349958,1.0,-0.00013971313889077352,0.5,-0.00024488217683377167,0.5,3.666110542388347e-05,0.625,0.12325352840489653,1.0
ALL_8,H5,B0,ALL,logistic,8,0.5242497649748735,1.0,-0.0030243772252114276,0.25,-0.004824225776831059,0.25,-1.89993864189006e-05,0.375,0.03615299457680629,1.0
ALL_8,H5,B0,TOP20,gbr,8,0.5266952482821219,1.0,-0.0020785643360760053,0.375,-0.0015477236589688248,0.375,7.03289702460817e-05,0.75,0.09016211463850068,1.0
ALL_8,H5,B0,TOP20,logistic,8,0.530333178340376,1.0,-0.010894315743890992,0.125,-0.01360174245364587,0.125,6.460377419138733e-06,0.5,0.026274872955950625,0.875
ALL_8,H5,B0,TOP30,gbr,8,0.5330780096593402,1.0,-0.0004639593103303863,0.5,-0.0004010254069503061,0.5,6.104174765578428e-05,0.625,0.13326858221601234,1.0
ALL_8,H5,B0,TOP30,logistic,8,0.5259995541171019,1.0,-0.007199584729842945,0.125,-0.0092726847795368,0.125,-1.6005661298481185e-05,0.375,0.030821066038800884,0.875
ALL_8,H5,B0,TOP50,gbr,8,0.530716062240281,1.0,-0.0014966478926121685,0.375,-0.0012339562723260311,0.375,2.850227609967431e-05,0.625,0.12413561945228488,1.0
ALL_8,H5,B0,TOP50,logistic,8,0.5238551042336159,1.0,-0.004697439552662441,0.125,-0.0069796498684076,0.125,-4.659256554745151e-05,0.375,0.030731336736565234,0.875
ALL_8,H5,B1,ALL,gbr,8,0.5319163357038765,1.0,0.0007876521000536041,0.625,0.00034093102912374773,0.5,1.0898532936005656e-06,0.5,0.1284323050373523,1.0
ALL_8,H5,B1,ALL,logistic,8,0.5254745776073404,1.0,-0.0031308160563462417,0.125,-0.004092985237101776,0.0,7.502344411367958e-06,0.625,0.06513161647887677,1.0
ALL_8,H5,B1,TOP20,gbr,8,0.5265327591997739,1.0,-0.0007488750363829899,0.375,-0.000561399092345094,0.375,2.8118972521914112e-05,0.5,0.11049266393530408,1.0
ALL_8,H5,B1,TOP20,logistic,8,0.5322299443847114,1.0,-0.010770160869280399,0.125,-0.012699194726862761,0.125,-2.9360747708660974e-06,0.5,0.04077155944798234,0.875
ALL_8,H5,B1,TOP30,gbr,8,0.5348148704788096,1.0,0.0008202876802601566,0.5,0.0005671514659340016,0.5,3.588503198818267e-05,0.625,0.1322305348622515,1.0
ALL_8,H5,B1,TOP30,logistic,8,0.5268758826691419,1.0,-0.007290864175237388,0.125,-0.009585532130279795,0.125,-1.4124309667256487e-05,0.5,0.04348070882138873,1.0
ALL_8,H5,B1,TOP50,gbr,8,0.532526174891659,1.0,-0.0005927642863706728,0.375,-0.0005464054614492397,0.375,6.983720064483953e-06,0.5,0.1314427250050417,1.0
ALL_8,H5,B1,TOP50,logistic,8,0.5243194290284277,1.0,-0.004778612130091564,0.125,-0.007528806692719603,0.125,5.695044283625835e-06,0.5,0.04662409273339488,1.0
ALL_8,H5,B2,ALL,gbr,8,0.5321516300301119,1.0,5.0235592159775244e-05,0.5,-0.00010619933738376108,0.5,2.381991982520004e-05,0.75,0.12496148764334895,1.0
ALL_8,H5,B2,ALL,logistic,8,0.5254559186353036,1.0,-0.0036070368432553623,0.125,-0.0050616044368527735,0.125,2.2187742300182475e-05,0.625,0.04719377112514163,1.0
ALL_8,H5,B2,TOP20,gbr,8,0.5285260570491572,1.0,-0.0018401594979993163,0.375,-0.0013932493111457056,0.375,-3.3326918397236135e-06,0.5,0.10782074715124335,1.0
ALL_8,H5,B2,TOP20,logistic,8,0.528399791119879,1.0,-0.012610804166165002,0.125,-0.015074180410438287,0.125,6.492221410391873e-05,0.625,0.030693998269850555,0.875
ALL_8,H5,B2,TOP30,gbr,8,0.5317344078357601,1.0,-0.0002773301273497064,0.5,-0.0002638323984092139,0.5,3.0021521784291067e-05,0.625,0.13351333570081003,1.0
ALL_8,H5,B2,TOP30,logistic,8,0.5252886838577542,1.0,-0.010075764113177454,0.125,-0.011451488819854028,0.125,1.9890272068284498e-05,0.5,0.0341340919889907,0.875
