horizon,feature_set,model,fold,train_rows,test_rows,purge_rows,train_end_time,test_start_time,test_end_time,oos_r2_vs_hist_mean,mae,rmse,pearson_ic,spearman_ic,sign_accuracy_raw
2,stats_15m,ridge,0,3500,750,2,2025-12-12 01:30:00,2025-12-12 02:15:00,2026-01-14 00:45:00,-0.018239406906694455,0.8484691520438491,1.2803027930407969,0.05201408189083428,0.006539322198284645,0.5226666666666666
2,stats_15m,ridge,1,4250,750,2,2026-01-14 00:15:00,2026-01-14 01:00:00,2026-02-11 10:00:00,-0.007297330074478969,0.9269230216162356,2.6258342293142554,0.0019889691989122714,-0.005297827749921657,0.49466666666666664
2,stats_15m,ridge,2,5000,750,2,2026-02-11 09:30:00,2026-02-11 10:30:00,2026-03-20 02:15:00,-0.001191692313417425,0.8266201625447892,1.488108323587859,-0.005636771019184082,-0.0059646399795529595,0.4826666666666667
2,stats_15m,ridge,3,5750,750,2,2026-03-20 01:45:00,2026-03-20 09:00:00,2026-04-21 01:00:00,-0.010888873989470804,0.7749353014083835,1.3156734948254087,-0.028768130528378916,-0.06863801267387391,0.47733333333333333
2,stats_15m,ridge,4,6500,750,2,2026-04-21 00:30:00,2026-04-21 01:15:00,2026-05-22 23:45:00,0.0004406580002390692,0.8082098733765406,1.2939156875599263,0.01735530998641718,0.013159320330121176,0.5293333333333333
2,stats_15m,ridge,5,7250,750,2,2026-05-22 23:15:00,2026-05-23 00:00:00,2026-06-23 22:30:00,-0.0007947173104814187,0.8069498719306151,1.29080545829675,-0.01522505200179256,-0.02502582226812847,0.49333333333333335
2,stats_15m,ridge,6,8000,750,2,2026-06-23 22:00:00,2026-06-23 22:45:00,2026-07-22 01:00:00,-0.016331110534404836,0.7576309287915038,1.2049728123758103,-0.06990843360231472,-0.07341272833868726,0.48933333333333334
2,stats_15m,ridge,7,8750,750,2,2026-07-22 00:30:00,2026-07-22 01:15:00,2026-08-19 10:00:00,0.00485200197510971,0.8207521266857704,1.3431679425194079,0.07236003692329245,0.02747112111049505,0.4786666666666667
2,stats_15m,ridge,8,9500,475,2,2026-08-19 09:30:00,2026-08-19 10:30:00,2026-09-05 02:00:00,-0.011482463708091917,0.744821343018752,1.2278335982157198,-0.045020075439763635,-0.07921986946228536,0.4652631578947368
2,stats_15m,elastic,0,3500,750,2,2025-12-12 01:30:00,2025-12-12 02:15:00,2026-01-14 00:45:00,-0.018576873079614753,0.8487793026520355,1.2805149352385814,0.051606064970289585,0.006070428640165816,0.5226666666666666
