offset,n_trades,mean_gross_return,mean_gross_bps,median_gross_return,win_rate,break_even_roundtrip_cost_bps,break_even_oneway_cost_bps,instrument,horizon,fold,model
0,1104,1.0820645096421483e-05,0.10820645096421483,0.0,0.4519927536231884,0.10820645096421483,0.054103225482107414,AG,1,0,LASSO
0,1104,1.197944414405258e-05,0.11979444144052581,0.0,0.4375,0.11979444144052581,0.059897220720262906,AG,1,0,RF
0,1008,1.7631633275789597e-05,0.17631633275789596,0.0,0.43452380952380953,0.17631633275789596,0.08815816637894798,AG,1,1,LASSO
0,1008,3.869660990962291e-06,0.03869660990962291,0.0,0.42658730158730157,0.03869660990962291,0.019348304954811456,AG,1,1,RF
0,989,5.523080547849626e-05,0.5523080547849626,0.0,0.4974721941354904,0.5523080547849626,0.2761540273924813,AG,1,2,LASSO
0,989,4.454559174513388e-06,0.04454559174513388,0.0,0.46814964610717896,0.04454559174513388,0.02227279587256694,AG,1,2,RF
0,816,4.731812579651091e-06,0.04731812579651091,0.0,0.48284313725490197,0.04731812579651091,0.023659062898255454,AG,1,3,LASSO
0,816,4.085360265007473e-05,0.40853602650074733,0.0,0.48651960784313725,0.40853602650074733,0.20426801325037366,AG,1,3,RF
0,979,9.985670008007498e-05,0.9985670008007498,8.765009329514406e-05,0.5291113381001021,0.9985670008007498,0.4992835004003749,AG,1,4,LASSO
0,979,3.5591002123017295e-06,0.035591002123017294,0.0,0.48314606741573035,0.035591002123017294,0.017795501061508647,AG,1,4,RF
0,1037,6.493767534285299e-05,0.6493767534285299,0.00014532770368247405,0.5351976856316297,0.6493767534285299,0.3246883767142649,AG,1,5,LASSO
0,1037,4.796783407330682e-05,0.47967834073306814,0.0001111605157848583,0.5226615236258437,0.47967834073306814,0.23983917036653407,AG,1,5,RF
0,960,0.0001234960211939885,1.234960211939885,0.00016229553501134752,0.5270833333333333,1.234960211939885,0.6174801059699425,AG,1,6,LASSO
0,960,0.00015481133117980586,1.5481133117980586,4.3178269321875185e-05,0.5020833333333333,1.5481133117980586,0.7740566558990293,AG,1,6,RF
0,624,-0.00022025153503110864,-2.2025153503110864,0.0,0.4375,-2.2025153503110864,-1.1012576751555432,AG,1,7,LASSO
0,624,-3.881978130676851e-05,-0.38819781306768514,0.0,0.44871794871794873,-0.38819781306768514,-0.19409890653384257,AG,1,7,RF
0,1075,5.106621124562205e-05,0.5106621124562205,4.376942268136119e-05,0.5004651162790698,0.5106621124562205,0.25533105622811025,AG,1,8,LASSO
0,1075,6.241550315051201e-05,0.6241550315051201,-5.539552404165704e-05,0.4790697674418605,0.6241550315051201,0.31207751575256004,AG,1,8,RF
0,893,2.881262894484637e-06,0.028812628944846368,0.0,0.48600223964165734,0.028812628944846368,0.014406314472423184,AG,1,9,LASSO
0,893,-6.520869153637656e-05,-0.6520869153637656,-5.617661929102624e-05,0.4658454647256439,-0.6520869153637656,-0.3260434576818828,AG,1,9,RF
0,883,9.417213936957744e-05,0.9417213936957743,0.0001018070755918199,0.5175537938844847,0.9417213936957743,0.4708606968478872,AG,1,10,LASSO
0,883,8.983502745185655e-05,0.8983502745185655,5.219751539820017e-05,0.5028312570781427,0.8983502745185655,0.44917513725928276,AG,1,10,RF
0,960,-5.7967055800972845e-06,-0.05796705580097285,7.085711313170595e-05,0.515625,-0.05796705580097285,-0.028983527900486424,AG,1,11,LASSO
0,960,-5.874255786762865e-05,-0.5874255786762865,0.0,0.490625,-0.5874255786762865,-0.29371278933814327,AG,1,11,RF
0,1085,6.109689558079474e-06,0.061096895580794744,-6.766815089442879e-05,0.47096774193548385,0.061096895580794744,0.030548447790397372,AG,1,12,LASSO
0,1085,1.5814655036801006e-05,0.15814655036801006,-6.848376476653595e-05,0.46543778801843316,0.15814655036801006,0.07907327518400503,AG,1,12,RF
0,1027,-1.709633503976458e-05,-0.1709633503976458,0.0,0.48685491723466406,-0.1709633503976458,-0.0854816751988229,AG,1,13,LASSO
0,1027,7.166965146412456e-06,0.07166965146412456,0.0,0.48490749756572543,0.07166965146412456,0.03583482573206228,AG,1,13,RF
0,345,4.580325894209673e-05,0.4580325894209673,0.00010876657535163758,0.5130434782608696,0.4580325894209673,0.22901629471048365,AG,3,0,LASSO
1,345,3.5252742161714484e-05,0.35252742161714484,0.00010613456764518858,0.5043478260869565,0.35252742161714484,0.17626371080857242,AG,3,0,LASSO
2,368,2.6755680656878974e-05,0.2675568065687897,0.00010854277722704975,0.5163043478260869,0.2675568065687897,0.13377840328439486,AG,3,0,LASSO
0,345,5.286499736353167e-05,0.5286499736353167,0.0,0.4956521739130435,0.5286499736353167,0.26432498681765837,AG,3,0,RF
1,345,4.9934383163613346e-05,0.49934383163613344,0.0,0.4956521739130435,0.49934383163613344,0.24967191581806672,AG,3,0,RF
2,368,-3.930277206544732e-05,-0.39302772065447317,0.0,0.4592391304347826,-0.39302772065447317,-0.19651386032723658,AG,3,0,RF
0,315,9.820307309646755e-06,0.09820307309646756,0.0,0.4253968253968254,0.09820307309646756,0.04910153654823378,AG,3,1,LASSO
1,315,2.031635717760172e-05,0.2031635717760172,0.0,0.4507936507936508,0.2031635717760172,0.1015817858880086,AG,3,1,LASSO
2,336,4.913793898588609e-05,0.49137938985886087,0.0,0.4791666666666667,0.49137938985886087,0.24568969492943044,AG,3,1,LASSO
0,315,-5.0041595165957924e-05,-0.5004159516595792,-0.00010692898797870498,0.4031746031746032,-0.5004159516595792,-0.2502079758297896,AG,3,1,RF
1,315,-1.5250880805904036e-05,-0.15250880805904035,0.0,0.43174603174603177,-0.15250880805904035,-0.07625440402952018,AG,3,1,RF
2,336,-4.4713699287456774e-05,-0.44713699287456776,0.0,0.45535714285714285,-0.44713699287456776,-0.22356849643728388,AG,3,1,RF
0,309,0.00015092141643870537,1.5092141643870536,9.170104635014553e-05,0.5016181229773463,1.5092141643870536,0.7546070821935268,AG,3,2,LASSO
1,309,0.0001761517335763442,1.761517335763442,9.949257813546275e-05,0.517799352750809,1.761517335763442,0.880758667881721,AG,3,2,LASSO
2,329,0.00016036866096812022,1.6036866096812021,0.00020082335614857172,0.541033434650456,1.6036866096812021,0.8018433048406011,AG,3,2,LASSO
0,309,0.00017270134251611994,1.7270134251611995,9.174311104653832e-05,0.5016181229773463,1.7270134251611995,0.8635067125805997,AG,3,2,RF
