meta_base_bar_time,meta_decision_time,open,high,low,close,volume,close_oi,feat_15m_ret_1,feat_15m_ret_4,feat_15m_ret_8,feat_15m_ret_16,feat_15m_location_32,feat_time_bars_since_segment_start,feat_time_after_long_gap,feat_5m_1h_rv,feat_5m_rv_rate_ratio_1h_4h,target_raw_return_h4,target_long_mfe_h4,target_short_mfe_h4,target_raw_return_h8,target_long_mfe_h8,target_short_mfe_h8
2025-01-02 09:00:00,2025-01-02 09:15:00,2722.0,2731.0,2719.0,2726.0,229719,2358702,,,,,,0.0,,,,0.0,0.0018325092172277735,0.003307002830129413,-0.0018358734732313309,0.0018325092172277735,0.003307002830129413
2025-01-02 09:15:00,2025-01-02 09:30:00,2726.0,2731.0,2723.0,2726.0,112406,2357026,0.0,,,,,1.0,0.0,,,-0.0011011195827181908,0.0014662759225281263,0.003307002830129413,-0.004043379888441834,0.0014662759225281263,0.00441177186166275
2025-01-02 09:30:00,2025-01-02 09:45:00,2726.0,2730.0,2717.0,2722.0,82968,2354461,-0.0014684290450661663,,,,,2.0,0.0,,,0.0011015238859330978,0.0029347049675942927,0.0018385737850632466,-0.004049333712745629,0.0029347049675942927,0.004418269337664427
2025-01-02 09:45:00,2025-01-02 10:00:00,2722.0,2722.0,2717.0,2720.0,48211,2355881,-0.0007350239213685938,,,,,3.0,0.0,9.438522650960065e-06,,0.0011023333837165694,0.0036697288889628865,0.0,-0.003683245416295833,0.0036697288889628865,0.003683245416295833
2025-01-02 10:00:00,2025-01-02 10:15:00,2720.0,2730.0,2720.0,2726.0,80375,2354487,0.00220345296643476,0.0,,,,4.0,0.0,1.0787983799765842e-05,,-0.002202644062342607,0.0007331378627499774,0.002570223555546036,-0.005515733785302679,0.0007331378627499774,0.008100191565007187
2025-01-02 10:30:00,2025-01-02 10:45:00,2727.0,2729.0,2723.0,2723.0,51229,2351223,-0.0011011195827181908,-0.0011011195827181908,,,,0.0,0.0,1.1462069300888102e-05,,-0.0033094349013671476,0.0014673516939502917,0.003677826874588064,-0.002573057843054727,0.0014673516939502917,0.006999475988821224
2025-01-02 10:45:00,2025-01-02 11:00:00,2724.0,2728.0,2723.0,2725.0,35920,2354465,0.0007342144235851222,0.0011015238859330978,,,,1.0,0.0,8.770864686104733e-06,,-0.004783817770737109,0.0007339449870746861,0.005152753395655907,-0.002941178590815774,0.0007339449870746861,0.006999475988821224
2025-01-02 11:00:00,2025-01-02 11:15:00,2724.0,2726.0,2720.0,2723.0,39399,2356395,-0.0007342144235851222,0.0011023333837165694,,,,2.0,0.0,6.6044637334769554e-06,,-0.004785578800012402,0.0007342144235851222,0.004785578800012402,0.0007342144235851222,0.0018345262895937964,0.00663230139317772
2025-01-02 11:15:00,2025-01-02 11:30:00,2723.0,2725.0,2720.0,2721.0,35061,2350624,-0.0007347538905131401,-0.0018358734732313309,-0.0018358734732313309,,,3.0,0.0,4.986754604378601e-06,,-0.0029455102297566427,0.0,0.00552996800946115,-0.0003677146575720158,0.002936859673310366,0.00552996800946115
2025-01-02 13:30:00,2025-01-02 13:45:00,2720.0,2720.0,2714.0,2715.0,88091,2347209,-0.002207506415210503,-0.002942260305723643,-0.004043379888441834,,,0.0,1.0,7.023702596610234e-06,,0.0007363770583124207,0.0014722122644350577,0.0036900410874540768,-0.0036900410874540768,0.004776786595317439,0.0051698785754199506
2025-01-02 13:45:00,2025-01-02 14:00:00,2715.0,2715.0,2710.0,2711.0,83217,2343947,-0.0014743828693699612,-0.005150857598678726,-0.004049333712745629,,,1.0,0.0,8.938127536357892e-06,,0.002211574804840133,0.003315530758723817,0.0018467225931653175,-0.003696861881326896,0.006620105089606199,0.0051794418415491705
2025-01-02 14:00:00,2025-01-02 14:15:00,2710.0,2714.0,2710.0,2710.0,32684,2340427,-0.00036893562491879806,-0.004785578800012402,-0.003683245416295833,,,2.0,0.0,8.813874391120837e-06,,0.0055197932235975244,0.006620105089606199,0.0018467225931653175,-0.0018467225931653175,0.006620105089606199,0.0051794418415491705
2025-01-02 14:15:00,2025-01-02 14:30:00,2710.0,2715.0,2705.0,2712.0,74164,2336708,0.0007377351865391901,-0.003313089722960072,-0.005148963196191403,,,3.0,0.0,1.4273449880887406e-05,,0.002577795572184627,0.0058823699030670085,0.0007377351865391901,-0.0029542118974310583,0.0058823699030670085,0.005917177028088361
2025-01-02 14:30:00,2025-01-02 14:45:00,2712.0,2719.0,2710.0,2717.0,88570,2325266,0.0018419603660619899,0.0007363770583124207,-0.002205883247411222,,,4.0,0.0,1.3062712328541152e-05,,-0.004794403430507188,0.003672424252264328,0.006274240918473062,-0.005164157548233739,0.003672424252264328,0.008127122678891041
2025-01-02 14:45:00,2025-01-02 15:00:00,2718.0,2719.0,2711.0,2716.0,63630,2321102,-0.0003681207477610471,0.0018426391799213349,-0.0033082184187573915,,,5.0,0.0,1.699808067114764e-05,,-0.006644542718668767,0.003672424252264328,0.008127122678891041,-0.0022099456508026805,0.003672424252264328,0.008127122678891041
2025-01-02 21:00:00,2025-01-02 21:15:00,2718.0,2728.0,2718.0,2725.0,106441,2327011,0.0033082184187573915,0.0055197932235975244,0.0007342144235851222,,,0.0,1.0,2.455931244234411e-05,1.9879574514237794,-0.0077334209758959105,0.000366770589111276,0.011066140224279764,-0.0018358734732313309,0.000366770589111276,0.011066140224279764
2025-01-02 21:15:00,2025-01-02 21:30:00,2726.0,2727.0,2718.0,2719.0,79378,2331986,-0.0022042624648737075,0.002577795572184627,-0.0007352941507754451,-0.002571167624006776,,1.0,0.0,2.1799155213482853e-05,1.681795343216174,-0.005532007469615685,0.0,0.008494972600272988,-0.0003678499213819464,0.0018372226369320899,0.008494972600272988
2025-01-02 21:30:00,2025-01-02 21:45:00,2719.0,2719.0,2701.0,2705.0,139123,2339151,-0.0051622533518891345,-0.0044264181457664975,-0.0036900410874540768,-0.0077334209758959105,,2.0,0.0,2.900619080496427e-05,1.9160331247827334,-0.00036975411772655065,0.0022156582180841156,0.003332719248383853,0.006264991930829744,0.006999475988821224,0.003332719248383853
2025-01-02 21:45:00,2025-01-02 22:00:00,2705.0,2705.0,2696.0,2700.0,133196,2336564,-0.0018501392881615786,-0.005908436686167029,-0.004065797506245694,-0.008115131218991323,,3.0,0.0,3.18179177170636e-05,1.9131407565780818,0.004434597067866086,0.005540180375615655,0.00037043897441524365,0.004065797506245694,0.008849615276982803,0.00037043897441524365
2025-01-02 22:00:00,2025-01-02 22:15:00,2700.0,2706.0,2699.0,2705.0,48435,2338044,0.0018501392881615786,-0.007366515816762842,-0.0018467225931653175,-0.00552996800946115,,4.0,0.0,2.7003669437461355e-05,1.6126089743042493,0.00589754750266458,0.006999475988821224,0.0014798374879658738,0.0033216491142331606,0.006999475988821224,0.0014798374879658738
2025-01-02 22:15:00,2025-01-02 22:30:00,2705.0,2707.0,2703.0,2704.0,39718,2336977,-0.00036975411772655065,-0.005532007469615685,-0.0029542118974310583,-0.008103175093622461,,5.0,0.0,2.4177644456196296e-05,1.482449708988579,0.005164157548233739,0.007369230106547775,0.0011100833702393231,0.0007393715678780666,0.007369230106547775,0.0011100833702393231
2025-01-02 22:30:00,2025-01-02 22:45:00,2704.0,2711.0,2701.0,2704.0,92109,2337930,0.0,-0.00036975411772655065,-0.004796172263493048,-0.00700205551090427,,6.0,0.0,1.8213927801837565e-05,1.0824463448672872,0.006634746048556295,0.007369230106547775,0.0003698908864073758,0.0,0.007369230106547775,0.0022214003951539496
2025-01-02 22:45:00,2025-01-02 23:00:00,2704.0,2715.0,2703.0,2712.0,65952,2329054,0.0029542118974310583,0.004434597067866086,-0.0014738396183009428,-0.004782058037058334,,7.0,0.0,1.5562009652809406e-05,0.8490360017071612,-0.0025787452124230725,0.0022050725583140363,0.0029476808373418706,-0.004424785980355672,0.0022050725583140363,0.007385557943387688
2025-01-03 09:00:00,2025-01-03 09:15:00,2718.0,2724.0,2715.0,2721.0,112668,2326854,0.003313089722960072,0.00589754750266458,-0.0014689683140982623,-0.0007347538905131401,,0.0,1.0,1.7691794817478683e-05,0.9064737033790673,-0.002575898388431419,0.0007347538905131401,0.0047891047510804086,-0.00626730162039113,0.0007347538905131401,0.00848870201554508
2025-01-03 09:15:00,2025-01-03 09:30:00,2721.0,2722.0,2716.0,2718.0,59512,2324803,-0.0011031440721573915,0.005164157548233739,-0.0003678499213819464,-0.0011031440721573915,,1.0,0.0,1.8496061415891694e-05,0.9395264966136653,-0.0047926359017376186,0.0014700480412885852,0.0051622533518891345,-0.009608351820872052,0.0014700480412885852,0.010351293905564773
2025-01-03 09:30:00,2025-01-03 09:45:00,2719.0,2723.0,2718.0,2722.0,39089,2324884,0.001470588500322556,0.006634746048556295,0.006264991930829744,0.0025749508433756674,,2.0,0.0,1.8188177240612834e-05,0.9271285109440379,-0.006634746048556295,0.00036730946234797557,0.008856146443710244,-0.010339826241102301,0.00036730946234797557,0.013686176268445926
2025-01-03 09:45:00,2025-01-03 10:00:00,2722.0,2723.0,2710.0,2711.0,50808,2322002,-0.004049333712745629,-0.00036879956162039207,0.004065797506245694,0.0,,3.0,0.0,1.9644048871820467e-05,0.9351853355457791,-0.0018460407679325996,0.0018426391799213349,0.004806812730964616,-0.011873979954057035,0.0018426391799213349,0.01486463638870461
2025-01-03 10:00:00,2025-01-03 10:15:00,2711.0,2716.0,2708.0,2714.0,73786,2324194,0.001105990896149045,-0.002575898388431419,0.0033216491142331606,0.001474926521067843,,4.0,0.0,1.5038504344049882e-05,0.713627665610767,-0.0033228754960763496,0.0011051760196556515,0.005544275891230299,-0.010746814567358598,0.0011051760196556515,0.015602099548970294
2025-01-03 10:30:00,2025-01-03 10:45:00,2713.0,2716.0,2705.0,2706.0,67130,2331182,-0.0029520316640816446,-0.004424785980355672,0.0007393715678780666,-0.0022148403295529917,,0.0,0.0,1.872517722838527e-05,0.9002701317415175,-0.0044460984689829175,0.0018467225931653175,0.005189040553675639,-0.007048814197398556,0.0018467225931653175,0.012648978170620495
2025-01-03 10:45:00,2025-01-03 11:00:00,2705.0,2706.0,2698.0,2704.0,72769,2331514,-0.0007393715678780666,-0.006634746048556295,0.0,-0.004796172263493048,,1.0,0.0,2.013479501814685e-05,0.9415042086702455,-0.004074834310272557,0.0018467225931653175,0.007421184337616182,-0.006304489637541266,0.0018467225931653175,0.012648978170620495
2025-01-03 11:00:00,2025-01-03 11:15:00,2705.0,2708.0,2698.0,2706.0,71778,2327338,0.0007393715678780666,-0.0018460407679325996,-0.0022148403295529917,-0.0036886799478539345,,2.0,0.0,1.8709875061913013e-05,0.8729282437414991,-0.010027939186124435,0.0014771051430138016,0.013018595620772011,-0.014517284548718479,0.0014771051430138016,0.015267472130788384
2025-01-03 11:15:00,2025-01-03 11:30:00,2706.0,2707.0,2700.0,2704.0,42611,2325347,-0.0007393715678780666,-0.003691403231959711,-0.00626730162039113,-0.007736269934489393,0.22857142857142856,3.0,0.0,1.9129496296998994e-05,0.9702589822665498,-0.006313855701042925,0.0033265600811311913,0.011169140682654621,-0.014168767978683938,0.0033265600811311913,0.014544354837559226
2025-01-03 13:30:00,2025-01-03 13:45:00,2701.0,2710.0,2691.0,2693.0,107594,2314605,-0.004076344351256367,-0.004815715919134433,-0.009240501899490106,-0.009608351820872052,0.05,0.0,1.0,2.7821975790580665e-05,1.2473305519084323,-0.002602715728415639,0.0011133792205990645,0.008202879701637578,-0.012329691035853685,0.0011133792205990645,0.015341741505845441
2025-01-03 13:45:00,2025-01-03 14:00:00,2693.0,2696.0,2685.0,2694.0,128715,2311634,0.00037126415871036045,-0.0037050801925460064,-0.010339826241102301,-0.004074834310272557,0.2,1.0,0.0,2.8829752625294692e-05,1.3508671931356737,-0.002229655327268709,0.000742115061888704,0.008574143860347938,-0.009697949934794892,0.000742115061888704,0.0157130056645558
2025-01-03 14:00:00,2025-01-03 14:15:00,2694.0,2696.0,2671.0,2679.0,157695,2303283,-0.005583487425700362,-0.010027939186124435,-0.011873979954057035,-0.00780818244781134,0.13559322033898305,2.0,0.0,3.931594563636533e-05,1.6868026672449576,-0.004489345362594044,0.0037257867242557197,0.005239532944663949,-0.003365118150313151,0.0037257867242557197,0.01012951823885544
2025-01-03 14:15:00,2025-01-03 14:30:00,2679.0,2689.0,2676.0,2684.0,92025,2308535,0.00186462854696412,-0.007423939071282248,-0.01111534230324196,-0.007793693189008799,0.22033898305084745,3.0,0.0,4.864223481715319e-05,1.9359702359733733,-0.00822742112903363,0.001488649325898983,0.008603007987908917,-0.001490868707006321,0.001488649325898983,0.012366655637212176
2025-01-03 14:30:00,2025-01-03 14:45:00,2685.0,2689.0,2682.0,2686.0,55006,2307099,0.0007448789916102427,-0.002602715728415639,-0.007418431647550072,-0.006679060079672006,0.25862068965517243,4.0,0.0,3.505295083167101e-05,1.4007709781222732,-0.009726975307438046,0.0007443245598572901,0.012739025777429802,-0.004477619421294321,0.0007443245598572901,0.012739025777429802
2025-01-03 14:45:00,2025-01-03 15:00:00,2686.0,2688.0,2682.0,2688.0,59489,2292291,0.0007443245598572901,-0.002229655327268709,-0.005934735519814716,-0.005934735519814716,0.2982456140350877,5.0,0.0,3.5496528376605287e-05,1.3832162338860126,-0.0037411192156033835,0.0007465472537848683,0.009756174945364293,-0.0011208669210107658,0.00149253759050616,0.009756174945364293
2025-01-03 21:00:00,2025-01-03 21:15:00,2678.0,2680.0,2665.0,2667.0,197743,2289812,-0.007843177461025697,-0.004489345362594044,-0.014517284548718479,-0.01673212487827147,0.031746031746031744,0.0,1.0,5.398762336740207e-05,1.6402446123755534,0.0011242272122808927,0.0022471919569042598,0.005640172876261396,0.010072832788294406,0.01081494785018311,0.005640172876261396
2025-01-03 21:15:00,2025-01-03 21:30:00,2667.0,2672.0,2662.0,2663.0,75344,2292503,-0.0015009383680828492,-0.007854912277641013,-0.015278851348923261,-0.02154615296931439,0.015151515151515152,1.0,0.0,4.528036114833815e-05,1.4140104690878195,0.006736552422027309,0.007109478027691907,0.0041392345081785464,0.015278851348923261,0.016387703800369025,0.0041392345081785464
2025-01-03 21:30:00,2025-01-03 21:45:00,2663.0,2663.0,2652.0,2660.0,147641,2300187,-0.0011271840381867904,-0.009726975307438046,-0.012329691035853685,-0.02157019293534379,0.10526315789473684,2.0,0.0,5.901337987391264e-05,1.6787402832438192,0.005249355886143725,0.008236662065878697,0.00037601053272506846,0.012700955194564045,0.017514887838555815,0.00037601053272506846
2025-01-03 21:45:00,2025-01-03 22:00:00,2660.0,2669.0,2659.0,2668.0,62787,2298286,0.0030030052597691537,-0.0074682946075261825,-0.009697949934794892,-0.020037776175897193,0.21052631578947367,3.0,0.0,5.6009844564981276e-05,1.5949164234622668,0.0022455099255829225,0.004858914437099848,0.00037474236900969515,0.011547902587896175,0.014137140209776966,0.003377747628778849
2025-01-03 22:00:00,2025-01-03 22:15:00,2669.0,2673.0,2668.0,2670.0,56595,2298167,0.0007493443587813786,0.0011242272122808927,-0.003365118150313151,-0.015239098104370186,0.23684210526315788,4.0,0.0,2.0486668965903295e-05,0.618464950622946,0.008948605576013513,0.009690720637902217,0.0037523496185505323,0.014131882637870241,0.015607897665990578,0.0037523496185505323
2025-01-03 22:15:00,2025-01-03 22:30:00,2670.0,2682.0,2669.0,2681.0,73955,2295374,0.004111386841663567,0.006736552422027309,-0.0011183598556137042,-0.012233702158855664,0.3815789473684211,5.0,0.0,2.4797997345429916e-05,0.7195641995144596,0.008542298926895953,0.009651151378341716,0.007863736460214099,0.00780238028418534,0.011496510824327011,0.007863736460214099
2025-01-03 22:30:00,2025-01-03 22:45:00,2681.0,2681.0,2673.0,2674.0,80711,2295737,-0.002614380574070374,0.005249355886143725,-0.004477619421294321,-0.011896051068844393,0.2894736842105263,6.0,0.0,1.4275420386111103e-05,0.4193604482771938,0.00745159930842032,0.01226553195241209,0.005249355886143725,0.008564565477841235,0.014110891398397385,0.005249355886143725
2025-01-03 22:45:00,2025-01-03 23:00:00,2674.0,2677.0,2673.0,2675.0,41961,2285317,0.00037390166821804627,0.0026202522945926177,-0.004848042312933565,-0.01078277783274828,0.3026315789473684,7.0,0.0,1.1874158736534132e-05,0.35925068307949737,0.014925650216675024,0.017514887838555815,0.0,0.01121507082013995,0.01936024728454111,0.0
2025-01-06 09:00:00,2025-01-06 09:15:00,2660.0,2696.0,2660.0,2694.0,208807,2277994,0.007077697640202274,0.008948605576013513,0.010072832788294406,-0.004444451760424073,0.5526315789473685,0.0,1.0,3.615342239559e-05,0.9644535102723452,0.005183277061856728,0.006659292089977065,0.0014858843744240957,-0.001114206243403082,0.006659292089977065,0.002229655327268709
2025-01-06 09:15:00,2025-01-06 09:30:00,2694.0,2707.0,2690.0,2704.0,124667,2283628,0.0037050801925460064,0.008542298926895953,0.015278851348923261,0.0,0.6933333333333334,1.0,0.0,4.964220483968495e-05,1.179410306433095,-0.0011096727604371637,0.0025844577797045076,0.004817500515962969,-0.004074834310272557,0.0025844577797045076,0.007793693189008799
2025-01-06 09:30:00,2025-01-06 09:45:00,2705.0,2706.0,2693.0,2694.0,102439,2283131,-0.0037050801925460064,0.00745159930842032,0.012700955194564045,0.00037126415871036045,0.5833333333333334,2.0,0.0,5.3018156213312305e-05,1.3142832590525946,0.0011129661694209148,0.006659292089977065,0.0007426662056904121,-0.0018577007014446423,0.006659292089977065,0.003718858878736242
2025-01-06 09:45:00,2025-01-06 10:00:00,2694.0,2704.0,2692.0,2700.0,73944,2287024,0.0022246950221109785,0.009302392662313252,0.01192264495690587,0.0022246950221109785,0.6666666666666666,3.0,0.0,6.248113124707433e-05,1.5068251492270115,-0.0033401404221198305,0.00480503604228133,0.004083911374964444,-0.0033401404221198305,0.00480503604228133,0.005573114926431977
2025-01-06 10:00:00,2025-01-06 10:15:00,2699.0,2712.0,2699.0,2708.0,107474,2294213,0.0029585820397457496,0.005183277061856728,0.014131882637870241,0.01076676448755709,0.7777777777777778,4.0,0.0,4.474604353461262e-05,1.1519588387306698,-0.006666691358189425,0.00036907178865153156,0.007782140442055052,-0.004439518945365428,0.00036907178865153156,0.009271343993522585
2025-01-06 10:30:00,2025-01-06 10:45:00,2709.0,2710.0,2699.0,2702.0,49712,2296540,-0.0022181155120213347,-0.000739918642710613,0.00780238028418534,0.006684020428571635,0.6944444444444444,0.0,0.0,3.042866020054228e-05,0.8106245103199732,-0.0025949968223066833,0.0011100833702393231,0.006313855701042925,-0.00222387044951855,0.0011100833702393231,0.006313855701042925
2025-01-06 10:45:00,2025-01-06 11:00:00,2701.0,2704.0,2694.0,2697.0,70394,2292508,-0.0018521953804144786,0.0011129661694209148,0.008564565477841235,0.004086946056546914,0.625,1.0,0.0,2.6995472422195366e-05,0.7043716819540164,-0.002970666870865557,0.00037071362797114205,0.004831825048157157,0.0,0.0011117288526900637,0.004831825048157157
2025-01-06 11:00:00,2025-01-06 11:15:00,2697.0,2698.0,2688.0,2690.0,64321,2288996,-0.0025988505438450105,-0.003710579396535074,0.005591813265778178,0.0007437709528446135,0.5277777777777778,2.0,0.0,2.358780943321505e-05,0.6128576387861169,0.00037181632702054657,0.0018577007014446423,0.0018611581772915997,0.0018577007014446423,0.008148193229801315,0.0018611581772915997
2025-01-06 11:15:00,2025-01-06 11:30:00,2689.0,2693.0,2688.0,2691.0,35852,2285763,0.00037167813102101377,-0.00629748330525981,-0.001114206243403082,0.008958626544891324,0.5416666666666666,3.0,0.0,1.661611226451415e-05,0.5632473165327756,0.0018556323751113268,0.002226346003082469,0.00297619267304583,0.002226346003082469,0.007033158734047085,0.00297619267304583
2025-01-06 13:30:00,2025-01-06 13:45:00,2692.0,2694.0,2684.0,2694.0,65272,2281052,0.001114206243403082,-0.0029651615498353934,-0.0037050801925460064,0.011573771156377255,0.5915492957746479,0.0,1.0,2.7890123298328394e-05,0.8403234825766744,0.0003711263727881331,0.0014836797973920568,0.003718858878736242,0.0033351893061386306,0.006290492528356673,0.003718858878736242
