feature,non_na,mean,std,p01,p25,p50,p75,p99
feat_5m_1h_bpv_continuous,3300,3.5139843817417304e-05,4.659954692080518e-05,2.9723829102464618e-06,1.2110118847740046e-05,2.2706681428514353e-05,4.04218458332352e-05,0.00024088923357840834
feat_5m_1h_gap_sq,3300,4.4073966023969195e-05,0.0001631249363230893,0.0,0.0,0.0,1.332925183629418e-05,0.00079894850617984
feat_5m_1h_jump_share,3300,0.2079511517183733,0.20412667736463208,0.0,0.0,0.16560308661382428,0.3451003384768023,0.748724579804512
feat_5m_1h_jump_var,3300,1.0817308196330546e-05,2.666421613331459e-05,0.0,0.0,3.5496690956505318e-06,1.0830984257951517e-05,9.614278285456365e-05
feat_5m_1h_log_volume_mean,3300,8.625327274676449,0.5300958136801789,7.320895840701947,8.296208747975275,8.658757666727785,8.99490919041697,9.716424126619495
feat_5m_1h_max_abs_return,3300,0.005526330261238741,0.0053334374031348405,0.001222460918829024,0.0025173873906610433,0.00384048713400641,0.006199313673569137,0.028265677175327675
feat_5m_1h_neg_semivar_share,3300,0.5008396424334604,0.27952953375174894,0.013539568875665056,0.2613889529221143,0.5075508701473002,0.7426744729069364,0.9848918961564109
feat_5m_1h_oi_log_change,3300,1.8712799233489008e-06,0.020217340543759517,-0.0284499170423205,-0.0067239531355590505,-0.002010636666396446,0.00440216149924744,0.03606282144315133
feat_5m_1h_positive_return_share,3300,0.4910606060606061,0.1364535898593022,0.16666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.8333333333333334
feat_5m_1h_realized_vol,3300,0.007657539123648745,0.005501538205532108,0.0021869454236814927,0.004210227466950538,0.006153351193704138,0.00910011042151143,0.030328530859378047
feat_5m_1h_ret_sum,3300,-0.00018129490570332126,0.00966571872367888,-0.031412456007351944,-0.0040312661351234475,-0.00019659579952782137,0.004149129013111472,0.02665796724258201
feat_5m_1h_rsv_neg,3300,4.8086937101452494e-05,0.00014505915610320497,7.556217383766475e-07,6.214407876633178e-06,1.4004785262850614e-05,3.453056802041517e-05,0.0007819051579068444
