feature,n,mean,std,p01,p10,p25,p50,p75,p90,p99,unique
feat_15m_ret_1,3300,-4.512079062525469e-05,0.004860452851724184,-0.013991627871241013,-0.004110351876049859,-0.0017611864102802,6.040612127033995e-05,0.0018767984242162,0.00399867975367444,0.013557526682493744,3258
feat_15m_ret_4,3300,-0.00018129490570332462,0.009665718723678857,-0.03141245600735166,-0.009857553156065468,-0.0040312661351226756,-0.00019659579952865,0.00414912901311165,0.009823225051277248,0.026657967242581546,3284
feat_15m_ret_8,3300,-0.00036290551674523716,0.01365727784764069,-0.039563707685237724,-0.01611304783165413,-0.0068915071686088,-0.00033652447044115,0.006535402576228725,0.015528146237432337,0.03613496321659535,3293
feat_15m_ret_16,3300,-0.0007416696001841442,0.019595685981047575,-0.05169613864172102,-0.024747067762223008,-0.011940814621554675,-0.0008788071905634,0.01140005382563995,0.02261528731805589,0.04769438331742374,3293
feat_15m_location_32,3300,0.4988207158743895,0.30345321604520376,0.019642808874958766,0.102475597309816,0.2134395424836601,0.48961299039714323,0.7905193930509884,0.9133603893071304,0.9827071802085562,3165
feat_15m_volume_ratio_32,3300,1.0174779751488758,0.7181509275507197,0.22525258480621926,0.3649937819140966,0.5411449429665718,0.8140923887163336,1.2826234088048483,1.8947159745532478,3.6514786407871207,3300
feat_15m_oi_log_change_4,3300,1.8712799233565715e-06,0.02021734054375951,-0.028449917042319244,-0.012395041959334718,-0.006723953135558024,-0.0020106366663962504,0.004402161499246575,0.013166516217758807,0.03606282144315068,3300
feat_time_after_long_gap,3300,0.10848484848484849,0.3109917782419149,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
feat_time_bars_since_segment_start,3300,7.0627272727272725,6.477139647755694,0.0,0.0,2.0,4.0,12.0,18.0,21.0,22
feat_5m_1h_ret_sum,3300,-0.00018129490570332083,0.009665718723678841,-0.031412456007351854,-0.009857553156065787,-0.004031266135123375,-0.00019659579952775,0.0041491290131114005,0.009823225051277168,0.02665796724258194,3299
feat_5m_4h_ret_sum,3300,-0.0007416696001841217,0.01959568598104757,-0.05169613864172092,-0.024747067762223216,-0.011940814621553,-0.0008788071905626,0.011400053825639876,0.022615287318056822,0.04769438331742383,3300
feat_5m_1h_rv,3300,8.890482805713123e-05,0.00018003281950808628,4.782730467831911e-06,9.59779449202918e-06,1.7726016228619037e-05,3.786374032224036e-05,8.281201326141613e-05,0.00018418062149525987,0.0009198199103810144,3300
feat_5m_4h_rv,3300,0.00035586520417500223,0.0003585070523182676,4.833092256526901e-05,8.5572593475899e-05,0.00014767265769962502,0.0002392300916781,0.00040727655002905,0.0008089987070179498,0.0017797800670108525,3300
feat_5m_8h_rv,3300,0.0007096745937018717,0.0005164717251635889,0.00017639410679458602,0.00028742156410570003,0.00037614954936675,0.000521674276571,0.00089202249554145,0.00135935425718178,0.0023482104844606685,3300
feat_5m_rv_rate_ratio_1h_4h,3300,1.001797993602565,0.9195436477439174,0.05327643941791068,0.175019491904547,0.3382471650517069,0.6567047068763197,1.3406971939169035,2.5354826375375925,3.6483672608005357,3300
feat_5m_rv_rate_ratio_4h_8h,3300,1.0029606385117456,0.4657759393916755,0.14995367945327556,0.36257430960105197,0.6002011170015331,1.0264914835061836,1.3811211165099184,1.620826676030534,1.8694683982303688,3300
feat_5m_1h_neg_semivar_share,3300,0.5008396424334604,0.27952953375174894,0.013539568875665023,0.10914538572245838,0.2613889529221142,0.5075508701473002,0.7426744729069364,0.8815736651139113,0.9848918961564109,3300
feat_5m_4h_neg_semivar_share,3300,0.5081336886218296,0.24674899109121745,0.05998357239840259,0.15689325542065166,0.30908528720326794,0.5170571510430855,0.69990954103152,0.854363945263343,0.9480170532215498,3300
feat_5m_1h_jump_share,3300,0.20795115171837328,0.20412667736463208,0.0,0.0,0.0,0.16560308661382425,0.3451003384768023,0.5121367879563976,0.748724579804512,2450
feat_5m_4h_jump_share,3300,0.15348168694538672,0.14008813995862895,0.0,0.0,0.0254192023514766,0.13157472254518254,0.2340587627875471,0.3554923235821758,0.5499996234877305,2647
feat_5m_4h_gap_sq,3300,0.00017650991137759697,0.00030836030439118916,0.0,0.0,8.292948793637286e-06,6.284774330945112e-05,0.000191333514754825,0.0005312102152399,0.0014706032720081855,629
feat_5m_1h_positive_return_share,3300,0.4910606060606061,0.1364535898593022,0.1666666666666666,0.3333333333333333,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334,11
feat_5m_1h_max_abs_return,3300,0.0055263302612386924,0.0053334374031348405,0.001222460918828972,0.0017618932320218,0.002517387390661025,0.00384048713400635,0.0061993136735691,0.0112414646007418,0.0282656771753276,1334
