horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,linear_qr,0.1,0,feat_15m_ret_1,standardized_coefficient,0.00047373054957197436,0.00047373054957197436
4,F1_DIRECTION,linear_qr,0.1,0,feat_15m_ret_4,standardized_coefficient,-0.0007325757486171935,0.0007325757486171935
4,F1_DIRECTION,linear_qr,0.1,0,feat_15m_ret_8,standardized_coefficient,-0.0008219306973278133,0.0008219306973278133
4,F1_DIRECTION,linear_qr,0.1,0,feat_15m_ret_16,standardized_coefficient,0.000810878818858117,0.000810878818858117
4,F1_DIRECTION,linear_qr,0.1,0,feat_15m_location_32,standardized_coefficient,0.0017727769496581197,0.0017727769496581197
4,F1_DIRECTION,linear_qr,0.1,0,feat_time_bars_since_segment_start,standardized_coefficient,-0.00014758659924763392,0.00014758659924763392
4,F1_DIRECTION,linear_qr,0.1,0,feat_time_after_long_gap,standardized_coefficient,-0.0014933422611291634,0.0014933422611291634
4,F1_DIRECTION,linear_qr,0.5,0,feat_15m_ret_1,standardized_coefficient,0.00041267661686186547,0.00041267661686186547
4,F1_DIRECTION,linear_qr,0.5,0,feat_15m_ret_4,standardized_coefficient,-0.0007721611732789763,0.0007721611732789763
4,F1_DIRECTION,linear_qr,0.5,0,feat_15m_ret_8,standardized_coefficient,0.00027051267794882066,0.00027051267794882066
4,F1_DIRECTION,linear_qr,0.5,0,feat_15m_ret_16,standardized_coefficient,9.862806563841971e-05,9.862806563841971e-05
4,F1_DIRECTION,linear_qr,0.5,0,feat_15m_location_32,standardized_coefficient,4.305105716576997e-05,4.305105716576997e-05
4,F1_DIRECTION,linear_qr,0.5,0,feat_time_bars_since_segment_start,standardized_coefficient,0.0005695320640657525,0.0005695320640657525
4,F1_DIRECTION,linear_qr,0.5,0,feat_time_after_long_gap,standardized_coefficient,-0.0006221201776585348,0.0006221201776585348
4,F1_DIRECTION,linear_qr,0.9,0,feat_15m_ret_1,standardized_coefficient,-0.0007575206090882647,0.0007575206090882647
4,F1_DIRECTION,linear_qr,0.9,0,feat_15m_ret_4,standardized_coefficient,-0.00043423521263144727,0.00043423521263144727
4,F1_DIRECTION,linear_qr,0.9,0,feat_15m_ret_8,standardized_coefficient,0.0007125613972026135,0.0007125613972026135
4,F1_DIRECTION,linear_qr,0.9,0,feat_15m_ret_16,standardized_coefficient,0.0005197947209193695,0.0005197947209193695
4,F1_DIRECTION,linear_qr,0.9,0,feat_15m_location_32,standardized_coefficient,0.0005637365680321796,0.0005637365680321796
4,F1_DIRECTION,linear_qr,0.9,0,feat_time_bars_since_segment_start,standardized_coefficient,-0.00043131454726363705,0.00043131454726363705
4,F1_DIRECTION,linear_qr,0.9,0,feat_time_after_long_gap,standardized_coefficient,-0.00044609816433666285,0.00044609816433666285
4,F1_DIRECTION,linear_qr,0.1,1,feat_15m_ret_1,standardized_coefficient,2.135296598134637e-05,2.135296598134637e-05
4,F1_DIRECTION,linear_qr,0.1,1,feat_15m_ret_4,standardized_coefficient,0.00020625040920685132,0.00020625040920685132
4,F1_DIRECTION,linear_qr,0.1,1,feat_15m_ret_8,standardized_coefficient,-0.0003580966032182488,0.0003580966032182488
4,F1_DIRECTION,linear_qr,0.1,1,feat_15m_ret_16,standardized_coefficient,0.0013229429768347018,0.0013229429768347018
4,F1_DIRECTION,linear_qr,0.1,1,feat_15m_location_32,standardized_coefficient,0.0006103178592070179,0.0006103178592070179
4,F1_DIRECTION,linear_qr,0.1,1,feat_time_bars_since_segment_start,standardized_coefficient,-9.585683001967517e-05,9.585683001967517e-05
4,F1_DIRECTION,linear_qr,0.1,1,feat_time_after_long_gap,standardized_coefficient,-0.0008177076300123907,0.0008177076300123907
4,F1_DIRECTION,linear_qr,0.5,1,feat_15m_ret_1,standardized_coefficient,-1.6364867387978125e-05,1.6364867387978125e-05
4,F1_DIRECTION,linear_qr,0.5,1,feat_15m_ret_4,standardized_coefficient,-0.00044713433110654194,0.00044713433110654194
4,F1_DIRECTION,linear_qr,0.5,1,feat_15m_ret_8,standardized_coefficient,0.0005687967258866937,0.0005687967258866937
4,F1_DIRECTION,linear_qr,0.5,1,feat_15m_ret_16,standardized_coefficient,9.733182929302772e-05,9.733182929302772e-05
4,F1_DIRECTION,linear_qr,0.5,1,feat_15m_location_32,standardized_coefficient,-4.031419053477808e-05,4.031419053477808e-05
4,F1_DIRECTION,linear_qr,0.5,1,feat_time_bars_since_segment_start,standardized_coefficient,0.000250328907031313,0.000250328907031313
4,F1_DIRECTION,linear_qr,0.5,1,feat_time_after_long_gap,standardized_coefficient,-0.0005948171242477781,0.0005948171242477781
4,F1_DIRECTION,linear_qr,0.9,1,feat_15m_ret_1,standardized_coefficient,-0.0007955292373883699,0.0007955292373883699
4,F1_DIRECTION,linear_qr,0.9,1,feat_15m_ret_4,standardized_coefficient,0.000618991414137928,0.000618991414137928
4,F1_DIRECTION,linear_qr,0.9,1,feat_15m_ret_8,standardized_coefficient,4.1179932315214356e-05,4.1179932315214356e-05
4,F1_DIRECTION,linear_qr,0.9,1,feat_15m_ret_16,standardized_coefficient,-0.0009733118736899031,0.0009733118736899031
4,F1_DIRECTION,linear_qr,0.9,1,feat_15m_location_32,standardized_coefficient,0.001417129211616227,0.001417129211616227
4,F1_DIRECTION,linear_qr,0.9,1,feat_time_bars_since_segment_start,standardized_coefficient,-0.0007330080683182176,0.0007330080683182176
4,F1_DIRECTION,linear_qr,0.9,1,feat_time_after_long_gap,standardized_coefficient,-0.00014999910270441867,0.00014999910270441867
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_1,standardized_coefficient,-3.4418496747123465e-05,3.4418496747123465e-05
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_4,standardized_coefficient,-0.00046303056327895903,0.00046303056327895903
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_8,standardized_coefficient,0.00011430701023692543,0.00011430701023692543
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_16,standardized_coefficient,0.0017233211462514525,0.0017233211462514525
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_location_32,standardized_coefficient,0.0002007200802502238,0.0002007200802502238
4,F1_DIRECTION,linear_qr,0.1,2,feat_time_bars_since_segment_start,standardized_coefficient,-0.0009041079851489586,0.0009041079851489586
4,F1_DIRECTION,linear_qr,0.1,2,feat_time_after_long_gap,standardized_coefficient,-0.00026047439891999064,0.00026047439891999064
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_1,standardized_coefficient,2.807290230496974e-05,2.807290230496974e-05
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_4,standardized_coefficient,-0.0002567877340276777,0.0002567877340276777
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_8,standardized_coefficient,0.0008037632004026618,0.0008037632004026618
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_16,standardized_coefficient,-0.0003576454188719943,0.0003576454188719943
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_location_32,standardized_coefficient,3.3912901797096333e-06,3.3912901797096333e-06
4,F1_DIRECTION,linear_qr,0.5,2,feat_time_bars_since_segment_start,standardized_coefficient,-8.457194866860084e-05,8.457194866860084e-05
4,F1_DIRECTION,linear_qr,0.5,2,feat_time_after_long_gap,standardized_coefficient,-0.0005302620901480302,0.0005302620901480302
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_1,standardized_coefficient,-0.0008436853236214267,0.0008436853236214267
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_4,standardized_coefficient,0.0006929714163383771,0.0006929714163383771
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_8,standardized_coefficient,0.0009442169630056406,0.0009442169630056406
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_16,standardized_coefficient,-0.001811479317681232,0.001811479317681232
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_location_32,standardized_coefficient,0.0007890218223720141,0.0007890218223720141
4,F1_DIRECTION,linear_qr,0.9,2,feat_time_bars_since_segment_start,standardized_coefficient,-0.0011023747326706667,0.0011023747326706667
4,F1_DIRECTION,linear_qr,0.9,2,feat_time_after_long_gap,standardized_coefficient,-0.00011822873486698369,0.00011822873486698369
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_ret_1,standardized_coefficient,-7.642226085993801e-05,7.642226085993801e-05
