meta_base_bar_index,meta_base_bar_time,meta_decision_time,feat_15m_ret_1,feat_15m_ret_4,feat_15m_ret_8,feat_15m_ret_16,feat_15m_location_32,feat_15m_volume_ratio_32,feat_15m_oi_log_change_4,feat_time_tod_sin,feat_time_tod_cos,feat_time_dow_sin,feat_time_dow_cos,feat_time_decision_gap_minutes,feat_time_after_long_gap,feat_time_bars_since_segment_start,feat_5m_1h_rv,feat_5m_4h_rv,feat_5m_rv_rate_ratio_1h_4h,target_raw_return_h4,target_long_mfe_h4,target_short_mfe_h4,target_raw_return_h8,target_long_mfe_h8,target_short_mfe_h8,target_raw_return_h16,target_long_mfe_h16,target_short_mfe_h16
6699,2026-04-01 00:45:00,2026-04-01 09:00:00,-0.0016041711882053278,-0.0012033695796329624,-0.0018045117678600064,0.00160674868871169,0.4421052631578947,0.4821313978447036,-0.007257094873569514,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,495.0,1,15,3.2147420806168264e-06,6.293757231568094e-05,0.20431306530174956,-0.003620277485842531,0.001404353726643639,0.009683351839545242,-0.00563722048504573,0.001404353726643639,0.009683351839545242,0.0004014452081211971,0.002606517766435155,0.010088866849157292
6700,2026-04-01 09:00:00,2026-04-01 09:15:00,-0.00523140026083091,-0.007035912028690916,-0.008237113374324423,-0.007836873224894347,0.23300970873786409,3.70836319396729,-0.020496277713357713,0.6593458151000686,-0.7518398074789776,0.9749279121818236,-0.22252093395631434,15.0,0,0,1.6363611442931486e-05,3.658414659600622e-05,1.7891478102395149,0.0,0.0022166255927407543,0.002423753963761491,-0.0020193867928653443,0.0022166255927407543,0.002423753963761491,0.003624651572119316,0.007436472819144557,0.0052589117964476914
6701,2026-04-01 09:15:00,2026-04-01 09:30:00,-0.00020175527154009387,-0.00723766730023101,-0.007037326720576331,-0.00723766730023101,0.22330097087378642,1.323224233181424,-0.023975348104835703,0.6087614290087204,-0.7933533402912353,0.9749279121818236,-0.22252093395631434,15.0,0,1,1.9992294845630754e-05,3.989206056693101e-05,2.0046389744232567,-0.0004036326997282032,0.0024183808642816527,0.002221998692220585,-0.0016155092366545647,0.0024183808642816527,0.002221998692220585,0.0030220633456396243,0.007638228090685432,0.0050571565249068525
6702,2026-04-01 09:30:00,2026-04-01 09:45:00,-0.0006055101607955748,-0.007642836881371906,-0.0080434779123717,-0.006640531495266444,0.1941747572815534,0.8712640357213212,-0.025194563895336586,0.5555702330196022,-0.8314696123025453,0.9749279121818236,-0.22252093395631434,15.0,0,2,2.3101160423219255e-05,3.5726192585821696e-05,2.5864676587325106,0.00040371417585074293,0.003023891025076919,0.0016164885314251972,-0.003033062683112925,0.003023891025076919,0.00424886830400275,0.0016138797128112852,0.008243738251480892,0.004451646364111668
6703,2026-04-01 09:45:00,2026-04-01 10:00:00,0.0020169429992034082,-0.00402172269396317,-0.0052250922735961325,-0.0052250922735961325,0.2912621359223301,0.8054180158725882,-0.020990346708478214,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,15.0,0,3,2.3855872693662883e-05,3.7647227204934446e-05,2.5346751370349083,-0.0020169429992031164,0.0010069480258739507,0.0036334315306282275,-0.005657723719858837,0.0010069480258739507,0.006265811303205944,0.0,0.00622679525227762,0.006468589363314686
6704,2026-04-01 10:00:00,2026-04-01 10:30:00,-0.0012096775668677395,0.0,-0.007035912028690916,-0.007636693062080369,0.23300970873786409,0.9209494713145886,-0.010529589392382022,0.3826834323650899,-0.9238795325112867,0.9749279121818236,-0.22252093395631434,30.0,1,4,1.3678650281293694e-05,3.9776348305313214e-05,1.3755561648143089,-0.0016158355363797515,0.0008069397250455515,0.002020202707275802,-0.0038418811788646185,0.0008069397250455515,0.004652582479853433,0.0026201768492263673,0.007840024075630059,0.004855360539962359
6705,2026-04-01 10:30:00,2026-04-01 10:45:00,-0.0006053879712677457,-0.0004036326997276518,-0.007641299999958662,-0.009242581366931901,0.20388349514563106,1.1501238737180108,-0.0032257323601658783,0.32143946530316175,-0.9469301294951056,0.9749279121818236,-0.22252093395631434,15.0,0,0,1.4086739609120993e-05,4.177107877616248e-05,1.348946689608589,-0.0012118765369263124,0.0010087764398290467,0.0016161619679433332,-0.0034374717904419507,0.0010087764398290467,0.0044507457650699266,0.003827948665433711,0.00804186079041357,0.004653523825178848
6706,2026-04-01 10:45:00,2026-04-01 11:00:00,0.0002018367147833544,0.00040371417585127745,-0.007239122705520629,-0.008640664630808814,0.21359223300970873,0.5064097058806689,0.00023073098063619568,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,15.0,0,1,1.1882865887780269e-05,4.055846493157555e-05,1.171924618727789,-0.003436776858963525,0.00020179598494460198,0.004652582479853433,-0.00465258247985349,0.00020179598494460198,0.004855360539962359,0.006637860035838751,0.007840024075630059,0.004855360539962359
6707,2026-04-01 11:00:00,2026-04-01 11:15:00,-0.00040371417585127745,-0.0020169429992034082,-0.006038665693166578,-0.007843177461026585,0.1941747572815534,0.3561041139927376,-0.0034864135053869205,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434,15.0,0,2,1.034060159192263e-05,3.977723689179867e-05,1.0398511711661573,-0.0036407807206557874,0.000605510160795262,0.00424886830400275,0.006038665693166938,0.008243738251480892,0.004451646364111668,0.006439949807700936,0.008243738251480892,0.004451646364111668
6708,2026-04-01 11:15:00,2026-04-01 13:30:00,-0.0012121213605293946,-0.0020193867928650633,-0.0020193867928650633,-0.010256500167189486,0.13592233009708737,0.3852533009159515,-0.0031061450241409716,-0.3826834323650892,-0.923879532511287,0.9749279121818236,-0.22252093395631434,135.0,1,3,7.4213410543291075e-06,3.979041895224839e-05,0.7460430173640841,-0.002630249366662267,0.0014134277971469427,0.0034409506676510754,0.00523983464080698,0.009051655887832542,0.003643728727759974,0.007849491848041073,0.009452056293582166,0.003643728727759974
