group,horizon,feature_set,model,instrument_count,median_q10_skill,positive_q10_share,median_q50_skill,positive_q50_share,median_q90_skill,positive_q90_share,median_tail_skill,positive_tail_share,median_mean_skill,positive_mean_share,median_interval_skill,positive_interval_share,median_abs_coverage_error,median_q50_monotonicity,positive_q50_mono_share,median_width_path_monotonicity,positive_width_path_mono_share
ALL_8,4,F1_DIRECTION,gbr_quantile,8,0.011182397431885926,0.875,-0.007174449533644434,0.125,0.019748120540894976,0.75,0.013309985984752332,0.875,0.007317967833407861,0.875,0.01309967459173661,0.875,0.024666666666666615,0.048946133978999024,0.5,0.9636363636363635,1.0
ALL_8,4,F1_DIRECTION,linear_qr,8,-0.009379064643442292,0.0,-0.0037680047907002745,0.125,-7.702754753718954e-05,0.5,-0.005068658715164959,0.0,-0.004390651104327514,0.0,-0.005130471692010086,0.0,0.03377777777777774,0.34342445822700246,0.875,0.7878787878787878,1.0
ALL_8,4,F2_ACTIVITY,gbr_quantile,8,0.008321583763155949,0.875,-0.010027080487960416,0.0,0.015124409531495853,0.75,0.00874844395678484,0.875,0.0030320751438630373,0.75,0.008583813360776404,0.875,0.021555555555555495,-0.17575757575757572,0.375,0.9575757575757575,1.0
ALL_8,4,F2_ACTIVITY,linear_qr,8,-0.013366560751668533,0.0,-0.0060778218397200545,0.125,-0.0027665579211505475,0.375,-0.0070224877014618825,0.125,-0.00717465246287254,0.0,-0.005203391371319643,0.125,0.03382287494437025,0.3313037616284462,0.75,0.909090909090909,1.0
ALL_8,4,F3_VOL,gbr_quantile,8,0.002659944916553414,0.625,-0.010219557478882701,0.0,0.02237862998034551,1.0,0.01871224421830464,0.875,0.008436835541934824,0.75,0.018559502490723134,0.875,0.02711111111111103,-0.06079977905610375,0.5,0.9757575757575757,1.0
ALL_8,4,F3_VOL,linear_qr,8,-0.017376133749794742,0.125,-0.008670596930096197,0.0,0.0001770374133471253,0.5,-0.007890835348304232,0.125,-0.006425394753310887,0.0,-0.004064940105420023,0.125,0.031560321715817685,0.35773883385025684,0.75,0.8909090909090909,1.0
ALL_8,8,F1_DIRECTION,gbr_quantile,8,-0.007819558275401373,0.25,-0.011341264795934447,0.0,-0.0025367739645206777,0.375,-0.0030530073843170746,0.25,-0.0056305777852967785,0.125,-0.0037994110633164935,0.25,0.030222222222222206,0.30652184046547065,0.875,0.7575757575757575,1.0
ALL_8,8,F1_DIRECTION,linear_qr,8,-0.01266398098906063,0.0,-0.005818792463540223,0.125,-0.005077476223788513,0.25,-0.00793210462958538,0.0,-0.008080407582777727,0.0,-0.008535363304812527,0.0,0.036666666666666625,0.3415123705368828,0.625,0.37575757575757573,0.75
ALL_8,8,F2_ACTIVITY,gbr_quantile,8,-0.007199040875549345,0.25,-0.012062046135940308,0.0,-0.004262948653224519,0.25,-0.0064875919407891836,0.25,-0.006638372610946278,0.125,-0.006491916300435552,0.25,0.025999999999999968,0.2719154024483961,0.75,0.8969696969696969,1.0
ALL_8,8,F2_ACTIVITY,linear_qr,8,-0.020194985346335792,0.0,-0.007799945389289076,0.125,-0.010661975281461178,0.125,-0.016342666193518096,0.0,-0.013678660065191545,0.0,-0.013174807206715933,0.0,0.035935962129164,0.38138742976632506,0.75,0.47878787878787876,0.75
ALL_8,8,F3_VOL,gbr_quantile,8,-0.0087948301207329,0.375,-0.00965073252904447,0.0,-0.004104201739839497,0.375,-0.002428023515368749,0.5,-0.006590213811223415,0.25,-0.0031607057410383277,0.375,0.020888888888888846,0.41559430018018517,0.875,0.8787878787878787,1.0
ALL_8,8,F3_VOL,linear_qr,8,-0.02293633569512543,0.125,-0.011884037269926928,0.0,-0.015312638784394705,0.125,-0.02367034043907501,0.125,-0.01860958982557418,0.0,-0.017582824085967563,0.125,0.03185554246310229,0.38239702948751586,0.875,0.509090909090909,1.0
ALL_8,16,F1_DIRECTION,gbr_quantile,8,-0.013808574807240959,0.25,-0.017653082011399368,0.0,-0.017599682127710792,0.25,-0.012484545476385472,0.125,-0.012513040771814681,0.0,-0.012230619851719582,0.125,0.028222222222222204,0.4121212121212121,1.0,0.5939393939393939,0.75
ALL_8,16,F1_DIRECTION,linear_qr,8,-0.016784917438504188,0.125,-0.003494959648377982,0.25,-0.02215642162040843,0.0,-0.01829894332887666,0.0,-0.01345549800260637,0.0,-0.01855864712315669,0.0,0.04286699360974883,0.6081790372035495,0.875,0.33333333333333326,0.625
ALL_8,16,F2_ACTIVITY,gbr_quantile,8,-0.018459508803945868,0.25,-0.01838918643681453,0.0,-0.011943306364192496,0.0,-0.016975166610536052,0.125,-0.016416755553149105,0.0,-0.016752149652567327,0.125,0.029333333333333267,0.38851529135750107,0.875,0.6606060606060605,0.625
ALL_8,16,F2_ACTIVITY,linear_qr,8,-0.02109000924431592,0.125,-0.007460458516173052,0.25,-0.025889243432354103,0.125,-0.02193319195464749,0.0,-0.018041096249190647,0.0,-0.020446834799760616,0.0,0.039527213124628924,0.4909090909090909,1.0,0.12727272727272726,0.5
ALL_8,16,F3_VOL,gbr_quantile,8,-0.01195124413018911,0.25,-0.01878299097416125,0.0,-0.0119840582170464,0.25,-0.013111954811287962,0.25,-0.012619750340351565,0.125,-0.01311978998329777,0.25,0.026222222222222202,0.3902357794987493,0.875,0.7393939393939393,0.75
ALL_8,16,F3_VOL,linear_qr,8,-0.02432605676477484,0.125,-0.013774627901153358,0.125,-0.026902546498624558,0.125,-0.02636296910545305,0.0,-0.017261833159913587,0.0,-0.02239041582374801,0.0,0.036226079216733376,0.5182567580794009,1.0,0.16390387959118513,0.75
HOLDOUT_7,4,F1_DIRECTION,gbr_quantile,7,0.002467636067724377,0.8571428571428571,-0.006929576569023377,0.14285714285714285,0.01602058552257002,0.7142857142857143,0.01289302441102752,0.8571428571428571,0.00684143951597697,0.8571428571428571,0.01286868962091492,0.8571428571428571,0.029333333333333322,0.11607408613981622,0.5714285714285714,0.9636363636363635,1.0
HOLDOUT_7,4,F1_DIRECTION,linear_qr,7,-0.010557284036218917,0.0,-0.0014801760721518953,0.14285714285714285,-0.00037366596523602524,0.42857142857142855,-0.005743922613866026,0.0,-0.005573441761540991,0.0,-0.005756271534145485,0.0,0.04355555555555546,0.34545454545454546,1.0,0.7575757575757575,1.0
HOLDOUT_7,4,F2_ACTIVITY,gbr_quantile,7,0.0029225034649102977,0.8571428571428571,-0.009760711861983795,0.0,0.00985683743314869,0.7142857142857143,0.006724200243432676,0.8571428571428571,0.0008286305947073173,0.7142857142857143,0.006417058644952012,0.8571428571428571,0.022222222222222143,-0.0303030303030303,0.42857142857142855,0.9636363636363635,1.0
HOLDOUT_7,4,F2_ACTIVITY,linear_qr,7,-0.015506395266886575,0.0,-0.004872540960043192,0.14285714285714285,-0.002265714233059546,0.42857142857142855,-0.008852922846843192,0.14285714285714285,-0.008460235648559059,0.0,-0.005201532965632971,0.14285714285714285,0.043791722296395164,0.3374487155269168,0.8571428571428571,0.9151515151515152,1.0
HOLDOUT_7,4,F3_VOL,gbr_quantile,7,1.2886461804750837e-05,0.5714285714285714,-0.009853708722056265,0.0,0.016437553281362427,1.0,0.013172610018575948,0.8571428571428571,0.006425273226209116,0.7142857142857143,0.01313777922716941,0.8571428571428571,0.02977777777777768,0.006060606060606061,0.5714285714285714,0.9757575757575757,1.0
HOLDOUT_7,4,F3_VOL,linear_qr,7,-0.017553425519672095,0.0,-0.00935647465811007,0.0,0.000856066737382144,0.5714285714285714,-0.008063981823963007,0.14285714285714285,-0.006645681438792776,0.0,-0.0044739730292162605,0.14285714285714285,0.035120643431635346,0.46015733935488656,0.8571428571428571,0.9272727272727272,1.0
HOLDOUT_7,8,F1_DIRECTION,gbr_quantile,7,-0.010092086168588477,0.14285714285714285,-0.011674024080959855,0.0,-0.0026726065974989055,0.42857142857142855,-0.004228127512688751,0.14285714285714285,-0.006120500562432962,0.0,-0.005677970086630513,0.14285714285714285,0.03111111111111109,0.3039527718400323,0.8571428571428571,0.7939393939393938,1.0
HOLDOUT_7,8,F1_DIRECTION,linear_qr,7,-0.012841454029802524,0.0,-0.006472727805753475,0.14285714285714285,-0.0038352880627401387,0.2857142857142857,-0.007703311253641321,0.0,-0.007585632942527602,0.0,-0.008046010782297275,0.0,0.04933333333333334,0.5315095895586142,0.5714285714285714,0.33333333333333326,0.7142857142857143
HOLDOUT_7,8,F2_ACTIVITY,gbr_quantile,7,-0.007250992390048117,0.14285714285714285,-0.012331521392883626,0.0,-0.00582887292827583,0.14285714285714285,-0.008053127011966477,0.14285714285714285,-0.00798477980442073,0.0,-0.008081516562410185,0.14285714285714285,0.028444444444444383,0.2249250511616239,0.7142857142857143,0.8909090909090909,1.0
HOLDOUT_7,8,F2_ACTIVITY,linear_qr,7,-0.023152496629501362,0.0,-0.007404329178521074,0.14285714285714285,-0.0029298370731973833,0.14285714285714285,-0.016577980894849076,0.0,-0.014345305577138756,0.0,-0.012615135470435135,0.0,0.04810690423162578,0.5627748595326502,0.7142857142857143,0.34545454545454546,0.7142857142857143
HOLDOUT_7,8,F3_VOL,gbr_quantile,7,-0.010481835262357908,0.2857142857142857,-0.010141057481790394,0.0,-0.004369413243491493,0.2857142857142857,-0.005738619111299692,0.42857142857142855,-0.007219009971220085,0.14285714285714285,-0.005726471305840253,0.2857142857142857,0.02577777777777779,0.29179466096643103,0.8571428571428571,0.8545454545454544,1.0
HOLDOUT_7,8,F3_VOL,linear_qr,7,-0.02320408210485736,0.14285714285714285,-0.012775225970787396,0.0,-0.009359926101941252,0.14285714285714285,-0.023608757371223033,0.14285714285714285,-0.01742137256560361,0.0,-0.015472565975806596,0.14285714285714285,0.04119217081850535,0.43146072564169846,0.8571428571428571,0.5030303030303029,1.0
HOLDOUT_7,16,F1_DIRECTION,gbr_quantile,7,-0.01396267249308547,0.14285714285714285,-0.0180134306859161,0.0,-0.009616169963669652,0.2857142857142857,-0.013899021076209217,0.14285714285714285,-0.01503025849643369,0.0,-0.013855678232108204,0.14285714285714285,0.03066666666666662,0.41818181818181815,1.0,0.49090909090909085,0.7142857142857143
HOLDOUT_7,16,F1_DIRECTION,linear_qr,7,-0.019747402910605727,0.0,-0.005945241969000037,0.14285714285714285,-0.021288119698488872,0.0,-0.01904261082530756,0.0,-0.015167909478786509,0.0,-0.01957027194079819,0.0,0.04306732055283102,0.5315095895586142,0.8571428571428571,0.309090909090909,0.5714285714285714
HOLDOUT_7,16,F2_ACTIVITY,gbr_quantile,7,-0.020631274966519397,0.14285714285714285,-0.019085245997447542,0.0,-0.0045132476227784935,0.0,-0.02137807192642316,0.14285714285714285,-0.01946377209156765,0.0,-0.020972919380537247,0.14285714285714285,0.03066666666666662,0.4194548251392446,0.8571428571428571,0.6242424242424242,0.5714285714285714
HOLDOUT_7,16,F2_ACTIVITY,linear_qr,7,-0.024828394569088585,0.0,-0.011386347564292576,0.14285714285714285,-0.026627873599105012,0.14285714285714285,-0.021989748759324135,0.0,-0.018379872621411424,0.0,-0.020448721028502037,0.0,0.03868092691622094,0.38181818181818183,1.0,-0.17575757575757575,0.42857142857142855
HOLDOUT_7,16,F3_VOL,gbr_quantile,7,-0.012542126834326872,0.14285714285714285,-0.020664306565143065,0.0,-0.0038074345291378986,0.2857142857142857,-0.01804912894084354,0.2857142857142857,-0.0151959227699671,0.14285714285714285,-0.01808695374463687,0.2857142857142857,0.027999999999999914,0.3939393939393939,0.8571428571428571,0.7333333333333332,0.7142857142857143
HOLDOUT_7,16,F3_VOL,linear_qr,7,-0.025425377794707327,0.0,-0.01412607245052322,0.14285714285714285,-0.029817373084962462,0.14285714285714285,-0.029118710387341595,0.0,-0.017354077543109876,0.0,-0.02284616099447212,0.0,0.03400089007565643,0.5092407888860745,1.0,0.1515151515151515,0.7142857142857143
METAL_HOLDOUT,4,F1_DIRECTION,gbr_quantile,4,0.011182397431885926,0.75,-0.007114311895382142,0.25,0.025240303094958394,1.0,0.020579273582126828,1.0,0.01132789336152007,1.0,0.020538985820457434,1.0,0.03311111111111109,0.10033753581821732,0.5,0.9454545454545453,1.0
METAL_HOLDOUT,4,F1_DIRECTION,linear_qr,4,-0.00699699844802848,0.0,-0.001223351333501821,0.0,-0.0004543609742301835,0.5,-0.0039338412297645065,0.0,-0.004105904527600827,0.0,-0.003979014079070531,0.0,0.04533333333333328,0.4334830983617085,1.0,0.7515151515151515,1.0
METAL_HOLDOUT,4,F2_ACTIVITY,gbr_quantile,4,0.008321583763155949,0.75,-0.009100008056125763,0.0,0.01911074780099109,0.75,0.015000279396802013,0.75,0.00687806070383388,0.75,0.01488875587661831,0.75,0.027777777777777735,0.2005788476693341,0.5,0.9575757575757575,1.0
METAL_HOLDOUT,4,F2_ACTIVITY,linear_qr,4,-0.009220999391769125,0.0,-0.003844056845667132,0.0,-0.0007172682560161459,0.5,-0.006713493730130721,0.0,-0.0063203164534469764,0.0,-0.004870598947757765,0.0,0.04464741947411027,0.3656097068952908,1.0,0.9272727272727271,1.0
METAL_HOLDOUT,4,F3_VOL,gbr_quantile,4,0.002659944916553414,0.75,-0.009347914744526342,0.0,0.025537839650001615,1.0,0.016409873235485484,0.75,0.007533396330696088,0.75,0.016268209720152638,0.75,0.029999999999999916,0.21470267913355084,0.75,0.9757575757575757,1.0
METAL_HOLDOUT,4,F3_VOL,linear_qr,4,-0.015834960639387607,0.0,-0.0072774523901797394,0.0,-0.004379645258002107,0.5,-0.00794453824695654,0.25,-0.0072846548905879755,0.0,-0.004759267162207759,0.25,0.042199810492351275,0.48159382119259475,1.0,0.8969696969696969,1.0
METAL_HOLDOUT,8,F1_DIRECTION,gbr_quantile,4,-0.01117138103444526,0.0,-0.011341264795934447,0.0,0.0014662712626141716,0.75,-0.0018759288638531824,0.25,-0.0047207857338371255,0.0,-0.001909923431094418,0.25,0.03266666666666662,0.30652184046547065,1.0,0.8181818181818181,1.0
