instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range,q10_pinball_skill,q50_pinball_skill,q90_pinball_skill,mean_pinball_skill,tail_pinball_skill,abs_interval_coverage_error
AG,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8177777777777778,0.032969343855286715,0.032909160982448386,-0.0018287574353665903,-0.04409776684703883,0.4928888888888889,0.6,0.0039976460399197,-0.5151515151515151,-3.979343461520005e-05,0.8424242424242423,0.8181818181818182,0.0038947149682131005,-0.0039988430438133715,-0.006055833509248654,0.00043109521171991183,-0.003207860447114038,-0.0017838739160467298,0.01777777777777778
AG,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8111111111111111,0.03163930626304596,0.032909160982448386,0.03858666345458295,0.010359222323922904,0.5008888888888889,0.8,0.047270007943694736,-0.10303030303030303,-0.0020862599227355,0.9515151515151514,0.8787878787878788,0.008056719256287,0.04613550897062457,-0.010791445499778174,0.03072555490869444,0.022023206126513612,0.03843053193965951,0.011111111111111072
AG,4,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8168888888888889,0.03308046138531374,0.032909160982448386,-0.0052052497770063155,-0.04399938275857416,0.4888888888888889,0.6,0.002346991801912335,-0.8145934285312865,-0.0013735849160852,0.7818181818181817,0.7333333333333332,0.0032648518930221,-0.00584332583780256,-0.007283102719396917,-0.004540779274358586,-0.005889069277186021,-0.005192052556080573,0.016888888888888842
AG,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8066666666666666,0.03170583015000193,0.032909160982448386,0.036565223680063874,-0.009716150423086814,0.4955555555555556,0.8,0.04429147705500369,-0.5757575757575757,-0.0016918711329834,0.8424242424242423,0.8787878787878788,0.0074253333334845,0.04259258764347906,-0.011836111823052109,0.03028853378605345,0.020348336535493467,0.03644056071476626,0.006666666666666599
AG,4,F3_VOL,linear_qr,2250,0.0,1.0,0.8155555555555556,0.03296697842743801,0.032909160982448386,-0.0017568799466038953,-0.012875014647542468,0.49377777777777776,0.8,0.0046737355738341035,-0.16363636363636364,-0.0008373456633275,0.6484848484848483,0.8545454545454544,0.0026881010322923997,0.0020237954914607004,-0.007984719202082324,-0.005693945545872214,-0.0038849564188312793,-0.001835075027205757,0.015555555555555545
AG,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.7973333333333333,0.031672918820508586,0.032909160982448386,0.03756528957390104,-0.024648526540463525,0.49955555555555553,0.8,0.04768968862508938,-0.29696969696969694,-0.0009648877588514,0.9393939393939393,0.9636363636363635,0.007548811445322101,0.0450370906554024,-0.014068364676103284,0.029784412456976495,0.020251046145425205,0.03741075155618945,0.002666666666666706
AG,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8182222222222222,0.048872919955328276,0.048232145169491314,-0.013285222616270298,0.0083134320530757,0.5133333333333333,0.4,-0.012707685615321429,0.1515151515151515,-0.0008425287864397999,0.4787878787878787,0.7575757575757575,0.0038361197607416995,-5.966971549975497e-06,-0.005164857121326971,-0.027060257058884263,-0.010743693717253736,-0.01353311201521712,0.01822222222222214
AG,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8106666666666666,0.047425260150932916,0.048232145169491314,0.016729196176594407,0.056131771751777304,0.5342222222222223,0.8,0.00731985335362928,0.4666666666666666,0.0020075914462723,0.7939393939393938,0.7212121212121211,0.007899612475031998,0.035170818776341095,-0.00445798929285357,-0.00240094133154245,0.009437296050648358,0.016384938722399323,0.010666666666666602
AG,8,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8204444444444444,0.04889458855169725,0.048232145169491314,-0.01373447894299673,0.007177913800794708,0.5115555555555555,0.4,-0.009874150126242487,0.19999999999999998,-0.0014033301279692,0.4424242424242424,0.6121212121212121,0.0031063667780926,-0.006104700650333861,-0.008195561600057077,-0.021649113737510106,-0.011983125329300348,-0.013876907193921983,0.020444444444444376
AG,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8022222222222222,0.04759226403063887,0.048232145169491314,0.013266694578975446,0.029357405347570746,0.5137777777777778,0.6,0.007229806387238025,0.6727272727272726,0.0009171359260083,0.8909090909090909,0.9757575757575757,0.008906888426020916,0.021318100409627783,-0.008074117691162952,0.00491469085256202,0.006052891190342284,0.013116395631094901,0.0022222222222221255
