instrument,horizon,feature_set,model,quantile,oos_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,positive_skill_fold_share,median_fold_skill
AG,4,F1_DIRECTION,linear_qr,0.1,2250,0.0016855144164117132,0.0016788011540947157,-0.0039988430438133715,0.07822222222222222,-0.021777777777777785,0.6,0.0035968145035664145
AG,4,F1_DIRECTION,linear_qr,0.5,2250,0.003071600165280474,0.0030531110331782963,-0.006055833509248654,0.4791111111111111,-0.0208888888888889,0.2,-0.008890690547284308
AG,4,F1_DIRECTION,linear_qr,0.9,2250,0.0016114199691169581,0.0016121149441501233,0.00043109521171991183,0.896,-0.0040000000000000036,0.6,0.0014348086891694534
AG,4,F1_DIRECTION,gbr_quantile,0.1,2250,0.001601348808390084,0.0016788011540947157,0.04613550897062457,0.08711111111111111,-0.012888888888888894,0.8,0.047921222580337264
AG,4,F1_DIRECTION,gbr_quantile,0.5,2250,0.0030860585144976116,0.0030531110331782963,-0.010791445499778174,0.47644444444444445,-0.023555555555555552,0.2,-0.011703514674208604
AG,4,F1_DIRECTION,gbr_quantile,0.9,2250,0.001562581817914512,0.0016121149441501233,0.03072555490869444,0.8982222222222223,-0.001777777777777767,0.6,0.039862798157402124
AG,4,F2_ACTIVITY,linear_qr,0.1,2250,0.0016886109362549701,0.0016788011540947157,-0.00584332583780256,0.07733333333333334,-0.02266666666666667,0.6,0.002538838223409612
AG,4,F2_ACTIVITY,linear_qr,0.5,2250,0.003075347154446658,0.0030531110331782963,-0.007283102719396917,0.4817777777777778,-0.018222222222222195,0.2,-0.008444810671346836
AG,4,F2_ACTIVITY,linear_qr,0.9,2250,0.001619435202276404,0.0016121149441501233,-0.004540779274358586,0.8942222222222223,-0.005777777777777771,0.4,-0.0004072930361904703
AG,4,F2_ACTIVITY,gbr_quantile,0.1,2250,0.0016072966688029627,0.0016788011540947157,0.04259258764347906,0.08711111111111111,-0.012888888888888894,0.8,0.04117002715015794
AG,4,F2_ACTIVITY,gbr_quantile,0.5,2250,0.0030892479967751887,0.0030531110331782963,-0.011836111823052109,0.4751111111111111,-0.024888888888888905,0.0,-0.00789953449617875
AG,4,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0015632863461972307,0.0016121149441501233,0.03028853378605345,0.8937777777777778,-0.00622222222222224,0.6,0.048220764249589876
AG,4,F3_VOL,linear_qr,0.1,2250,0.0016754036038879997,0.0016788011540947157,0.0020237954914607004,0.07955555555555556,-0.020444444444444446,0.8,0.009359309973959062
AG,4,F3_VOL,linear_qr,0.5,2250,0.0030774892674710046,0.0030531110331782963,-0.007984719202082324,0.48088888888888887,-0.019111111111111134,0.2,-0.0099537483873271
AG,4,F3_VOL,linear_qr,0.9,2250,0.001621294238855801,0.0016121149441501233,-0.005693945545872214,0.8951111111111111,-0.004888888888888943,0.2,-0.0004055963831779419
AG,4,F3_VOL,gbr_quantile,0.1,2250,0.0016031928343253577,0.0016788011540947157,0.0450370906554024,0.09155555555555556,-0.008444444444444449,0.8,0.04975368270954861
AG,4,F3_VOL,gbr_quantile,0.5,2250,0.0030960633125896833,0.0030531110331782963,-0.014068364676103284,0.476,-0.02400000000000002,0.0,-0.010093101651209135
AG,4,F3_VOL,gbr_quantile,0.9,2250,0.0015640990477255004,0.0016121149441501233,0.029784412456976495,0.8888888888888888,-0.011111111111111183,0.6,0.0334603792513416
AG,8,F1_DIRECTION,linear_qr,0.1,2250,0.0024558154113776976,0.002455800757684444,-5.966971549975497e-06,0.07111111111111111,-0.028888888888888895,0.4,-0.0020367967705565704
AG,8,F1_DIRECTION,linear_qr,0.5,2250,0.004664042283553531,0.004640076949079572,-0.005164857121326971,0.476,-0.02400000000000002,0.4,-0.00557112729361342
AG,8,F1_DIRECTION,linear_qr,0.9,2250,0.0024314765841551293,0.002367413759264687,-0.027060257058884263,0.8893333333333333,-0.010666666666666713,0.4,-0.027196553768424225
AG,8,F1_DIRECTION,gbr_quantile,0.1,2250,0.0023694282342851232,0.002455800757684444,0.035170818776341095,0.0791111111111111,-0.0208888888888889,0.8,0.03690762902144451
AG,8,F1_DIRECTION,gbr_quantile,0.5,2250,0.004660762362436586,0.004640076949079572,-0.00445798929285357,0.4777777777777778,-0.0222222222222222,0.2,-0.010011270563200947
AG,8,F1_DIRECTION,gbr_quantile,0.9,2250,0.002373097780808168,0.002367413759264687,-0.00240094133154245,0.8897777777777778,-0.010222222222222244,0.6,0.007702766380407011
AG,8,F2_ACTIVITY,linear_qr,0.1,2250,0.0024707926861669708,0.002455800757684444,-0.006104700650333861,0.07022222222222223,-0.029777777777777778,0.4,-0.007764734497896164
AG,8,F2_ACTIVITY,linear_qr,0.5,2250,0.004678104985544758,0.004640076949079572,-0.008195561600057077,0.4742222222222222,-0.02577777777777779,0.4,-0.005095995755891369
AG,8,F2_ACTIVITY,linear_qr,0.9,2250,0.002418666169002755,0.002367413759264687,-0.021649113737510106,0.8906666666666667,-0.009333333333333305,0.4,-0.008858623883754024
AG,8,F2_ACTIVITY,gbr_quantile,0.1,2250,0.002403447750546087,0.002455800757684444,0.021318100409627783,0.08177777777777778,-0.018222222222222223,0.4,-0.000329922345828626
AG,8,F2_ACTIVITY,gbr_quantile,0.5,2250,0.004677541476462492,0.004640076949079572,-0.008074117691162952,0.4777777777777778,-0.0222222222222222,0.2,-0.010326985346843953
AG,8,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0023557786525177996,0.002367413759264687,0.00491469085256202,0.884,-0.016000000000000014,0.6,0.017627646156389343
AG,8,F3_VOL,linear_qr,0.1,2250,0.0025095476442192582,0.002455800757684444,-0.021885686925795955,0.07377777777777778,-0.02622222222222223,0.2,-0.019261311649177326
AG,8,F3_VOL,linear_qr,0.5,2250,0.004691084612329619,0.004640076949079572,-0.01099284856906646,0.4751111111111111,-0.024888888888888905,0.4,-0.009604084318925121
AG,8,F3_VOL,linear_qr,0.9,2250,0.002430185464642437,0.002367413759264687,-0.026514885761771856,0.8871111111111111,-0.01288888888888895,0.4,-0.0016911594802768715
AG,8,F3_VOL,gbr_quantile,0.1,2250,0.002414209550126712,0.002455800757684444,0.016935904685096648,0.08088888888888889,-0.01911111111111112,0.6,0.0034646833467512073
AG,8,F3_VOL,gbr_quantile,0.5,2250,0.0046825819451185285,0.004640076949079572,-0.009160407576298546,0.47644444444444445,-0.023555555555555552,0.6,5.8674822926985115e-05
AG,8,F3_VOL,gbr_quantile,0.9,2250,0.0023608197405558507,0.002367413759264687,0.002785325836276553,0.8875555555555555,-0.01244444444444448,0.6,0.016170400242413896
AG,16,F1_DIRECTION,linear_qr,0.1,2250,0.0034310011721643543,0.0034402210446655437,0.0026800232838194438,0.06977777777777777,-0.030222222222222234,0.6,0.012841840295450102
AG,16,F1_DIRECTION,linear_qr,0.5,2250,0.007069356902004649,0.007094775955801348,0.003582784566426578,0.452,-0.04799999999999999,0.4,-0.001760692815955478
AG,16,F1_DIRECTION,linear_qr,0.9,2250,0.0033702748372141525,0.0032685120965872602,-0.031134270768997663,0.9124444444444444,0.01244444444444437,0.0,-0.028616540085004027
AG,16,F1_DIRECTION,gbr_quantile,0.1,2250,0.0034158696185157054,0.0034402210446655437,0.0070784481094893215,0.07866666666666666,-0.021333333333333343,0.6,0.002682979158341925
AG,16,F1_DIRECTION,gbr_quantile,0.5,2250,0.0071504509996638725,0.007094775955801348,-0.007847329388463553,0.4457777777777778,-0.05422222222222223,0.2,-0.015175935127546003
AG,16,F1_DIRECTION,gbr_quantile,0.9,2250,0.003364013404461408,0.0032685120965872602,-0.029218587862612777,0.9013333333333333,0.0013333333333332975,0.2,-0.03149328516849326
AG,16,F2_ACTIVITY,linear_qr,0.1,2250,0.0034389129327605625,0.0034402210446655437,0.000380240655468822,0.06977777777777777,-0.030222222222222234,0.6,0.010615325476969084
AG,16,F2_ACTIVITY,linear_qr,0.5,2250,0.00708401473473659,0.007094775955801348,0.0015167809571151603,0.4524444444444444,-0.04755555555555557,0.4,-0.005319044637161596
