group,horizon,quantile,feature,instrument_count,positive_instrument_share,instrument_sign_consistency,median_within_instrument_fold_sign_consistency
ALL_8,4,0.1,feat_15m_location_32,8,0.375,0.625,1.0
ALL_8,4,0.1,feat_15m_oi_log_change_4,8,0.875,0.875,1.0
ALL_8,4,0.1,feat_15m_ret_1,8,0.625,0.625,0.6
ALL_8,4,0.1,feat_15m_ret_16,8,0.625,0.625,1.0
ALL_8,4,0.1,feat_15m_ret_4,8,0.125,0.875,0.8
ALL_8,4,0.1,feat_15m_ret_8,8,0.625,0.625,0.9
ALL_8,4,0.1,feat_15m_volume_ratio_32,8,0.375,0.625,1.0
ALL_8,4,0.1,feat_5m_1h_rv,8,0.125,0.875,0.9
ALL_8,4,0.1,feat_5m_rv_rate_ratio_1h_4h,8,0.5,0.5,1.0
ALL_8,4,0.1,feat_time_after_long_gap,8,0.625,0.625,1.0
ALL_8,4,0.1,feat_time_bars_since_segment_start,8,0.125,0.875,1.0
ALL_8,4,0.5,feat_15m_location_32,8,0.25,0.75,1.0
ALL_8,4,0.5,feat_15m_oi_log_change_4,8,0.875,0.875,1.0
ALL_8,4,0.5,feat_15m_ret_1,8,0.375,0.625,1.0
ALL_8,4,0.5,feat_15m_ret_16,8,0.5,0.5,0.9
ALL_8,4,0.5,feat_15m_ret_4,8,0.125,0.875,1.0
ALL_8,4,0.5,feat_15m_ret_8,8,0.625,0.625,1.0
ALL_8,4,0.5,feat_15m_volume_ratio_32,8,0.625,0.625,1.0
ALL_8,4,0.5,feat_5m_1h_rv,8,0.625,0.625,1.0
ALL_8,4,0.5,feat_5m_rv_rate_ratio_1h_4h,8,0.5,0.5,1.0
ALL_8,4,0.5,feat_time_after_long_gap,8,0.125,0.875,1.0
ALL_8,4,0.5,feat_time_bars_since_segment_start,8,0.625,0.625,1.0
ALL_8,4,0.9,feat_15m_location_32,8,0.5,0.5,1.0
ALL_8,4,0.9,feat_15m_oi_log_change_4,8,0.0,1.0,1.0
ALL_8,4,0.9,feat_15m_ret_1,8,0.375,0.625,0.8
ALL_8,4,0.9,feat_15m_ret_16,8,0.5,0.5,0.8
ALL_8,4,0.9,feat_15m_ret_4,8,0.625,0.625,0.9
ALL_8,4,0.9,feat_15m_ret_8,8,0.5,0.5,1.0
ALL_8,4,0.9,feat_15m_volume_ratio_32,8,0.75,0.75,1.0
ALL_8,4,0.9,feat_5m_1h_rv,8,0.625,0.625,1.0
ALL_8,4,0.9,feat_5m_rv_rate_ratio_1h_4h,8,0.0,1.0,1.0
ALL_8,4,0.9,feat_time_after_long_gap,8,0.25,0.75,1.0
ALL_8,4,0.9,feat_time_bars_since_segment_start,8,0.625,0.625,1.0
ALL_8,8,0.1,feat_15m_location_32,8,0.625,0.625,0.7
ALL_8,8,0.1,feat_15m_oi_log_change_4,8,0.75,0.75,1.0
ALL_8,8,0.1,feat_15m_ret_1,8,0.5,0.5,0.8
ALL_8,8,0.1,feat_15m_ret_16,8,0.5,0.5,1.0
ALL_8,8,0.1,feat_15m_ret_4,8,0.625,0.625,0.8
ALL_8,8,0.1,feat_15m_ret_8,8,0.625,0.625,0.9
ALL_8,8,0.1,feat_15m_volume_ratio_32,8,0.5,0.5,1.0
ALL_8,8,0.1,feat_5m_1h_rv,8,0.25,0.75,0.9
ALL_8,8,0.1,feat_5m_rv_rate_ratio_1h_4h,8,0.625,0.625,1.0
ALL_8,8,0.1,feat_time_after_long_gap,8,0.375,0.625,1.0
ALL_8,8,0.1,feat_time_bars_since_segment_start,8,0.125,0.875,1.0
ALL_8,8,0.5,feat_15m_location_32,8,0.375,0.625,1.0
ALL_8,8,0.5,feat_15m_oi_log_change_4,8,0.625,0.625,0.9
ALL_8,8,0.5,feat_15m_ret_1,8,0.0,1.0,1.0
ALL_8,8,0.5,feat_15m_ret_16,8,0.75,0.75,1.0
ALL_8,8,0.5,feat_15m_ret_4,8,0.25,0.75,0.9
ALL_8,8,0.5,feat_15m_ret_8,8,0.875,0.875,1.0
ALL_8,8,0.5,feat_15m_volume_ratio_32,8,0.5,0.5,1.0
ALL_8,8,0.5,feat_5m_1h_rv,8,0.5,0.5,1.0
ALL_8,8,0.5,feat_5m_rv_rate_ratio_1h_4h,8,0.5,0.5,1.0
ALL_8,8,0.5,feat_time_after_long_gap,8,0.375,0.625,1.0
ALL_8,8,0.5,feat_time_bars_since_segment_start,8,0.375,0.625,1.0
ALL_8,8,0.9,feat_15m_location_32,8,0.625,0.625,1.0
ALL_8,8,0.9,feat_15m_oi_log_change_4,8,0.25,0.75,0.9
ALL_8,8,0.9,feat_15m_ret_1,8,0.25,0.75,0.7
ALL_8,8,0.9,feat_15m_ret_16,8,0.5,0.5,1.0
