hypothesis,instrument,value,positive
H1_H4_GBR_F1_Q10_SKILL,CU,0.002467636067724377,True
H1_H4_GBR_F1_Q10_SKILL,AL,0.029368852070866147,True
H1_H4_GBR_F1_Q10_SKILL,SN,0.019897158796047476,True
H1_H4_GBR_F1_Q10_SKILL,I,-0.0035906743048172984,False
H1_H4_GBR_F1_Q10_SKILL,SC,0.0023103932628351087,True
H1_H4_GBR_F1_Q10_SKILL,M,0.028945905870416455,True
H1_H4_GBR_F1_Q10_SKILL,CF,0.001977433324213629,True
H2_H4_GBR_F1_Q90_SKILL,CU,0.01602058552257002,True
H2_H4_GBR_F1_Q90_SKILL,AL,0.03446002066734677,True
H2_H4_GBR_F1_Q90_SKILL,SN,0.04846907326432692,True
H2_H4_GBR_F1_Q90_SKILL,I,0.008342322876696784,True
H2_H4_GBR_F1_Q90_SKILL,SC,0.023475655559219932,True
H2_H4_GBR_F1_Q90_SKILL,M,-0.0014920107534621696,False
H2_H4_GBR_F1_Q90_SKILL,CF,-0.002445843450185947,False
H3_H4_GBR_F1_INTERVAL_SKILL,CU,0.009297640209320002,True
H3_H4_GBR_F1_INTERVAL_SKILL,AL,0.031780331431594866,True
H3_H4_GBR_F1_INTERVAL_SKILL,SN,0.03392521085315148,True
H3_H4_GBR_F1_INTERVAL_SKILL,I,0.0025329004889727003,True
H3_H4_GBR_F1_INTERVAL_SKILL,SC,0.01286868962091492,True
H3_H4_GBR_F1_INTERVAL_SKILL,M,0.0133306595625583,True
H3_H4_GBR_F1_INTERVAL_SKILL,CF,-0.0003539188329915177,False
H4_H4_GBR_F1_WIDTH_PATH_MONO,CU,0.9636363636363635,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,AL,0.9151515151515152,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,SN,0.9636363636363635,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,I,0.9272727272727272,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,SC,0.9636363636363635,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,M,0.9757575757575757,True
H4_H4_GBR_F1_WIDTH_PATH_MONO,CF,0.9757575757575757,True
H5_H8_GBR_F1_Q10_SKILL,CU,-0.005547030382214269,False
H5_H8_GBR_F1_Q10_SKILL,AL,-0.016795731686676252,False
H5_H8_GBR_F1_Q10_SKILL,SN,-0.017358793545785733,False
H5_H8_GBR_F1_Q10_SKILL,I,-0.0010831679143918915,False
H5_H8_GBR_F1_Q10_SKILL,SC,-0.010092086168588477,False
H5_H8_GBR_F1_Q10_SKILL,M,0.03832774140151862,True
H5_H8_GBR_F1_Q10_SKILL,CF,-0.019088481349601283,False
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,CU,0.0018355494225540947,True
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,AL,0.0047746246187262975,True
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,SN,-0.0035909648288948715,False
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,I,0.0027783581707465643,True
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,SC,0.002399922348438943,True
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,M,0.017527678174600658,True
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,CF,-0.0016203592570411818,False
