instrument,horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
AG,4,F1_DIRECTION,linear_qr,1,225,-0.0021836158134327832,0.0003701867509830193,-0.0005650249703009,0.48444444444444446
AG,4,F1_DIRECTION,linear_qr,2,225,-0.0011714771816159811,0.0001149075568917167,0.0003343922452159,0.5244444444444445
AG,4,F1_DIRECTION,linear_qr,3,225,-0.0007372618522784736,0.000930496985591785,0.0005914632315165,0.52
AG,4,F1_DIRECTION,linear_qr,4,225,-0.0005515151825403083,0.0009423516213916493,0.0007248525901372,0.56
AG,4,F1_DIRECTION,linear_qr,5,225,-0.00040594145064755806,0.0003138681711196028,-0.0004285102193836,0.4577777777777778
AG,4,F1_DIRECTION,linear_qr,6,225,-0.0002717258392627765,-0.0005444298998910817,7.221520133122515e-05,0.5022222222222222
AG,4,F1_DIRECTION,linear_qr,7,225,-0.0001470285489982139,0.000188375943414378,-0.000440819932199,0.4622222222222222
AG,4,F1_DIRECTION,linear_qr,8,225,-1.2833035470403238e-05,-8.102564806012532e-05,0.000220482858351,0.5111111111111111
AG,4,F1_DIRECTION,linear_qr,9,225,0.00015835511922960874,-0.0015578797407516983,-0.0007134364155167,0.4311111111111111
AG,4,F1_DIRECTION,linear_qr,10,225,0.0006355817795386001,-0.0003514028382822904,-0.0006048184049161,0.4711111111111111
AG,4,F1_DIRECTION,gbr_quantile,1,225,-0.002546866172440982,0.0008374115777807749,0.0014762765089256,0.5644444444444444
AG,4,F1_DIRECTION,gbr_quantile,2,225,-0.0012713770428323399,-0.001774178507813814,-0.0015236758690873,0.43555555555555553
AG,4,F1_DIRECTION,gbr_quantile,3,225,-0.0009367872904839117,-2.7369880621488543e-05,-0.0004206857239241,0.4666666666666667
AG,4,F1_DIRECTION,gbr_quantile,4,225,-0.0007087079828860331,-0.000586253412036855,-0.0003535942896005,0.48444444444444446
AG,4,F1_DIRECTION,gbr_quantile,5,225,-0.0005307022506659785,0.00023553328912670382,-0.0001279426818531,0.48
AG,4,F1_DIRECTION,gbr_quantile,6,225,-0.0003755121612497919,0.00020212985739950093,0.0003309176376205,0.52
AG,4,F1_DIRECTION,gbr_quantile,7,225,-0.0001952474281981161,0.0004299584327893108,-0.0002501876420355,0.48444444444444446
AG,4,F1_DIRECTION,gbr_quantile,8,225,8.249693206108082e-06,0.00048427574552938497,0.0003901677770916,0.5422222222222223
AG,4,F1_DIRECTION,gbr_quantile,9,225,0.0002719793606607154,-0.00042684103027438967,-0.0003939075681185,0.48444444444444446
AG,4,F1_DIRECTION,gbr_quantile,10,225,0.0009614494213011343,0.0009507828305278284,-0.0006099834138099,0.4622222222222222
AG,4,F2_ACTIVITY,linear_qr,1,225,-0.002186206499386893,0.0006200647984476413,0.0004891769695199,0.5066666666666667
AG,4,F2_ACTIVITY,linear_qr,2,225,-0.0011773725868086532,-0.0003123376966089898,0.0,0.49777777777777776
AG,4,F2_ACTIVITY,linear_qr,3,225,-0.0007247046558680682,0.0005277488568105147,0.0001778990131297,0.5066666666666667
AG,4,F2_ACTIVITY,linear_qr,4,225,-0.0005261671957300902,0.00034638967078011495,0.0001388985348436,0.5288888888888889
AG,4,F2_ACTIVITY,linear_qr,5,225,-0.0003739628333837851,0.000472599915766244,0.0,0.49777777777777776
AG,4,F2_ACTIVITY,linear_qr,6,225,-0.00024078764016645087,0.0009308287614110516,0.0003459369737339,0.5244444444444445
AG,4,F2_ACTIVITY,linear_qr,7,225,-0.00010123892516175287,0.0006974673154392833,-0.0001438021285193,0.4711111111111111
AG,4,F2_ACTIVITY,linear_qr,8,225,3.983642311539214e-05,-0.0013516046695270238,-0.0006397725471463,0.4711111111111111
AG,4,F2_ACTIVITY,linear_qr,9,225,0.00022464677883415237,-0.0007748736063092093,-0.0003738317800545,0.47555555555555556
AG,4,F2_ACTIVITY,linear_qr,10,225,0.000706559159196561,-0.0008308344438026708,-0.0008844079465653,0.4444444444444444
AG,4,F2_ACTIVITY,gbr_quantile,1,225,-0.002665571510427874,0.0005618167442919722,0.0008448919745014,0.5288888888888889
AG,4,F2_ACTIVITY,gbr_quantile,2,225,-0.0013067240682761764,-0.0003538689716010419,-0.0001433075382217,0.49333333333333335
AG,4,F2_ACTIVITY,gbr_quantile,3,225,-0.0009527969279607035,-0.0005006018633107664,-0.0002853474124084,0.48444444444444446
AG,4,F2_ACTIVITY,gbr_quantile,4,225,-0.0007195364376626198,0.00010335034224940922,0.000723089596009,0.5155555555555555
AG,4,F2_ACTIVITY,gbr_quantile,5,225,-0.0005279816468693209,0.00040651658788658994,-0.0003013591319555,0.48
AG,4,F2_ACTIVITY,gbr_quantile,6,225,-0.0003646442508335747,-0.0002658749203435506,0.0001188424744401,0.5066666666666667
AG,4,F2_ACTIVITY,gbr_quantile,7,225,-0.00019885938800205221,7.828735923351988e-05,-0.0005017246891074,0.47555555555555556
AG,4,F2_ACTIVITY,gbr_quantile,8,225,-4.979420528681733e-06,-0.0006706989390827192,-0.0003738317800545,0.4666666666666667
AG,4,F2_ACTIVITY,gbr_quantile,9,225,0.00024122514624684677,0.0005087762198426967,0.0003069273527057,0.5155555555555555
AG,4,F2_ACTIVITY,gbr_quantile,10,225,0.0008830928365049089,0.000457746343240846,-0.000846979158482,0.4577777777777778
AG,4,F3_VOL,linear_qr,1,225,-0.0023532342736461735,0.0006702046940191134,0.0008373456633275,0.5244444444444445
AG,4,F3_VOL,linear_qr,2,225,-0.0014538357401409983,-5.22701984819654e-05,-0.0002816108157163,0.4888888888888889
AG,4,F3_VOL,linear_qr,3,225,-0.0010352396650603463,-0.0009409614112062769,-0.0004355536266472,0.4444444444444444
AG,4,F3_VOL,linear_qr,4,225,-0.0007508204016542974,0.0005081926192847552,-5.943006568772939e-05,0.49333333333333335
AG,4,F3_VOL,linear_qr,5,225,-0.0005205417664179451,-0.00026122113667775864,6.847673505611004e-05,0.5022222222222222
AG,4,F3_VOL,linear_qr,6,225,-0.0003307054162886986,-0.00017657221460425096,0.0002019454081111,0.5155555555555555
AG,4,F3_VOL,linear_qr,7,225,-0.0001277632736087211,0.0009915851488198008,0.000208167089535,0.5288888888888889
AG,4,F3_VOL,linear_qr,8,225,6.424067570579741e-05,0.0003462873429564667,-0.0001426431783318,0.48444444444444446
AG,4,F3_VOL,linear_qr,9,225,0.0003347248945833651,-0.0007964235562911423,-0.0007115918609528,0.4488888888888889
AG,4,F3_VOL,linear_qr,10,225,0.0008807530100840593,3.662761458821421e-05,0.0,0.49333333333333335
AG,4,F3_VOL,gbr_quantile,1,225,-0.0026489502302968603,0.0004271489144459841,0.0008440345349446,0.52
AG,4,F3_VOL,gbr_quantile,2,225,-0.0014148097585587186,0.0012552734810158974,0.0011221946314825,0.5511111111111111
AG,4,F3_VOL,gbr_quantile,3,225,-0.0009457959181494445,-0.0007978364671911697,-0.0006842285590243,0.4533333333333333
AG,4,F3_VOL,gbr_quantile,4,225,-0.0006718713137216634,-0.0003159717386917428,-0.0006307954539573,0.47555555555555556
AG,4,F3_VOL,gbr_quantile,5,225,-0.0005017670887599531,0.00016776107169090405,0.0002784351960073,0.5155555555555555
AG,4,F3_VOL,gbr_quantile,6,225,-0.00036669901909428535,-0.0006244451018490267,-0.0001388406805423,0.48444444444444446
AG,4,F3_VOL,gbr_quantile,7,225,-0.00020783481202602927,-0.00017043398976741107,-5.93418983647956e-05,0.49333333333333335
AG,4,F3_VOL,gbr_quantile,8,225,-4.867605479520445e-06,-0.00042586194748597643,-0.0002846164812154,0.4711111111111111
AG,4,F3_VOL,gbr_quantile,9,225,0.00024855114101496323,-0.0004413536695469859,-0.000610604177864,0.4666666666666667
AG,4,F3_VOL,gbr_quantile,10,225,0.0008914865718668989,0.0012511683497864827,-0.0001208532239068,0.49333333333333335
AG,8,F1_DIRECTION,linear_qr,1,225,-0.003288146555261851,0.00038977364891875987,0.0007062147186169,0.5244444444444445
AG,8,F1_DIRECTION,linear_qr,2,225,-0.0021145008174958085,-0.0006828089668462352,-0.0015068496001889,0.4311111111111111
AG,8,F1_DIRECTION,linear_qr,3,225,-0.0014510931610604565,0.0009694808276633422,-0.0003482500470508,0.48444444444444446
AG,8,F1_DIRECTION,linear_qr,4,225,-0.0010199965958897009,-0.0011558116054773923,-0.0014145941295622,0.4088888888888889
AG,8,F1_DIRECTION,linear_qr,5,225,-0.0007007577310710533,-0.001005677346201737,5.9120872641367935e-05,0.5022222222222222
AG,8,F1_DIRECTION,linear_qr,6,225,-0.00039026383039238,0.0008785904037824352,0.0004212933768791,0.5155555555555555
AG,8,F1_DIRECTION,linear_qr,7,225,-0.00011342145802695811,0.0012922250161255134,0.0005946678294771,0.5111111111111111
AG,8,F1_DIRECTION,linear_qr,8,225,0.00012776236052147242,0.0005474574506816504,-0.0002979826596142,0.49777777777777776
AG,8,F1_DIRECTION,linear_qr,9,225,0.00035308835556914394,0.00033072031709629703,0.0001884599685195,0.5066666666666667
AG,8,F1_DIRECTION,linear_qr,10,225,0.000763043947303267,-0.0006198043248000457,-0.0001363140678229,0.49777777777777776
AG,8,F1_DIRECTION,gbr_quantile,1,225,-0.0052452035401423115,-0.0016590001738804095,-0.0016961134808199,0.4488888888888889
AG,8,F1_DIRECTION,gbr_quantile,2,225,-0.002548692305908337,-0.000993178035594236,-0.001245289362959,0.4711111111111111
