date,symbol,underlying_symbol,instrument,previous_underlying,is_roll
2025-07-08,KQ.m@SHFE.ag,SHFE.ag2510,AG,SHFE.ag2508,True
2025-09-18,KQ.m@SHFE.ag,SHFE.ag2512,AG,SHFE.ag2510,True
2025-11-17,KQ.m@SHFE.ag,SHFE.ag2602,AG,SHFE.ag2512,True
2025-12-30,KQ.m@SHFE.ag,SHFE.ag2604,AG,SHFE.ag2602,True
2026-03-09,KQ.m@SHFE.ag,SHFE.ag2606,AG,SHFE.ag2604,True
2026-05-19,KQ.m@SHFE.ag,SHFE.ag2608,AG,SHFE.ag2606,True
2026-07-20,KQ.m@SHFE.ag,SHFE.ag2610,AG,SHFE.ag2608,True
2025-06-23,KQ.m@SHFE.al,SHFE.al2508,AL,SHFE.al2507,True
2025-07-17,KQ.m@SHFE.al,SHFE.al2509,AL,SHFE.al2508,True
2025-08-19,KQ.m@SHFE.al,SHFE.al2510,AL,SHFE.al2509,True
2025-09-18,KQ.m@SHFE.al,SHFE.al2511,AL,SHFE.al2510,True
2025-10-17,KQ.m@SHFE.al,SHFE.al2512,AL,SHFE.al2511,True
2025-11-07,KQ.m@SHFE.al,SHFE.al2601,AL,SHFE.al2512,True
2025-12-11,KQ.m@SHFE.al,SHFE.al2602,AL,SHFE.al2601,True
2026-01-12,KQ.m@SHFE.al,SHFE.al2603,AL,SHFE.al2602,True
2026-02-25,KQ.m@SHFE.al,SHFE.al2604,AL,SHFE.al2603,True
2026-03-16,KQ.m@SHFE.al,SHFE.al2605,AL,SHFE.al2604,True
2026-04-15,KQ.m@SHFE.al,SHFE.al2606,AL,SHFE.al2605,True
2026-05-22,KQ.m@SHFE.al,SHFE.al2607,AL,SHFE.al2606,True
2026-06-24,KQ.m@SHFE.al,SHFE.al2608,AL,SHFE.al2607,True
2026-07-20,KQ.m@SHFE.al,SHFE.al2609,AL,SHFE.al2608,True
2026-08-19,KQ.m@SHFE.al,SHFE.al2610,AL,SHFE.al2609,True
2025-08-11,KQ.m@CZCE.CF,CZCE.CF601,CF,CZCE.CF509,True
2025-12-16,KQ.m@CZCE.CF,CZCE.CF605,CF,CZCE.CF601,True
2026-04-09,KQ.m@CZCE.CF,CZCE.CF609,CF,CZCE.CF605,True
2026-08-14,KQ.m@CZCE.CF,CZCE.CF701,CF,CZCE.CF609,True
2025-05-28,KQ.m@SHFE.cu,SHFE.cu2507,CU,SHFE.cu2506,True
2025-06-26,KQ.m@SHFE.cu,SHFE.cu2508,CU,SHFE.cu2507,True
2025-07-22,KQ.m@SHFE.cu,SHFE.cu2509,CU,SHFE.cu2508,True
2025-08-26,KQ.m@SHFE.cu,SHFE.cu2510,CU,SHFE.cu2509,True
2025-09-22,KQ.m@SHFE.cu,SHFE.cu2511,CU,SHFE.cu2510,True
2025-10-17,KQ.m@SHFE.cu,SHFE.cu2512,CU,SHFE.cu2511,True
2025-11-20,KQ.m@SHFE.cu,SHFE.cu2601,CU,SHFE.cu2512,True
2025-12-16,KQ.m@SHFE.cu,SHFE.cu2602,CU,SHFE.cu2601,True
2026-01-14,KQ.m@SHFE.cu,SHFE.cu2603,CU,SHFE.cu2602,True
2026-02-26,KQ.m@SHFE.cu,SHFE.cu2604,CU,SHFE.cu2603,True
