state_var,bin,horizon_min,n,mean,median,win_rate,gap_type
prev_ret_15m,1,5,2896,-0.00022403567821759936,0.0,0.45752762430939226,lunch
prev_ret_15m,2,5,2459,1.0078956095562045e-05,0.0,0.4668564457096381,lunch
prev_ret_15m,3,5,2321,-4.1480200393916965e-05,0.0,0.44635932787591553,lunch
prev_ret_15m,4,5,2474,-4.70907703857596e-05,0.0,0.4518997574777688,lunch
prev_ret_15m,5,5,2874,-6.532769257520485e-05,0.0,0.43667362560890743,lunch
prev_ret_15m,1,15,2896,-0.00021511158717756515,0.0,0.4958563535911602,lunch
prev_ret_15m,2,15,2459,3.755035968539953e-05,0.0,0.4843432289548597,lunch
prev_ret_15m,3,15,2321,-3.6272332245403655e-05,0.0,0.45454545454545453,lunch
prev_ret_15m,4,15,2474,-8.779880260787949e-05,0.0,0.4421988682295877,lunch
prev_ret_15m,5,15,2874,-4.65342462324948e-05,0.0,0.4558107167710508,lunch
prev_ret_15m,1,30,2896,-0.0002835578486205521,0.0,0.4937845303867403,lunch
prev_ret_15m,2,30,2459,5.870764892806644e-05,0.0,0.4961366409109394,lunch
prev_ret_15m,3,30,2321,-0.00020322022872397452,0.0,0.4510986643688065,lunch
prev_ret_15m,4,30,2474,-0.00021739893388013034,0.0,0.45311236863379145,lunch
prev_ret_15m,5,30,2874,-0.0001589725497642543,-5.923557170345317e-05,0.4582463465553236,lunch
prev_ret_30m,1,5,2934,-0.00015222355964631838,0.0,0.46353101567825494,lunch
prev_ret_30m,2,5,2467,-1.0746088140792867e-05,0.0,0.46899067693554924,lunch
prev_ret_30m,3,5,2302,-2.8626506931848783e-05,0.0,0.44613379669852304,lunch
prev_ret_30m,4,5,2443,-2.1883127981005995e-05,0.0,0.4478100695865739,lunch
prev_ret_30m,5,5,2878,-0.00015012503354017452,-5.0629560409576335e-05,0.4322446143154969,lunch
prev_ret_30m,1,15,2934,-0.00016473569246594318,0.0,0.4948875255623722,lunch
prev_ret_30m,2,15,2467,-1.0609604122291447e-05,0.0,0.47061207944872313,lunch
prev_ret_30m,3,15,2302,-6.339300404317329e-05,0.0,0.4587315377932233,lunch
prev_ret_30m,4,15,2443,-2.658359220457823e-05,0.0,0.45886205485059356,lunch
prev_ret_30m,5,15,2878,-8.526259219512064e-05,-0.00012431736721657538,0.45031271716469773,lunch
prev_ret_30m,1,30,2934,-0.00024140141543222307,0.0,0.49863667348329926,lunch
prev_ret_30m,2,30,2467,-7.039031844176114e-05,0.0,0.4791244426428861,lunch
prev_ret_30m,3,30,2302,-0.00017134227072237824,0.0,0.4626411815812337,lunch
prev_ret_30m,4,30,2443,-0.00012066680859190924,0.0,0.45558739255014324,lunch
prev_ret_30m,5,30,2878,-0.00019877833673882613,-0.00012401923096755363,0.45587213342599026,lunch
prev_ret_15m,1,5,1950,0.00030485406216120535,0.00025692333910964926,0.5215384615384615,overnight
prev_ret_15m,2,5,2352,1.7780324801242853e-05,0.0,0.4800170068027211,overnight
prev_ret_15m,3,5,2486,-0.00012973284207303096,-7.766871683606569e-05,0.4561544650040225,overnight
prev_ret_15m,4,5,2332,-0.00018921296784318932,-0.00012926113556321894,0.45411663807890223,overnight
prev_ret_15m,5,5,1940,-0.0003409989005270878,-0.00029008372249567094,0.45103092783505155,overnight
prev_ret_15m,1,15,1950,0.00011734167502359113,6.92958078696293e-08,0.5010256410256411,overnight
prev_ret_15m,2,15,2352,5.396586691216976e-05,0.0,0.49447278911564624,overnight
prev_ret_15m,3,15,2486,-0.00014157404247349824,-7.068148101679883e-05,0.47023330651649237,overnight
prev_ret_15m,4,15,2332,-0.00019572570667820646,-0.0002278052543551179,0.46054888507718694,overnight
prev_ret_15m,5,15,1940,-0.00047317616979878165,-0.0004206058100461596,0.4288659793814433,overnight
prev_ret_15m,1,30,1950,0.00011294636182624153,0.0,0.49435897435897436,overnight
prev_ret_15m,2,30,2352,-2.447979277344219e-05,0.0,0.4732142857142857,overnight
prev_ret_15m,3,30,2486,-9.687456636340856e-05,0.0,0.4823008849557522,overnight
prev_ret_15m,4,30,2332,-0.000261999738976879,-0.0003273143690059044,0.4468267581475129,overnight
prev_ret_15m,5,30,1940,-0.0005689290627100056,-0.00042194100338993623,0.4479381443298969,overnight
prev_ret_30m,1,5,1920,0.0003938338146034437,0.0003438793205901014,0.5328125,overnight
prev_ret_30m,2,5,2347,-8.239265330948166e-05,0.0,0.48189177673625905,overnight
prev_ret_30m,3,5,2489,-0.00015669345871535242,-7.804573480063581e-05,0.45962233828846927,overnight
prev_ret_30m,4,5,2375,-0.00016014414040704531,-0.00020618556701035295,0.4488421052631579,overnight
prev_ret_30m,5,5,1929,-0.0003014238583678397,-0.00032094384325009884,0.4406428201140487,overnight
prev_ret_30m,1,15,1920,0.00021563422998887086,0.0003133236227250702,0.5265625,overnight
prev_ret_30m,2,15,2347,-9.371397746403253e-05,0.0,0.4835960801022582,overnight
prev_ret_30m,3,15,2489,-0.0001803030385236496,0.0,0.47127360385697065,overnight
prev_ret_30m,4,15,2375,-0.00018685014269030506,-0.0002942907592701216,0.4496842105263158,overnight
prev_ret_30m,5,15,1929,-0.000348434871122143,-0.00040621916394845137,0.42923794712286156,overnight
prev_ret_30m,1,30,1920,0.00019335728823976125,0.0002602528833300921,0.5182291666666666,overnight
prev_ret_30m,2,30,2347,-0.00012181029797748568,0.0,0.47464848743076266,overnight
prev_ret_30m,3,30,2489,-0.00020519971559137913,-0.0001558482038493958,0.46283648051426274,overnight
prev_ret_30m,4,30,2375,-0.00018359120842850906,-0.0003269042170643832,0.4513684210526316,overnight
prev_ret_30m,5,30,1929,-0.0004828683379551179,-0.00043409284008966154,0.4427164333851737,overnight
prev_ret_15m,1,5,243,0.0007906552733873246,0.0003035822347945416,0.522633744855967,long_gap
prev_ret_15m,2,5,275,-0.00016022710098104702,0.0,0.4763636363636364,long_gap
prev_ret_15m,3,5,283,0.0003242041480129793,0.00019289746587580758,0.5159010600706714,long_gap
prev_ret_15m,4,5,283,-0.00021759618984432333,-0.0003264135447273997,0.4381625441696113,long_gap
prev_ret_15m,5,5,292,-4.852468695511564e-05,-3.7383174840588396e-05,0.4691780821917808,long_gap
prev_ret_15m,1,15,243,0.0006382433449886667,0.0006644518272425071,0.5349794238683128,long_gap
prev_ret_15m,2,15,275,0.00012487664897692838,0.00023446658851122848,0.509090909090909,long_gap
prev_ret_15m,3,15,283,0.0002303117802723349,0.0,0.4911660777385159,long_gap
prev_ret_15m,4,15,283,-0.0002487128572966592,-0.0003145643284051536,0.44876325088339225,long_gap
prev_ret_15m,5,15,292,0.00039016096822506037,0.0,0.4863013698630137,long_gap
prev_ret_15m,1,30,243,0.0010702209883297396,0.001052631578947416,0.551440329218107,long_gap
prev_ret_15m,2,30,275,0.0004100752549725821,0.00031796500410097295,0.5236363636363637,long_gap
prev_ret_15m,3,30,283,0.000664457828045949,0.0002460629921259283,0.5123674911660777,long_gap
prev_ret_15m,4,30,283,-0.0004407482835549463,-0.00029405998823761603,0.45229681978798586,long_gap
prev_ret_15m,5,30,292,0.0008131440779719862,0.0001710348852596022,0.5102739726027398,long_gap
prev_ret_30m,1,5,235,0.0006173096445579975,0.0,0.4978723404255319,long_gap
prev_ret_30m,2,5,274,-8.167067756625942e-05,0.0002267767546820787,0.5072992700729927,long_gap
prev_ret_30m,3,5,297,0.0002494112800275963,0.0,0.4882154882154882,long_gap
prev_ret_30m,4,5,273,0.0001294883527674005,0.0,0.48717948717948717,long_gap
