state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_15m,1,5,323,-0.00029475169932609226,-0.00013140604467809514,0.47678018575851394,AG
prev_ret_15m,2,5,323,0.00013078795546866233,0.0,0.49226006191950467,AG
prev_ret_15m,3,5,323,-0.00017441509478583966,0.00011137096461077967,0.5108359133126935,AG
prev_ret_15m,4,5,323,-0.0003078279756206145,0.0,0.47058823529411764,AG
prev_ret_15m,5,5,324,-0.00019397495425578384,-0.00010265254577052074,0.4845679012345679,AG
prev_ret_15m,1,15,323,-0.0005641974840331323,-0.00018387985414836105,0.47678018575851394,AG
prev_ret_15m,2,15,323,0.00012188774443424533,-0.00010834235040058093,0.47678018575851394,AG
prev_ret_15m,3,15,323,-9.676493392628937e-05,0.0,0.47368421052631576,AG
prev_ret_15m,4,15,323,-0.00024224408345864797,-0.00019950122744882837,0.4551083591331269,AG
prev_ret_15m,5,15,324,-0.00023309995736320928,0.0,0.49382716049382713,AG
prev_ret_15m,1,30,323,-0.0009098360796502689,-0.00014470731920157576,0.47987616099071206,AG
prev_ret_15m,2,30,323,-5.16768695839059e-05,0.00010786321806333099,0.5077399380804953,AG
prev_ret_15m,3,30,323,-5.826878088124369e-05,-0.0001082133853828049,0.47678018575851394,AG
prev_ret_15m,4,30,323,-0.00042348934150112613,-0.0001747029899887842,0.4674922600619195,AG
prev_ret_15m,5,30,324,-0.0007357115827684015,0.00020697691981663713,0.5154320987654321,AG
prev_ret_30m,1,5,323,-0.0003338691420116746,-7.476634968117679e-05,0.48297213622291024,AG
prev_ret_30m,2,5,323,0.00016544925804931653,0.00011890605040210112,0.5139318885448917,AG
prev_ret_30m,3,5,323,5.788792994188684e-05,0.00011018068448676033,0.5139318885448917,AG
prev_ret_30m,4,5,323,-0.0002107894245776601,-0.00012001920307247449,0.46439628482972134,AG
prev_ret_30m,5,5,324,-0.0005178576570954077,-0.0002535038085166863,0.45987654320987653,AG
prev_ret_30m,1,15,323,-0.0005933070244475763,0.00011354603032986965,0.5046439628482973,AG
prev_ret_30m,2,15,323,0.00042599064695355535,5.54600410405115e-05,0.5046439628482973,AG
prev_ret_30m,3,15,323,7.72027413368701e-05,-0.00012476606363065468,0.4613003095975232,AG
prev_ret_30m,4,15,323,-0.0001049099340924088,-0.00025141420490260025,0.4458204334365325,AG
