n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity,fold
375,0.0001428054314580202,-8.238588890630005e-05,0.456,0.0016179697884747602,-0.001395745634980666,AG,H5,FOLLOW,ALL,0
292,6.333633271807857e-05,-0.00014686997042095973,0.4315068493150685,0.0016586192326427092,-0.0015154848631131347,AG,H5,FOLLOW,TOP30,0
375,-0.0001428054314580202,8.238588890630005e-05,0.52,0.001395745634980666,-0.0016179697884747602,AG,H5,FADE,ALL,0
292,-6.333633271807857e-05,0.00014686997042095973,0.547945205479452,0.0015154848631131347,-0.0016586192326427092,AG,H5,FADE,TOP30,0
375,0.0005462016334801849,-0.00014376767144286262,0.48533333333333334,0.003424715164453532,-0.002675862968334556,AG,H5,FOLLOW,ALL,1
361,0.0005566490373438719,-0.00011841326228534399,0.48753462603878117,0.0034646647609704903,-0.0027007441879843474,AG,H5,FOLLOW,TOP30,1
375,-0.0005462016334801849,0.00014376767144286262,0.512,0.002675862968334556,-0.003424715164453532,AG,H5,FADE,ALL,1
361,-0.0005566490373438719,0.00011841326228534399,0.5096952908587258,0.0027007441879843474,-0.0034646647609704903,AG,H5,FADE,TOP30,1
375,-0.0003573146222925961,-0.0006782490739291047,0.416,0.003181483582516368,-0.003139469747249309,AG,H5,FOLLOW,ALL,2
356,-0.0003638908589607118,-0.0006822295927423894,0.41292134831460675,0.0032827993968277663,-0.003237663765694692,AG,H5,FOLLOW,TOP30,2
375,0.0003573146222925961,0.0006782490739291047,0.5786666666666667,0.003139469747249309,-0.003181483582516368,AG,H5,FADE,ALL,2
356,0.0003638908589607118,0.0006822295927423894,0.5814606741573034,0.003237663765694692,-0.0032827993968277663,AG,H5,FADE,TOP30,2
375,4.007207438364417e-05,-0.00025630510559770947,0.416,0.0018985134045565505,-0.0015097900978339467,AG,H5,FOLLOW,ALL,3
257,1.8462805740811621e-06,-0.00020448852308163623,0.4357976653696498,0.0021017304729699458,-0.0017488543765067017,AG,H5,FOLLOW,TOP30,3
375,-4.007207438364417e-05,0.00025630510559770947,0.5733333333333334,0.0015097900978339467,-0.0018985134045565505,AG,H5,FADE,ALL,3
257,-1.8462805740811621e-06,0.00020448852308163623,0.5525291828793775,0.0017488543765067017,-0.0021017304729699458,AG,H5,FADE,TOP30,3
375,-0.00011177748431286597,-0.00043302540415701696,0.37333333333333335,0.0018292394222663693,-0.0016297130151934074,AG,H5,FOLLOW,ALL,4
236,1.9474448776183844e-05,-0.00043850883678431263,0.4025423728813559,0.0022239235067073914,-0.0018592789524236697,AG,H5,FOLLOW,TOP30,4
375,0.00011177748431286597,0.00043302540415701696,0.6053333333333333,0.0016297130151934074,-0.0018292394222663693,AG,H5,FADE,ALL,4
236,-1.9474448776183844e-05,0.00043850883678431263,0.576271186440678,0.0018592789524236697,-0.0022239235067073914,AG,H5,FADE,TOP30,4
375,1.4932163218605392e-05,-0.00021208906276992678,0.4186666666666667,0.0016854524522661085,-0.0014564239218540283,AG,H5,FOLLOW,ALL,5
200,2.0117067166950388e-05,-0.00013732624974760466,0.45,0.001939858820885873,-0.0017422926008157597,AG,H5,FOLLOW,TOP30,5
375,-1.4932163218605392e-05,0.00021208906276992678,0.56,0.0014564239218540283,-0.0016854524522661085,AG,H5,FADE,ALL,5
200,-2.0117067166950388e-05,0.00013732624974760466,0.54,0.0017422926008157597,-0.001939858820885873,AG,H5,FADE,TOP30,5
371,7.255015772028958e-05,-0.00012337301088871655,0.4555256064690027,0.001472609654821376,-0.00118388846964258,AG,H5,FOLLOW,ALL,6
159,4.821668012986013e-05,-6.131207480830625e-05,0.4779874213836478,0.0016937780734599785,-0.001501814618280247,AG,H5,FOLLOW,TOP30,6
