n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity
2621,4.960351277750846e-05,-0.00022507313228303794,0.4315146890499809,0.0021596159337614897,-0.001856867471110116,AG,H5,FOLLOW,ALL
1861,5.7313108778914226e-05,-0.00023166917641603835,0.4416980118216013,0.002485766005860416,-0.002173880163612367,AG,H5,FOLLOW,TOP30
2621,-4.960351277750846e-05,0.00022507313228303794,0.5547500953834414,0.001856867471110116,-0.0021596159337614897,AG,H5,FADE,ALL
1861,-5.7313108778914226e-05,0.00023166917641603835,0.5470177324019344,0.002173880163612367,-0.002485766005860416,AG,H5,FADE,TOP30
2619,0.00028634346086682706,-0.00021243826013062073,0.46086292478045054,0.00374410914018967,-0.0030789668343047427,AG,H15,FOLLOW,ALL
1859,0.00037682834941625895,-0.00023568230025927672,0.4658418504572351,0.004358486129948831,-0.0035886568271760594,AG,H15,FOLLOW,TOP30
2619,-0.00028634346086682706,0.00021243826013062073,0.5280641466208477,0.0030789668343047427,-0.00374410914018967,AG,H15,FADE,ALL
1859,-0.00037682834941625895,0.00023568230025927672,0.5266272189349113,0.0035886568271760594,-0.004358486129948831,AG,H15,FADE,TOP30
2911,6.346473888907358e-06,-4.2115827140754014e-05,0.47131569907248366,0.0009175153010518181,-0.0008117057908568461,AU,H5,FOLLOW,ALL
1362,-1.846617340928251e-06,-2.1569930196640996e-05,0.48384728340675476,0.001150798333066525,-0.00103265060406883,AU,H5,FOLLOW,TOP30
2911,-6.346473888907358e-06,4.2115827140754014e-05,0.5211267605633803,0.0008117057908568461,-0.0009175153010518181,AU,H5,FADE,ALL
1362,1.846617340928251e-06,2.1569930196640996e-05,0.5095447870778267,0.00103265060406883,-0.001150798333066525,AU,H5,FADE,TOP30
2909,1.3986100408085839e-05,-9.522408258855197e-05,0.45926435201100035,0.0015707600796249146,-0.0013816808926864737,AU,H15,FOLLOW,ALL
1364,2.201114519549575e-06,-0.00016043386632191847,0.45234604105571846,0.0019971781533057406,-0.0017497459224771585,AU,H15,FOLLOW,TOP30
2909,-1.3986100408085839e-05,9.522408258855197e-05,0.5307665864558267,0.0013816808926864737,-0.0015707600796249146,AU,H15,FADE,ALL
1364,-2.201114519549575e-06,0.00016043386632191847,0.5403225806451613,0.0017497459224771585,-0.0019971781533057406,AU,H15,FADE,TOP30
1907,-2.5431185173512267e-05,-9.542895314429423e-05,0.42317776612480335,0.0008793042680235008,-0.0008552443213996713,CU,H5,FOLLOW,ALL
865,-1.1908058294576718e-05,-9.96015936254313e-05,0.4416184971098266,0.0012253151928776204,-0.0011819234936477567,CU,H5,FOLLOW,TOP30
1907,2.5431185173512267e-05,9.542895314429423e-05,0.5207131620346094,0.0008552443213996713,-0.0008793042680235008,CU,H5,FADE,ALL
865,1.1908058294576718e-05,9.96015936254313e-05,0.5179190751445086,0.0011819234936477567,-0.0012253151928776204,CU,H5,FADE,TOP30
1905,4.016537209317021e-05,-0.00010340192327573661,0.43412073490813646,0.0014884619118441477,-0.0013877518596216774,CU,H15,FOLLOW,ALL
864,8.705563532675967e-05,-0.0001981377874592516,0.42592592592592593,0.0021084179734019684,-0.001917685105607963,CU,H15,FOLLOW,TOP30
1905,-4.016537209317021e-05,0.00010340192327573661,0.5254593175853018,0.0013877518596216774,-0.0014884619118441477,CU,H15,FADE,ALL
864,-8.705563532675967e-05,0.0001981377874592516,0.5393518518518519,0.001917685105607963,-0.0021084179734019684,CU,H15,FADE,TOP30
1250,-1.8879771752840924e-05,0.0,0.4056,0.000851425614332284,-0.0008397953974566114,AL,H5,FOLLOW,ALL
673,-3.419819488600998e-05,0.0,0.4338781575037147,0.0010281781820760797,-0.0010362449537099682,AL,H5,FOLLOW,TOP30
1250,1.8879771752840924e-05,0.0,0.4864,0.0008397953974566114,-0.000851425614332284,AL,H5,FADE,ALL
673,3.419819488600998e-05,0.0,0.4933135215453195,0.0010362449537099682,-0.0010281781820760797,AL,H5,FADE,TOP30
1250,4.380385491193648e-05,-0.00020048115477150352,0.4296,0.001539421945796984,-0.0013459908249746388,AL,H15,FOLLOW,ALL
