horizon,comparison,unit,n_units,n_positive,positive_share,median_of_unit_means
H5,FOLLOW ALL vs zero (instrument),instrument,15,5,0.3333333333333333,-1.8879771752840924e-05
H5,FOLLOW ALL vs zero (fold),fold,72,32,0.4444444444444444,-7.619136574294582e-06
H5,FOLLOW vs FADE ALL (instrument),instrument,15,5,0.3333333333333333,-3.775954350568185e-05
H5,FOLLOW TOP30 vs zero (instrument),instrument,15,6,0.4,-1.846617340928251e-06
H5,FOLLOW TOP30 vs zero (fold),fold,72,37,0.5138888888888888,3.503367378824013e-06
H5,FOLLOW vs FADE TOP30 (instrument),instrument,15,6,0.4,-3.693234681856502e-06
H5,TOP30 FOLLOW vs ALL FOLLOW,instrument,15,9,0.6,1.352312687893555e-05
H5,TOP30 FOLLOW vs ALL FOLLOW,fold,72,36,0.5,-1.0067127131836824e-06
H15,FOLLOW ALL vs zero (instrument),instrument,15,10,0.6666666666666666,2.6746090912107928e-05
H15,FOLLOW ALL vs zero (fold),fold,71,37,0.5211267605633803,1.1698669317118446e-05
H15,FOLLOW vs FADE ALL (instrument),instrument,15,10,0.6666666666666666,5.3492181824215856e-05
H15,FOLLOW TOP30 vs zero (instrument),instrument,15,10,0.6666666666666666,8.705563532675967e-05
H15,FOLLOW TOP30 vs zero (fold),fold,71,39,0.5492957746478874,3.570136886503707e-05
H15,FOLLOW vs FADE TOP30 (instrument),instrument,15,10,0.6666666666666666,0.00017411127065351933
H15,TOP30 FOLLOW vs ALL FOLLOW,instrument,15,9,0.6,2.0970682714655003e-05
H15,TOP30 FOLLOW vs ALL FOLLOW,fold,71,35,0.49295774647887325,-2.5334985414037544e-06
