instrument,n_events,up_events,down_events,follow_H5_mean_signed_return,follow_H5_median_signed_return,follow_H5_win_rate,follow_H5_mean_mfe,follow_H5_mean_mae,fade_H5_mean_signed_return,fade_H5_median_signed_return,fade_H5_win_rate,fade_H5_mean_mfe,fade_H5_mean_mae,follow_H15_mean_signed_return,follow_H15_median_signed_return,follow_H15_win_rate,follow_H15_mean_mfe,follow_H15_mean_mae,fade_H15_mean_signed_return,fade_H15_median_signed_return,fade_H15_win_rate,fade_H15_mean_mfe,fade_H15_mean_mae
AG,3755,2104,1651,3.6896258612951495e-05,-0.0001598806224685223,0.4322237017310253,0.001782020970046344,-0.0015467042889262073,-3.6896258612951495e-05,0.0001598806224685223,0.5392809587217043,0.0015467042889262073,-0.001782020970046344,0.00024037364037914408,-0.00016191708564416984,0.45992010652463383,0.003090617597191406,-0.002554286217702695,-0.00024037364037914408,0.00016191708564416984,0.5230359520639147,0.002554286217702695,-0.003090617597191406
AU,4169,2256,1913,-2.5389906697569485e-06,-3.827240688980549e-05,0.46965699208443273,0.0008049354336965912,-0.0007240242857695591,2.5389906697569485e-06,3.827240688980549e-05,0.5197889182058048,0.0007240242857695591,-0.0008049354336965912,1.5046769803481783e-05,-6.335806919166576e-05,0.4627008875029983,0.00137421062996387,-0.001227353620603258,-1.5046769803481783e-05,6.335806919166576e-05,0.5262652914367953,0.001227353620603258,-0.00137421062996387
CU,2735,1462,1273,-1.922135929641476e-05,-9.455370650524042e-05,0.42047531992687387,0.0007780758535416915,-0.0007573574761830798,1.922135929641476e-05,9.455370650524042e-05,0.509689213893967,0.0007573574761830798,-0.0007780758535416915,4.3812004868594406e-05,-0.00010242753252076575,0.4347349177330896,0.00131887411468024,-0.0012222293952221467,-4.3812004868594406e-05,0.00010242753252076575,0.5173674588665448,0.0012222293952221467,-0.00131887411468024
AL,2088,1109,979,-1.7789942557921628e-05,0.0,0.38553639846743293,0.0006807397845502976,-0.0006774921896173462,1.7789942557921628e-05,0.0,0.45881226053639845,0.0006774921896173462,-0.0006807397845502976,2.089267508215132e-05,0.0,0.4228927203065134,0.0012040404891829697,-0.0010782123095265446,-2.089267508215132e-05,0.0,0.48898467432950193,0.0010782123095265446,-0.0012040404891829697
SN,2658,1340,1318,6.16649170595402e-05,-0.00011511240328299088,0.43792325056433407,0.0014288739165656604,-0.001198151093137323,-6.16649170595402e-05,0.00011511240328299088,0.5492851768246803,0.001198151093137323,-0.0014288739165656604,0.00018875416686248882,-0.0001064098447396411,0.4646350639578631,0.0024136774906544484,-0.0019570060219044057,-0.00018875416686248882,0.0001064098447396411,0.5259593679458239,0.0019570060219044057,-0.0024136774906544484
NI,2581,1301,1280,3.0781660119749426e-05,-8.170602173385166e-05,0.43006586594343277,0.0010091350906245439,-0.0008501499982209178,-3.0781660119749426e-05,8.170602173385166e-05,0.5203409531189461,0.0008501499982209178,-0.0010091350906245439,7.706652434700726e-05,-0.00014264317808998506,0.4482758620689655,0.001673960123441602,-0.0014000901553365439,-7.706652434700726e-05,0.00014264317808998506,0.5249903138318481,0.0014000901553365439,-0.001673960123441602
RB,1247,602,645,-3.6657876571334403e-05,0.0,0.35926222935044105,0.0006329834025727069,-0.0006854969976400752,3.6657876571334403e-05,0.0,0.433841218925421,0.0006854969976400752,-0.0006329834025727069,-7.56248539360172e-05,-0.00031347962382444194,0.3793103448275862,0.0010482307452044058,-0.001089732906542681,7.56248539360172e-05,0.00031347962382444194,0.51242983159583,0.001089732906542681,-0.0010482307452044058
I,1139,566,573,-6.59044260656397e-05,0.0,0.3476733977172959,0.0010426541650744245,-0.0011630651509309444,6.59044260656397e-05,0.0,0.4363476733977173,0.0011630651509309444,-0.0010426541650744245,-0.00020049228140996608,0.0,0.373134328358209,0.0017210050385502182,-0.0018225087858390148,0.00020049228140996608,0.0,0.4872695346795435,0.0018225087858390148,-0.0017210050385502182
SC,3383,1727,1656,2.9510389077677693e-05,-0.0001781778475985485,0.42595329589122083,0.001556399008374876,-0.0013570700462521017,-2.9510389077677693e-05,0.0001781778475985485,0.5101980490688738,0.0013570700462521017,-0.001556399008374876,0.00019900117850990467,-0.00020392761982124252,0.4460537984037836,0.0026581706716828795,-0.002248410802524726,-0.00019900117850990467,0.00020392761982124252,0.513449600945906,0.002248410802524726,-0.0026581706716828795
RU,1394,664,730,-2.9360480009429418e-05,-0.00028101733249519256,0.396700143472023,0.0011220626372881448,-0.0010371988643086893,2.9360480009429418e-05,0.00028101733249519256,0.5136298421807748,0.0010371988643086893,-0.0011220626372881448,-1.4253540517542827e-05,-0.00029542138740878965,0.41750358680057387,0.0018451789368103375,-0.001683567797513735,1.4253540517542827e-05,0.00029542138740878965,0.5200860832137734,0.001683567797513735,-0.0018451789368103375
MA,1392,695,697,-4.8545001122460296e-05,0.0,0.40445402298850575,0.0015278457514433564,-0.0014800982226488833,4.8545001122460296e-05,0.0,0.4863505747126437,0.0014800982226488833,-0.0015278457514433564,6.749004253328982e-05,-0.00034465383284992823,0.4295977011494253,0.002557614083189455,-0.00237809461933246,-6.749004253328982e-05,0.00034465383284992823,0.5035919540229885,0.00237809461933246,-0.002557614083189455
TA,1426,717,709,-4.6134051858683935e-05,0.0,0.423562412342216,0.0014608828318229423,-0.001474111480177395,4.6134051858683935e-05,0.0,0.4803646563814867,0.001474111480177395,-0.0014608828318229423,-7.139420094591503e-05,0.0,0.42426367461430575,0.0024512477267537706,-0.0024007082710267398,7.139420094591503e-05,0.0,0.4992987377279102,0.0024007082710267398,-0.0024512477267537706
M,1350,646,704,-5.6176358684227304e-05,0.0,0.3637037037037037,0.0007263980784654779,-0.0007778095212906188,5.6176358684227304e-05,0.0,0.47703703703703704,0.0007778095212906188,-0.0007263980784654779,-0.00010078832257382901,0.0,0.4022222222222222,0.001198587874843663,-0.00123189358367611,0.00010078832257382901,0.0,0.49037037037037035,0.00123189358367611,-0.001198587874843663
P,1694,872,822,-4.298081124551064e-05,-0.00010685472258797901,0.41617473435655256,0.0008720211977337652,-0.0008686260715748901,4.298081124551064e-05,0.00010685472258797901,0.5118063754427391,0.0008686260715748901,-0.0008720211977337652,2.864057454094914e-05,-0.00019951185762567825,0.44805194805194803,0.0015287210051481554,-0.0014196461653948951,-2.864057454094914e-05,0.00019951185762567825,0.5112160566706021,0.0014196461653948951,-0.0015287210051481554
CF,1196,613,583,-7.223785424557504e-05,0.0,0.3528428093645485,0.000694117618598229,-0.0007970792332750066,7.223785424557504e-05,0.0,0.47408026755852845,0.0007970792332750066,-0.000694117618598229,-0.00010900125078870295,-0.0002918447843977545,0.3737458193979933,0.001131562102245898,-0.0012298897617212012,0.00010900125078870295,0.0002918447843977545,0.5008361204013378,0.0012298897617212012,-0.001131562102245898
LC,795,415,380,7.359179436062252e-05,-0.0004626416840157743,0.42138364779874216,0.003493931612905873,-0.003089389189444735,-7.359179436062252e-05,0.0004626416840157743,0.5471698113207547,0.003089389189444735,-0.003493931612905873,0.0003303698415879232,-0.00027412280701755165,0.4628930817610063,0.005750730885849887,-0.0050894889021496775,-0.0003303698415879232,0.00027412280701755165,0.5169811320754717,0.0050894889021496775,-0.005750730885849887
