,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,21075.0,21075.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,21075.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
AU,21075.0,21075.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,21075.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
CU,17565.0,17565.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,17565.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
AL,17565.0,17565.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,17565.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
SN,17565.0,17565.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,17565.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
NI,17565.0,17565.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,17565.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
RB,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
I,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
SC,21075.0,21075.0,17565.0,17565.0,17565.0,17565.0,12885.0,12885.0,21075.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
RU,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
MA,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
TA,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
M,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
P,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
CF,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,12885.0,8400.0
LC,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0
