,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,0.0,0.39057243632952743,0.4630155755576517,0.5345497740043115,0.458816394465493,0.5337715230008,0.667365732836736,0.6644297583952482,0.7043066789508279,0.6484345343165012,0.6983505250337093,0.6843253000121022,0.6928049307790475,0.6806171328149287,0.656427921032914,0.5913294198976355
AU,0.39057243632952743,0.0,0.5135729171259843,0.5748436282282035,0.5419519718784707,0.5810556505765397,0.6843841590736781,0.6830891649016221,0.7065330577090734,0.6664583468223217,0.7057858688041896,0.6921119117284512,0.6982074205098885,0.6889028423863336,0.6742587060288361,0.6183221565512617
CU,0.4630155755576517,0.5135729171259843,0.0,0.4435941797804686,0.464108238740745,0.4843043652164997,0.6231332781303763,0.6228028336498103,0.6734903030932439,0.6089015512529312,0.664663487311128,0.6505932561254866,0.6790786876233265,0.6540700948310219,0.6407001145022887,0.579830931333041
AL,0.5345497740043115,0.5748436282282035,0.4435941797804686,0.0,0.5180236996418169,0.5033606140512928,0.6134705083567028,0.618405143683527,0.6571723196237939,0.6068012329147179,0.6361003639277147,0.6310366400398776,0.675729382982167,0.6451757101721244,0.6355213563630466,0.5942567848582654
SN,0.458816394465493,0.5419519718784707,0.464108238740745,0.5180236996418169,0.0,0.4854370723311475,0.6395031072864688,0.6391840187471024,0.6900545246413485,0.6245086802628456,0.6792184641834857,0.6704215932156987,0.6847750583964385,0.6683950556138241,0.6504446588896102,0.5702958934254364
NI,0.5337715230008,0.5810556505765397,0.4843043652164997,0.5033606140512928,0.4854370723311475,0.0,0.6203403136808715,0.6265810900140235,0.6738733238081516,0.610516571755233,0.6515596594584835,0.6465541791524524,0.6761464321245856,0.6568145723256678,0.6386483171921353,0.568655536200013
RB,0.667365732836736,0.6843841590736781,0.6231332781303763,0.6134705083567028,0.6395031072864688,0.6203403136808715,0.0,0.41540622497640534,0.6488527014116352,0.5763075396483788,0.5915955715152751,0.6120368102713689,0.6587019108029202,0.6313288460388151,0.6366237741028504,0.6250417617061864
I,0.6644297583952482,0.6830891649016221,0.6228028336498103,0.618405143683527,0.6391840187471024,0.6265810900140235,0.41540622497640534,0.0,0.6545874440363793,0.5981495736045973,0.6121170962740046,0.6261252201623679,0.6665212915301173,0.6409488718249546,0.6447495844627427,0.6421774758016193
SC,0.7043066789508279,0.7065330577090734,0.6734903030932439,0.6571723196237939,0.6900545246413485,0.6738733238081516,0.6488527014116352,0.6545874440363793,0.0,0.624747092576584,0.5062355712066458,0.4869835609510641,0.668932312215049,0.5995999702022322,0.6573490372982271,0.6886317693389677
RU,0.6484345343165012,0.6664583468223217,0.6089015512529312,0.6068012329147179,0.6245086802628456,0.610516571755233,0.5763075396483788,0.5981495736045973,0.624747092576584,0.0,0.5878084500684654,0.5881925235480857,0.6619408622792796,0.6150095022037707,0.6159141646299454,0.6245111630334985
MA,0.6983505250337093,0.7057858688041896,0.664663487311128,0.6361003639277147,0.6792184641834857,0.6515596594584835,0.5915955715152751,0.6121170962740046,0.5062355712066458,0.5878084500684654,0.0,0.4822459431358787,0.663180742780784,0.6114340171280638,0.6428459028460588,0.6587971092566107
TA,0.6843253000121022,0.6921119117284512,0.6505932561254866,0.6310366400398776,0.6704215932156987,0.6465541791524524,0.6120368102713689,0.6261252201623679,0.4869835609510641,0.5881925235480857,0.4822459431358787,0.0,0.6616777399640639,0.6042957917146525,0.6342186533171125,0.6536876601135919
M,0.6928049307790475,0.6982074205098885,0.6790786876233265,0.675729382982167,0.6847750583964385,0.6761464321245856,0.6587019108029202,0.6665212915301173,0.668932312215049,0.6619408622792796,0.663180742780784,0.6616777399640639,0.0,0.6233747258275757,0.6605285365753377,0.6841616326965929
P,0.6806171328149287,0.6889028423863336,0.6540700948310219,0.6451757101721244,0.6683950556138241,0.6568145723256678,0.6313288460388151,0.6409488718249546,0.5995999702022322,0.6150095022037707,0.6114340171280638,0.6042957917146525,0.6233747258275757,0.0,0.644516703834214,0.665859155028861
CF,0.656427921032914,0.6742587060288361,0.6407001145022887,0.6355213563630466,0.6504446588896102,0.6386483171921353,0.6366237741028504,0.6447495844627427,0.6573490372982271,0.6159141646299454,0.6428459028460588,0.6342186533171125,0.6605285365753377,0.644516703834214,0.0,0.660110126466522
LC,0.5913294198976355,0.6183221565512617,0.579830931333041,0.5942567848582654,0.5702958934254364,0.568655536200013,0.6250417617061864,0.6421774758016193,0.6886317693389677,0.6245111630334985,0.6587971092566107,0.6536876601135919,0.6841616326965929,0.665859155028861,0.660110126466522,0.0
