horizon,offset,fold,strategy,n,mean_return,median_return,win_rate,break_even_cost_bps
H15,0,0,RAW_CONTRARIAN,1100,-5.069470100450757e-06,9.640786238773735e-08,0.5,-0.025347350502253785
H15,0,0,RESID_CONTRARIAN,1100,-1.1969585275829854e-05,-1.6791592288798799e-06,0.4954545454545455,-0.05984792637914927
H15,0,0,RESID_MOMENTUM,1100,1.1969585275829854e-05,1.6791592288798799e-06,0.5036363636363637,0.05984792637914927
H15,0,1,RAW_CONTRARIAN,940,-4.2646513893460364e-06,1.4784596923704076e-05,0.5127659574468085,-0.021323256946730183
H15,0,1,RESID_CONTRARIAN,940,-4.326470749972982e-06,1.4895416094141509e-05,0.5117021276595745,-0.02163235374986491
H15,0,1,RESID_MOMENTUM,940,4.326470749972982e-06,-1.4895416094141509e-05,0.48829787234042554,0.02163235374986491
H15,0,2,RAW_CONTRARIAN,1056,-0.00010993781168833707,-1.8103417969039803e-05,0.48484848484848486,-0.5496890584416854
H15,0,2,RESID_CONTRARIAN,1056,-0.00010856018222017869,-1.8103417969039803e-05,0.48484848484848486,-0.5428009111008935
H15,0,2,RESID_MOMENTUM,1056,0.00010856018222017869,1.8103417969039803e-05,0.5142045454545454,0.5428009111008935
H15,0,3,RAW_CONTRARIAN,633,-3.1561674513569414e-05,8.242837183577989e-06,0.5007898894154819,-0.15780837256784708
H15,0,3,RESID_CONTRARIAN,633,-4.2055729286731065e-05,8.242837183577989e-06,0.5023696682464455,-0.21027864643365532
H15,0,3,RESID_MOMENTUM,633,4.2055729286731065e-05,-8.242837183577989e-06,0.4976303317535545,0.21027864643365532
H15,0,4,RAW_CONTRARIAN,463,-0.0001021717907928805,6.219791656214557e-06,0.5032397408207343,-0.5108589539644025
H15,0,4,RESID_CONTRARIAN,463,-6.947299685712815e-05,6.036473267989617e-05,0.5118790496760259,-0.3473649842856407
H15,0,4,RESID_MOMENTUM,463,6.947299685712815e-05,-6.036473267989617e-05,0.4838012958963283,0.3473649842856407
H15,0,5,RAW_CONTRARIAN,435,-5.089145881395545e-06,7.923823518957152e-05,0.5310344827586206,-0.025445729406977726
H15,0,5,RESID_CONTRARIAN,435,1.0539134945630554e-05,0.00012003588933839904,0.5517241379310345,0.05269567472815277
H15,0,5,RESID_MOMENTUM,435,-1.0539134945630554e-05,-0.00012003588933839904,0.4459770114942529,-0.05269567472815277
H15,0,6,RAW_CONTRARIAN,484,-2.605586569783485e-05,6.672583086526906e-05,0.5330578512396694,-0.13027932848917426
H15,0,6,RESID_CONTRARIAN,484,4.036440979659086e-06,9.385852205687217e-05,0.5392561983471075,0.02018220489829543
H15,0,6,RESID_MOMENTUM,484,-4.036440979659086e-06,-9.385852205687217e-05,0.45867768595041325,-0.02018220489829543
H15,1,0,RAW_CONTRARIAN,1100,-4.699492195248854e-06,3.100598471611482e-06,0.5036363636363637,-0.02349746097624427
H15,1,0,RESID_CONTRARIAN,1100,-4.460606728893561e-06,4.525225740237282e-06,0.5072727272727273,-0.022303033644467805
H15,1,0,RESID_MOMENTUM,1100,4.460606728893561e-06,-4.525225740237282e-06,0.49272727272727274,0.022303033644467805
H15,1,1,RAW_CONTRARIAN,940,-2.2505423285129077e-05,-4.34058702541984e-06,0.4957446808510638,-0.11252711642564539
H15,1,1,RESID_CONTRARIAN,940,-2.3004981928230717e-05,-3.1087175606792083e-06,0.4968085106382979,-0.11502490964115358
H15,1,1,RESID_MOMENTUM,940,2.3004981928230717e-05,3.1087175606792083e-06,0.5010638297872341,0.11502490964115358
H15,1,2,RAW_CONTRARIAN,1056,-0.00012591149747523788,-1.8539810740431095e-05,0.48200757575757575,-0.6295574873761894
H15,1,2,RESID_CONTRARIAN,1056,-0.00011806563719873395,-1.3139115402682755e-05,0.48579545454545453,-0.5903281859936698
H15,1,2,RESID_MOMENTUM,1056,0.00011806563719873395,1.3139115402682755e-05,0.5142045454545454,0.5903281859936698
H15,1,3,RAW_CONTRARIAN,633,-0.00013533417512278474,-6.912952866150457e-05,0.4849921011058452,-0.6766708756139237
H15,1,3,RESID_CONTRARIAN,633,-0.00019619957171776307,-7.929805137854573e-05,0.4802527646129542,-0.9809978585888154
H15,1,3,RESID_MOMENTUM,633,0.00019619957171776307,7.929805137854573e-05,0.5197472353870458,0.9809978585888154
H15,1,4,RAW_CONTRARIAN,463,-6.298286145672495e-05,0.00017661603673613246,0.5399568034557235,-0.31491430728362474
H15,1,4,RESID_CONTRARIAN,463,-2.2191826124891438e-05,0.0001366666220397883,0.5334773218142549,-0.11095913062445718
H15,1,4,RESID_MOMENTUM,463,2.2191826124891438e-05,-0.0001366666220397883,0.46436285097192226,0.11095913062445718
H15,1,5,RAW_CONTRARIAN,435,6.899733038170164e-05,7.449022495986668e-05,0.5241379310344828,0.3449866519085082
H15,1,5,RESID_CONTRARIAN,435,4.225377038726402e-05,7.422215274494048e-05,0.5195402298850574,0.2112688519363201
H15,1,5,RESID_MOMENTUM,435,-4.225377038726402e-05,-7.422215274494048e-05,0.4781609195402299,-0.2112688519363201
H15,1,6,RAW_CONTRARIAN,484,3.970212008983963e-05,0.00010721227664867161,0.5413223140495868,0.19851060044919816
H15,1,6,RESID_CONTRARIAN,484,1.449790036464541e-05,6.322844035171193e-05,0.5268595041322314,0.07248950182322704
H15,1,6,RESID_MOMENTUM,484,-1.449790036464541e-05,-6.322844035171193e-05,0.4628099173553719,-0.07248950182322704
H15,2,0,RAW_CONTRARIAN,1100,-9.127344913915484e-06,5.921406811937313e-06,0.5081818181818182,-0.045636724569577417
H15,2,0,RESID_CONTRARIAN,1100,-9.682386056600777e-06,5.734208545785102e-06,0.5072727272727273,-0.04841193028300388
H15,2,0,RESID_MOMENTUM,1100,9.682386056600777e-06,-5.734208545785102e-06,0.4909090909090909,0.04841193028300388
H15,2,1,RAW_CONTRARIAN,940,-9.452001095127514e-07,1.4664544217501962e-05,0.5138297872340426,-0.0047260005475637575
H15,2,1,RESID_CONTRARIAN,940,1.0636435065579604e-06,1.3605077220479878e-05,0.5117021276595745,0.005318217532789802
H15,2,1,RESID_MOMENTUM,940,-1.0636435065579604e-06,-1.3605077220479878e-05,0.48829787234042554,-0.005318217532789802
H15,2,2,RAW_CONTRARIAN,1056,-7.166637840106631e-05,-4.126960834349713e-06,0.4952651515151515,-0.35833189200533155
H15,2,2,RESID_CONTRARIAN,1056,-7.566418173767908e-05,-4.19524484285283e-06,0.4962121212121212,-0.3783209086883954
H15,2,2,RESID_MOMENTUM,1056,7.566418173767908e-05,4.19524484285283e-06,0.5028409090909091,0.3783209086883954
H15,2,3,RAW_CONTRARIAN,633,-0.0001509110272851526,-7.543359424830309e-05,0.4786729857819905,-0.754555136425763
H15,2,3,RESID_CONTRARIAN,633,-0.0001622665978771615,-8.938128476232432e-05,0.47393364928909953,-0.8113329893858076
H15,2,3,RESID_MOMENTUM,633,0.0001622665978771615,8.938128476232432e-05,0.5244865718799369,0.8113329893858076
H15,2,4,RAW_CONTRARIAN,463,-3.4094728836953405e-05,5.041643515457661e-05,0.5140388768898488,-0.17047364418476701
H15,2,4,RESID_CONTRARIAN,463,6.209869597746464e-06,0.00010677821025284473,0.5226781857451404,0.03104934798873232
H15,2,4,RESID_MOMENTUM,463,-6.209869597746464e-06,-0.00010677821025284473,0.4773218142548596,-0.03104934798873232
H15,2,5,RAW_CONTRARIAN,435,0.00010383687669292591,3.1782116417106154e-05,0.5149425287356322,0.5191843834646296
H15,2,5,RESID_CONTRARIAN,435,9.713203719380808e-05,9.040041260044429e-05,0.535632183908046,0.4856601859690404
H15,2,5,RESID_MOMENTUM,435,-9.713203719380808e-05,-9.040041260044429e-05,0.4574712643678161,-0.4856601859690404
H15,2,6,RAW_CONTRARIAN,484,-3.7430149064910235e-05,8.389362740882089e-05,0.5289256198347108,-0.18715074532455117
H15,2,6,RESID_CONTRARIAN,484,-2.4029852259007246e-05,6.179672381115275e-05,0.5227272727272727,-0.12014926129503622
H15,2,6,RESID_MOMENTUM,484,2.4029852259007246e-05,-6.179672381115275e-05,0.4731404958677686,0.12014926129503622
H5,0,0,RAW_CONTRARIAN,1276,-2.29364763960177e-06,1.2313617656958053e-06,0.5023510971786834,-0.01146823819800885
H5,0,0,RESID_CONTRARIAN,1276,-4.092267721355012e-06,1.978618238436994e-06,0.5039184952978056,-0.02046133860677506
H5,0,0,RESID_MOMENTUM,1276,4.092267721355012e-06,-1.978618238436994e-06,0.49294670846394983,0.02046133860677506
H5,0,1,RAW_CONTRARIAN,1092,1.6856286263388025e-06,1.574628008284284e-05,0.5293040293040293,0.008428143131694012
H5,0,1,RESID_CONTRARIAN,1092,7.295216720312563e-07,1.5622385807462225e-05,0.5256410256410257,0.003647608360156281
H5,0,1,RESID_MOMENTUM,1092,-7.295216720312563e-07,-1.5622385807462225e-05,0.4725274725274725,-0.003647608360156281
H5,0,2,RAW_CONTRARIAN,1227,-3.959948834798448e-05,7.405664264696215e-07,0.5012224938875306,-0.1979974417399224
H5,0,2,RESID_CONTRARIAN,1227,-3.8716017621307306e-05,2.297088760760957e-06,0.5036674816625917,-0.19358008810653654
H5,0,2,RESID_MOMENTUM,1227,3.8716017621307306e-05,-2.297088760760957e-06,0.49470252648736757,0.19358008810653654
H5,0,3,RAW_CONTRARIAN,768,-9.282002929400878e-06,6.010338912074836e-05,0.5247395833333334,-0.04641001464700439
H5,0,3,RESID_CONTRARIAN,768,-1.226668335492433e-05,6.190648472296362e-05,0.5325520833333334,-0.06133341677462165
H5,0,3,RESID_MOMENTUM,768,1.226668335492433e-05,-6.190648472296362e-05,0.4661458333333333,0.06133341677462165
H5,0,4,RAW_CONTRARIAN,633,-5.608390842908757e-05,1.7003053800507262e-05,0.5039494470774092,-0.28041954214543785
H5,0,4,RESID_CONTRARIAN,633,-6.669905206267853e-05,1.694737181590078e-06,0.5007898894154819,-0.33349526031339266
H5,0,4,RESID_MOMENTUM,633,6.669905206267853e-05,-1.694737181590078e-06,0.49447077409162715,0.33349526031339266
