instrument,n_long,n_short,contrib
SC,3656.0,3750.0,0.26686002193712305
TA,4031.0,3769.0,0.22974039872459234
I,3928.0,3957.0,0.14349276234648217
CF,1797.0,1640.0,0.09916948200451414
RB,3891.0,3432.0,0.08191164995728456
AU,11653.0,10377.0,0.042585238050164786
RU,3364.0,3633.0,0.01372889407529071
P,3220.0,3223.0,-0.007965135273298729
SN,2936.0,3270.0,-0.02764029322907985
AL,3183.0,3435.0,-0.055992336334029225
NI,2878.0,3053.0,-0.10547364805417442
CU,3686.0,3321.0,-0.20582639033035888
MA,3873.0,3724.0,-0.23364525856029789
LC,1865.0,1931.0,-0.6427883695418184
AG,10699.0,12145.0,-0.8031626335158025
