comparison,horizon,offset,folds,median_paired_delta,positive_fold_share
RESID_vs_RAW,H15,0,7,1.3776294681583877e-06,0.5714285714285714
RESID_vs_MOM,H15,0,7,-2.3939170551659708e-05,0.2857142857142857
RESID_vs_RAW,H15,1,7,-4.995586431016298e-07,0.42857142857142855
RESID_vs_MOM,H15,1,7,-4.4383652249782876e-05,0.2857142857142857
RESID_vs_RAW,H15,2,7,-5.550411426852904e-07,0.42857142857142855
RESID_vs_MOM,H15,2,7,-1.9364772113201554e-05,0.42857142857142855
RESID_vs_RAW,H5,0,7,-1.7986200817532434e-06,0.2857142857142857
RESID_vs_MOM,H5,0,7,-8.184535442710023e-06,0.42857142857142855
RESID_vs_RAW,H5,1,7,-4.6345108375389784e-09,0.42857142857142855
RESID_vs_MOM,H5,1,7,-3.145626815469406e-05,0.2857142857142857
RESID_vs_RAW,H5,2,7,-9.901098284045418e-07,0.2857142857142857
RESID_vs_MOM,H5,2,7,9.777939400223316e-07,0.5714285714285714
