horizon,offset,fold,n,resid_vs_raw_mean,resid_vs_raw_positive_share,contra_vs_momentum_mean,contra_vs_momentum_positive_share
H15,0,0,1100,-6.900115175379095e-06,0.07181818181818182,-2.3939170551659708e-05,0.4954545454545455
H15,0,1,940,-6.181936062694162e-08,0.08829787234042553,-8.652941499945964e-06,0.5117021276595745
H15,0,2,1056,1.3776294681583877e-06,0.043560606060606064,-0.00021712036444035738,0.48484848484848486
H15,0,3,633,-1.0494054773161651e-05,0.18325434439178515,-8.411145857346213e-05,0.5023696682464455
H15,0,4,463,3.2698793935752344e-05,0.1900647948164147,-0.0001389459937142563,0.5118790496760259
H15,0,5,435,1.56282808270261e-05,0.14022988505747128,2.1078269891261108e-05,0.5517241379310345
H15,0,6,484,3.0092306677493936e-05,0.13016528925619836,8.072881959318172e-06,0.5392561983471075
H15,1,0,1100,2.388854663552953e-07,0.08545454545454545,-8.921213457787123e-06,0.5072727272727273
H15,1,1,940,-4.995586431016298e-07,0.07340425531914893,-4.6009963856461434e-05,0.4968085106382979
H15,1,2,1056,7.84586027650392e-06,0.04640151515151515,-0.0002361312743974679,0.48579545454545453
H15,1,3,633,-6.086539659497833e-05,0.16429699842022116,-0.00039239914343552613,0.4802527646129542
H15,1,4,463,4.079103533183352e-05,0.17278617710583152,-4.4383652249782876e-05,0.5334773218142549
H15,1,5,435,-2.674355999443762e-05,0.1310344827586207,8.450754077452804e-05,0.5195402298850574
H15,1,6,484,-2.5204219725194224e-05,0.12396694214876033,2.899580072929082e-05,0.5268595041322314
H15,2,0,1100,-5.550411426852904e-07,0.07,-1.9364772113201554e-05,0.5072727272727273
H15,2,1,940,2.0088436160707094e-06,0.08936170212765958,2.127287013115921e-06,0.5117021276595745
H15,2,2,1056,-3.997803336612796e-06,0.045454545454545456,-0.00015132836347535815,0.4962121212121212
H15,2,3,633,-1.1355570592008911e-05,0.17377567140600317,-0.000324533195754323,0.47393364928909953
H15,2,4,463,4.030459843469987e-05,0.15550755939524838,1.2419739195492928e-05,0.5226781857451404
H15,2,5,435,-6.704839499117828e-06,0.12183908045977011,0.00019426407438761617,0.535632183908046
H15,2,6,484,1.340029680590299e-05,0.1384297520661157,-4.805970451801449e-05,0.5227272727272727
H5,0,0,1276,-1.7986200817532434e-06,0.09247648902821316,-8.184535442710023e-06,0.5039184952978056
H5,0,1,1092,-9.561069543075433e-07,0.08974358974358974,1.4590433440625125e-06,0.5256410256410257
H5,0,2,1227,8.834707266771727e-07,0.05786471067644662,-7.743203524261461e-05,0.5036674816625917
H5,0,3,768,-2.9846804255234533e-06,0.19270833333333334,-2.453336670984866e-05,0.5325520833333334
H5,0,4,633,-1.0615143633590957e-05,0.14533965244865718,-0.00013339810412535706,0.5007898894154819
H5,0,5,594,2.4450514791567242e-05,0.14309764309764308,9.486500543505027e-05,0.5336700336700336
H5,0,6,660,-1.2039484638814233e-05,0.13484848484848486,4.1120796614930467e-05,0.5196969696969697
H5,1,0,1276,-1.289924581342995e-06,0.08855799373040753,-1.141677834454979e-05,0.49764890282131663
H5,1,1,1092,-4.6345108375389784e-09,0.09798534798534798,-3.2684119307075416e-05,0.47893772893772896
H5,1,2,1227,7.380913928082562e-06,0.06356968215158924,-9.806464396943847e-05,0.4808475957620212
H5,1,3,768,-4.3506205959170664e-05,0.18619791666666666,-0.00036018364502922776,0.4700520833333333
H5,1,4,633,1.4838894592660955e-05,0.1627172195892575,1.0763458409764768e-05,0.5292259083728278
H5,1,5,594,-4.919131776049642e-06,0.10606060606060606,-3.145626815469406e-05,0.49663299663299665
H5,1,6,660,3.2658263013104784e-06,0.1318181818181818,2.431535732400776e-05,0.5257575757575758
H5,2,0,1100,-9.901098284045418e-07,0.06818181818181818,9.777939400223316e-07,0.5290909090909091
H5,2,1,940,4.2385672887958075e-07,0.08191489361702127,-1.6285201760333112e-05,0.5170212765957447
H5,2,2,1056,-3.6509294701253033e-06,0.03598484848484849,-4.963670275235763e-05,0.4981060606060606
H5,2,3,633,-2.9596326575892403e-05,0.16903633491311215,-4.975038219539037e-05,0.5418641390205371
H5,2,4,463,2.1608792333139996e-05,0.1447084233261339,8.912032460300143e-05,0.5269978401727862
H5,2,5,435,-8.32412992974478e-06,0.10574712643678161,0.00010543466650948518,0.5080459770114942
H5,2,6,484,-4.368394042590915e-07,0.14256198347107438,1.2070718242922941e-05,0.5268595041322314
