architecture,population,table,decile,n,weight_sum,mean_predicted,mean_actual,actual_win_rate,avg_win,avg_loss,payoff_ratio
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,0,8320,4160.0,0.27342682001279306,-0.062253343542782724,0.2907451923076923,3.59719570378094,1.5623731953435087,2.3023921010050663
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,1,8320,4160.0,0.35186648527657227,-0.010154301220755316,0.3356971153846154,2.5389771740094957,1.298325860894736,1.955577756311324
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,2,8318,4159.0,0.3975395143883011,-0.037392540980542344,0.3814618898773744,1.9093679648018265,1.2379894476564328,1.5423136024433342
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,3,8320,4160.0,0.4356949272034647,-0.09315251803411195,0.40997596153846155,1.550845081268828,1.2354780041254394,1.255259159685832
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,4,8319,4159.5,0.46808894918013716,0.0197499377754826,0.4629162158913331,1.3032898919539464,1.0865419967682202,1.199484139435397
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,5,8319,4159.5,0.5001069471171591,-0.03323772542204462,0.4994590695997115,1.3140945061123317,1.377657855591433,0.9538612949353719
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,6,8320,4160.0,0.5369833435100958,0.03205751429682765,0.5586538461538462,1.3492704058220537,1.635264250357108,0.8251084835538971
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,7,8320,4160.0,0.5786341850105412,0.060061722446042375,0.5955528846153846,1.3714110555149603,1.8709147843463763,0.7330163121213867
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,8,8318,4159.0,0.6263950726835715,-0.001335949841911438,0.6377735032459726,1.437361502959111,2.534455759702324,0.5671282670674557
A0_V1_DISJOINT,ALL_TD5_OOF,p_win,9,8320,4160.0,0.7163615885725351,0.12564627366210196,0.696875,1.7753495662944003,3.6669705743482335,0.48414611742826724
A0_V1_DISJOINT,ALL_TD5_OOF,ev,0,8320,4160.0,-0.7161136084924624,0.04038974199070596,0.5125,2.9061431643975224,2.9723253943856913,0.9777338544046429
A0_V1_DISJOINT,ALL_TD5_OOF,ev,1,8319,4159.5,-0.18534647593572687,-0.06488648408805474,0.4885202548383219,1.7103175366744987,1.7604044959280118,0.9715480394594713
A0_V1_DISJOINT,ALL_TD5_OOF,ev,2,8319,4159.5,-0.09486280682648958,-0.05529194399032985,0.47577833874263736,1.3085008657423596,1.2930566633028695,1.0119439486897974
A0_V1_DISJOINT,ALL_TD5_OOF,ev,3,8320,4160.0,-0.050308052334017785,-0.017196837925827674,0.47716346153846156,1.142648662227686,1.075722501284322,1.0622150795055971
A0_V1_DISJOINT,ALL_TD5_OOF,ev,4,8319,4159.5,-0.017305702810554675,0.011166375098417582,0.48479384541411225,1.102801000154327,1.0160297151606776,1.0854023102857056
A0_V1_DISJOINT,ALL_TD5_OOF,ev,5,8320,4160.0,0.013022824358455753,-0.03922294562762259,0.46658653846153847,1.13928800636513,1.0700880911066368,1.0646674940442797
A0_V1_DISJOINT,ALL_TD5_OOF,ev,6,8319,4159.5,0.04675814481154818,0.05400753172131649,0.48479384541411225,1.2463638524158231,1.0679647131132481,1.1670459118284158
A0_V1_DISJOINT,ALL_TD5_OOF,ev,7,8319,4159.5,0.09460997399734514,0.040581968727428815,0.48202909003485994,1.4208709067756036,1.2439292036033165,1.1422441909553505
A0_V1_DISJOINT,ALL_TD5_OOF,ev,8,8319,4159.5,0.20225950736811193,0.09014036148332705,0.5001803101334295,1.9013878715025994,1.7224139649212407,1.1039087642264573
A0_V1_DISJOINT,ALL_TD5_OOF,ev,9,8320,4160.0,0.7810078835446511,-0.059678666691169675,0.4967548076923077,2.913536731767484,2.994548320818138,0.9729469755129814
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,0,4056,2028.0,0.6226930952988332,0.5919430010072199,1.0,0.5919430010072199,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,1,4049,2024.5,0.7813252470524487,0.6642000905811383,1.0,0.6642000905811383,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,2,4049,2024.5,0.8889523514125969,0.7628004717693028,1.0,0.7628004717693028,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,3,4052,2026.0,1.0270852367153518,0.9644750052619392,1.0,0.9644750052619392,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,4,4048,2024.0,1.2230908375711367,1.1501105504812963,1.0,1.1501105504812963,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,5,4051,2025.5,1.4368306483930187,1.3955998183815588,1.0,1.3955998183815588,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,6,4050,2025.0,1.7407121806039532,1.670225402110195,1.0,1.670225402110195,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,7,4051,2025.5,2.1844515079281313,2.226190078501033,1.0,2.226190078501033,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,8,4051,2025.5,2.8182438840607054,2.975237001063854,1.0,2.975237001063854,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_win,9,4051,2025.5,4.663537144496712,4.535740273972228,1.0,4.535740273972228,,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,0,4269,2134.5,0.6034828843370159,0.5235452492871746,0.8959943780744906,0.58431756057698,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,1,4270,2135.0,0.7070838478950421,0.5681996591737835,0.8915690866510538,0.637303006218034,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,2,4267,2133.5,0.7989674126437915,0.6782529658962316,0.9046168268104054,0.749768239761456,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,3,4269,2134.5,0.9418532995215045,0.8626673202442864,0.9327711407823847,0.9248434932503411,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,4,4268,2134.0,1.1309396780983612,1.0382880728256738,0.950796626054358,1.0920190968013743,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,5,4269,2134.5,1.3531499547224353,1.3141222126425554,0.9742328414148512,1.3488789915294708,0.0,
A0_V1_DISJOINT,ALL_TD5_OOF,mu_loss,6,4269,2134.5,1.6327783035878716,1.5808618228986075,0.9751698289997658,1.6211143699145223,0.0,
