architecture,population,score,point_contrast,ci_lo,ci_hi,ci_excludes_zero,n_complete_blocks
A0_V1_DISJOINT,ALL_TD5_OOF,p,0.09873005894464824,,,,
A0_V1_DISJOINT,ALL_TD5_OOF,EV_W,0.09873005894464824,,,,
A0_V1_DISJOINT,ALL_TD5_OOF,p_minus_pBE,0.013179163749534038,,,,
A0_V1_DISJOINT,ALL_TD5_OOF,EV_C,0.027471552862258546,,,,
A0_V1_DISJOINT,ALL_TD5_OOF,EV_R,-0.1744418508070771,,,,
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p,0.2202000908040088,0.023614638965798247,0.40403217387956614,True,28.0
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,EV_W,0.2202000908040088,0.015194325724218851,0.39766087917455295,True,28.0
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,p_minus_pBE,-0.0003701904736225487,-0.18556495202981746,0.1682976870217429,False,28.0
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,EV_C,0.06427186705116819,-0.1657824304727882,0.28566617094634117,False,28.0
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,EV_R,-0.23895291301622423,-0.4606613322412916,-0.003944589544217609,True,28.0
A1_SHARE_TO_WIN,ALL_TD5_OOF,p,0.1132692485366487,,,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,EV_W,0.1132692485366487,,,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,p_minus_pBE,-0.06604763558158724,,,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,EV_C,-0.054897168122637174,,,,
A1_SHARE_TO_WIN,ALL_TD5_OOF,EV_R,-0.17353041097002492,,,,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p,0.22388217685330503,0.03063193668249027,0.4063708078481186,True,28.0
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,EV_W,0.22388217685330503,0.02461081946675674,0.3979438247456912,True,28.0
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_minus_pBE,-0.06117126340336464,-0.2527317063577481,0.10551660064270466,False,28.0
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,EV_C,-0.07218382343571117,-0.30591256117952376,0.11851663632740393,False,28.0
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,EV_R,-0.23851479978984536,-0.46211889309192145,-0.003386044725125747,True,28.0
