policy,symbol,action,bar,side,ev
P0,AG,ENTER,11684,1,
P0,AG,ENTER,11847,1,
P0,AG,ENTER,12028,-1,
P0,AG,ENTER,12213,-1,
P0,AG,ENTER,12398,-1,
P0,AG,ENTER,12585,-1,
P0,AG,ENTER,12769,1,
P0,AG,ENTER,12968,1,
P0,AG,ENTER,13168,1,
P0,AG,ENTER,13338,-1,
P0,AG,ENTER,13545,-1,
P0,AG,ENTER,13708,-1,
P0,AG,ENTER,13893,-1,
P0,AG,ENTER,14100,-1,
P0,AG,ENTER,14263,1,
P0,AG,ENTER,14463,1,
P0,AG,ENTER,14637,1,
P0,AL,ENTER,9849,1,
P0,AL,ENTER,9978,-1,
P0,AL,ENTER,10133,1,
P0,AL,ENTER,10288,-1,
P0,AL,ENTER,10443,-1,
P0,AL,ENTER,10598,1,
P0,AL,ENTER,10753,1,
P0,AL,ENTER,10894,1,
P0,AL,ENTER,11047,1,
P0,AL,ENTER,11202,1,
P0,AL,ENTER,11357,1,
P0,AL,ENTER,11512,-1,
P0,AL,ENTER,11683,-1,
P0,AL,ENTER,11835,1,
P0,AL,ENTER,11977,-1,
P0,AL,ENTER,12132,1,
P0,AL,ENTER,12287,1,
P0,AU,ENTER,11684,1,
P0,AU,ENTER,11857,-1,
P0,AU,ENTER,12032,1,
P0,AU,ENTER,12263,1,
P0,AU,ENTER,12435,1,
P0,AU,ENTER,12624,-1,
P0,AU,ENTER,12831,-1,
P0,AU,ENTER,13027,-1,
P0,AU,ENTER,13190,1,
P0,AU,ENTER,13378,-1,
P0,AU,ENTER,13564,-1,
P0,AU,ENTER,13748,1,
P0,AU,ENTER,13932,-1,
P0,AU,ENTER,14127,1,
P0,AU,ENTER,14303,1,
P0,AU,ENTER,14549,1,
P0,CF,ENTER,7320,-1,
P0,CF,ENTER,7419,1,
P0,CF,ENTER,7534,-1,
P0,CF,ENTER,7649,-1,
P0,CF,ENTER,7784,-1,
P0,CF,ENTER,7879,-1,
P0,CF,ENTER,7994,1,
P0,CF,ENTER,8101,-1,
P0,CF,ENTER,8216,1,
P0,CF,ENTER,8339,-1,
P0,CF,ENTER,8446,-1,
P0,CF,ENTER,8561,1,
P0,CF,ENTER,8684,1,
P0,CF,ENTER,8860,1,
P0,CF,ENTER,8975,1,
P0,CF,ENTER,9090,-1,
P0,CU,ENTER,9812,1,
P0,CU,ENTER,9947,1,
P0,CU,ENTER,10108,1,
P0,CU,ENTER,10257,-1,
P0,CU,ENTER,10414,-1,
P0,CU,ENTER,10567,-1,
P0,CU,ENTER,10722,1,
P0,CU,ENTER,10895,1,
P0,CU,ENTER,11047,1,
P0,CU,ENTER,11202,1,
P0,CU,ENTER,11357,-1,
P0,CU,ENTER,11512,-1,
P0,CU,ENTER,11667,1,
P0,CU,ENTER,11822,-1,
P0,CU,ENTER,11977,1,
P0,CU,ENTER,12132,1,
P0,CU,ENTER,12291,1,
P0,I,ENTER,7317,1,
P0,I,ENTER,7419,-1,
P0,I,ENTER,7534,-1,
P0,I,ENTER,7652,-1,
P0,I,ENTER,7764,-1,
P0,I,ENTER,7879,1,
P0,I,ENTER,8017,-1,
P0,I,ENTER,8124,1,
P0,I,ENTER,8239,-1,
P0,I,ENTER,8354,1,
P0,I,ENTER,8469,-1,
P0,I,ENTER,8592,-1,
P0,I,ENTER,8735,-1,
P0,I,ENTER,8845,1,
P0,I,ENTER,8952,-1,
P0,I,ENTER,9067,1,
P0,I,ENTER,9182,-1,
P0,M,ENTER,7316,-1,
P0,M,ENTER,7439,-1,
P0,M,ENTER,7534,-1,
P0,M,ENTER,7649,-1,
P0,M,ENTER,7764,1,
P0,M,ENTER,7927,1,
P0,M,ENTER,8032,-1,
P0,M,ENTER,8147,-1,
P0,M,ENTER,8282,1,
P0,M,ENTER,8377,1,
P0,M,ENTER,8529,-1,
P0,M,ENTER,8630,-1,
P0,M,ENTER,8745,1,
P0,M,ENTER,8861,1,
P0,M,ENTER,9037,-1,
P0,M,ENTER,9194,1,
P0,MA,ENTER,7316,-1,
P0,MA,ENTER,7419,1,
P0,MA,ENTER,7557,1,
P0,MA,ENTER,7672,-1,
P0,MA,ENTER,7787,-1,
P0,MA,ENTER,7902,1,
P0,MA,ENTER,8017,-1,
P0,MA,ENTER,8128,-1,
P0,MA,ENTER,8245,-1,
P0,MA,ENTER,8375,1,
P0,MA,ENTER,8506,-1,
P0,MA,ENTER,8607,-1,
P0,MA,ENTER,8722,1,
P0,MA,ENTER,8855,1,
P0,MA,ENTER,8967,1,
P0,MA,ENTER,9075,1,
P0,NI,ENTER,9816,-1,
P0,NI,ENTER,9947,1,
P0,NI,ENTER,10105,1,
P0,NI,ENTER,10257,1,
P0,NI,ENTER,10412,-1,
P0,NI,ENTER,10588,-1,
P0,NI,ENTER,10722,1,
P0,NI,ENTER,10909,1,
P0,NI,ENTER,11047,-1,
P0,NI,ENTER,11202,1,
P0,NI,ENTER,11357,-1,
P0,NI,ENTER,11512,1,
P0,NI,ENTER,11667,1,
P0,NI,ENTER,11822,-1,
P0,NI,ENTER,11984,-1,
P0,NI,ENTER,12132,1,
P0,NI,ENTER,12287,-1,
P0,P,ENTER,7316,-1,
P0,P,ENTER,7472,1,
P0,P,ENTER,7604,-1,
P0,P,ENTER,7739,1,
P0,P,ENTER,7883,1,
P0,P,ENTER,7997,1,
P0,P,ENTER,8101,-1,
P0,P,ENTER,8216,-1,
P0,P,ENTER,8331,-1,
P0,P,ENTER,8454,-1,
P0,P,ENTER,8577,1,
P0,P,ENTER,8676,1,
P0,P,ENTER,8791,1,
P0,P,ENTER,8908,-1,
P0,P,ENTER,9044,1,
P0,P,ENTER,9159,1,
P0,RB,ENTER,7321,1,
P0,RB,ENTER,7440,1,
P0,RB,ENTER,7557,-1,
P0,RB,ENTER,7673,-1,
P0,RB,ENTER,7797,1,
P0,RB,ENTER,7902,1,
P0,RB,ENTER,8040,-1,
P0,RB,ENTER,8148,-1,
P0,RB,ENTER,8262,1,
P0,RB,ENTER,8378,-1,
P0,RB,ENTER,8492,-1,
P0,RB,ENTER,8607,-1,
P0,RB,ENTER,8753,-1,
P0,RB,ENTER,8860,1,
P0,RB,ENTER,8975,1,
P0,RB,ENTER,9101,1,
P0,RU,ENTER,7321,1,
P0,RU,ENTER,7430,-1,
P0,RU,ENTER,7534,-1,
P0,RU,ENTER,7657,1,
P0,RU,ENTER,7785,-1,
P0,RU,ENTER,7902,1,
P0,RU,ENTER,8017,-1,
P0,RU,ENTER,8137,-1,
P0,RU,ENTER,8239,1,
P0,RU,ENTER,8354,1,
P0,RU,ENTER,8469,-1,
P0,RU,ENTER,8584,-1,
P0,RU,ENTER,8699,-1,
P0,RU,ENTER,8814,1,
P0,RU,ENTER,8937,1,
P0,RU,ENTER,9046,1,
P0,RU,ENTER,9159,-1,
P0,SC,ENTER,11686,-1,
P0,SC,ENTER,11848,-1,
P0,SC,ENTER,12035,-1,
P0,SC,ENTER,12222,-1,
P0,SC,ENTER,12400,1,
P0,SC,ENTER,12585,1,
P0,SC,ENTER,12792,-1,
P0,SC,ENTER,12933,1,
P0,SC,ENTER,13177,-1,
P0,SC,ENTER,13346,1,
P0,SC,ENTER,13525,1,
P0,SC,ENTER,13732,-1,
P0,SC,ENTER,13895,1,
P0,SC,ENTER,14080,-1,
P0,SC,ENTER,14265,1,
P0,SC,ENTER,14451,1,
P0,SC,ENTER,14635,1,
P0,SN,ENTER,9823,1,
P0,SN,ENTER,9978,-1,
P0,SN,ENTER,10152,1,
P0,SN,ENTER,10288,1,
P0,SN,ENTER,10450,-1,
P0,SN,ENTER,10598,-1,
P0,SN,ENTER,10753,-1,
P0,SN,ENTER,10918,-1,
P0,SN,ENTER,11047,1,
P0,SN,ENTER,11202,-1,
P0,SN,ENTER,11357,-1,
P0,SN,ENTER,11512,1,
P0,SN,ENTER,11667,1,
P0,SN,ENTER,11823,-1,
P0,SN,ENTER,11977,1,
P0,SN,ENTER,12132,1,
P0,SN,ENTER,12287,1,
P0,TA,ENTER,7327,-1,
P0,TA,ENTER,7442,-1,
P0,TA,ENTER,7560,-1,
P0,TA,ENTER,7696,-1,
P0,TA,ENTER,7810,1,
P0,TA,ENTER,7925,-1,
P0,TA,ENTER,8063,-1,
P0,TA,ENTER,8170,-1,
P0,TA,ENTER,8285,1,
P0,TA,ENTER,8417,-1,
P0,TA,ENTER,8515,1,
P0,TA,ENTER,8630,-1,
P0,TA,ENTER,8745,-1,
P0,TA,ENTER,8860,-1,
P0,TA,ENTER,8975,1,
P0,TA,ENTER,9090,-1,
PW,AG,ENTER,11684,1,0.08435509089817506
PW,AG,SKIP_INELIGIBLE,11847,1,
PW,AG,SKIP_INELIGIBLE,11848,1,
PW,AG,SKIP_INELIGIBLE,11849,1,
PW,AG,SKIP_INELIGIBLE,11850,1,
PW,AG,SKIP_INELIGIBLE,11851,1,
PW,AG,SKIP_INELIGIBLE,11865,-1,
PW,AG,SKIP_INELIGIBLE,11866,-1,
PW,AG,SKIP,11867,-1,-0.6965653651217304
PW,AG,SKIP,11868,-1,-0.932415877418119
PW,AG,SKIP,11869,-1,-0.9058348485854373
PW,AG,SKIP,11870,-1,-0.9328454132403804
PW,AG,SKIP,11875,-1,-0.9382731665020054
PW,AG,SKIP,11902,-1,-0.12093804447761691
PW,AG,SKIP,11903,-1,-0.23565344113550235
PW,AG,SKIP,11908,-1,-0.45138822721058514
PW,AG,SKIP,11909,-1,-0.378961081549674
PW,AG,SKIP,11911,-1,-0.44043793975339973
PW,AG,SKIP,11912,-1,-0.44955680732902237
PW,AG,SKIP,11913,-1,-0.44955680732902237
PW,AG,ENTER,11914,-1,0.2472786955576166
PW,AG,SKIP,12065,-1,-0.27643680776822643
PW,AG,SKIP,12066,-1,-0.31397552814922425
PW,AG,SKIP,12067,1,-0.2225198296247457
PW,AG,SKIP,12068,1,-0.3845693720741702
PW,AG,ENTER,12082,1,0.5691390234612953
PW,AG,SKIP_INELIGIBLE,12250,-1,
PW,AG,SKIP_INELIGIBLE,12251,-1,
PW,AG,ENTER,12254,-1,0.028758582147414224
PW,AG,SKIP,12435,1,-0.2224260450150437
PW,AG,SKIP,12438,1,-0.5157432031479318
PW,AG,SKIP,12439,1,-0.007829585790971816
PW,AG,SKIP,12440,-1,-0.48102310491204037
PW,AG,ENTER,12441,1,0.09937023153831692
PW,AG,ENTER,12620,-1,0.43735743704360763
PW,AG,SKIP,12806,-1,-0.019051489433287605
PW,AG,SKIP,12807,-1,-0.001602947448044234
PW,AG,SKIP,12808,-1,-0.03562008588321297
PW,AG,SKIP,12809,-1,-0.02078471907299506
PW,AG,SKIP,12810,-1,-0.6945819309078329
PW,AG,SKIP,12811,-1,-0.22130327632444224
PW,AG,SKIP,12812,-1,-0.6945819309078329
PW,AG,ENTER,12813,-1,0.24905943672537612
PW,AG,ENTER,12968,1,0.12520732714826022
PW,AG,SKIP_INELIGIBLE,13168,1,
PW,AG,SKIP_INELIGIBLE,13169,1,
PW,AG,SKIP_INELIGIBLE,13170,1,
PW,AG,SKIP_INELIGIBLE,13171,1,
PW,AG,SKIP_INELIGIBLE,13172,1,
PW,AG,SKIP_INELIGIBLE,13173,1,
PW,AG,SKIP_INELIGIBLE,13174,1,
PW,AG,SKIP_INELIGIBLE,13175,1,
PW,AG,SKIP_INELIGIBLE,13180,1,
PW,AG,SKIP_INELIGIBLE,13181,1,
PW,AG,SKIP_INELIGIBLE,13182,1,
PW,AG,SKIP,13183,-1,-0.4980981814424258
PW,AG,SKIP,13184,-1,-0.5913433691995137
PW,AG,SKIP,13187,-1,-0.30943073080234174
PW,AG,SKIP,13188,-1,-0.5870253582443639
PW,AG,ENTER,13193,1,0.31979142524988025
PW,AG,ENTER,13380,-1,0.5460499868159837
PW,AG,SKIP_INELIGIBLE,13560,-1,
PW,AG,SKIP,13561,1,-0.2851169807056766
PW,AG,SKIP_INELIGIBLE,13562,-1,
PW,AG,SKIP_INELIGIBLE,13563,-1,
PW,AG,SKIP_INELIGIBLE,13564,-1,
PW,AG,SKIP_INELIGIBLE,13565,-1,
PW,AG,SKIP_INELIGIBLE,13566,-1,
PW,AG,SKIP,13567,1,-0.2904998012746557
PW,AG,SKIP,13568,1,-0.2503973460001909
PW,AG,SKIP,13570,1,-0.3081995996055963
PW,AG,SKIP,13571,1,-0.2317572040800978
PW,AG,SKIP,13572,1,-0.26926145119243483
PW,AG,SKIP_INELIGIBLE,13573,-1,
PW,AG,ENTER,13574,-1,0.4284008351240196
PW,AG,SKIP,13745,-1,-0.413082111660772
PW,AG,ENTER,13746,1,0.0333091889129562
PW,AG,SKIP_INELIGIBLE,13930,-1,
PW,AG,SKIP_INELIGIBLE,13931,-1,
PW,AG,SKIP,13932,-1,-0.10239750574269613
PW,AG,ENTER,13933,-1,0.4728798336817839
PW,AG,ENTER,14216,-1,0.6240035007952449
PW,AG,SKIP,14374,1,-0.3298460569408359
PW,AG,ENTER,14375,1,0.07972390550643171
PW,AG,ENTER,14559,-1,0.05987888500687999
PW,AL,SKIP_INELIGIBLE,9849,1,
PW,AL,SKIP,9850,1,-0.25830659665782507
PW,AL,SKIP,9851,-1,-0.5256145912746857
PW,AL,SKIP,9852,-1,-0.4428203323590493
PW,AL,SKIP,9854,-1,-0.37129282284554643
PW,AL,SKIP,9863,-1,-0.05230485964851117
PW,AL,ENTER,9868,-1,0.2319737549892107
PW,AL,SKIP_INELIGIBLE,10025,-1,
PW,AL,ENTER,10028,-1,0.19119693745114208
PW,AL,SKIP,10164,-1,-0.2817055404358856
PW,AL,SKIP,10165,-1,-0.2164063157392443
PW,AL,ENTER,10166,1,0.3046068407082332
PW,AL,SKIP,10319,-1,-0.06596232714698458
PW,AL,ENTER,10320,-1,0.1377509602431206
PW,AL,ENTER,10474,-1,0.1028034841528046
PW,AL,SKIP,10629,1,-0.14874121789553596
PW,AL,ENTER,10630,1,0.5990046567431715
PW,AL,SKIP,10768,1,-0.28384317247545743
PW,AL,SKIP,10770,1,-0.1979591511045472
PW,AL,SKIP,10773,1,-0.3107578570527564
PW,AL,ENTER,10774,1,0.27881224191522436
PW,AL,SKIP_INELIGIBLE,10924,-1,
PW,AL,SKIP_INELIGIBLE,10925,-1,
PW,AL,SKIP,10951,-1,-0.006061284239592291
PW,AL,SKIP,10952,-1,-0.34635162246752416
PW,AL,SKIP,10954,-1,-0.260033138306599
PW,AL,SKIP,10955,-1,-0.24337615132775903
PW,AL,SKIP,10957,-1,-0.4847557779303612
PW,AL,SKIP,10958,-1,-0.04349910340206542
PW,AL,ENTER,10959,-1,0.31873922066425264
PW,AL,ENTER,11109,1,0.6870689354727099
PW,AL,ENTER,11274,-1,0.7388244321182507
PW,AL,SKIP,11419,1,-0.15638059308536267
PW,AL,ENTER,11420,1,0.0685055193231282
PW,AL,SKIP,11574,1,-0.06083452422749969
PW,AL,ENTER,11575,-1,0.2250424682261123
PW,AL,SKIP_INELIGIBLE,11744,-1,
PW,AL,SKIP_INELIGIBLE,11745,-1,
PW,AL,SKIP_INELIGIBLE,11746,-1,
PW,AL,SKIP_INELIGIBLE,11747,-1,
PW,AL,SKIP_INELIGIBLE,11781,1,
PW,AL,SKIP_INELIGIBLE,11782,1,
PW,AL,SKIP_INELIGIBLE,11791,1,
PW,AL,SKIP_INELIGIBLE,11792,1,
PW,AL,SKIP_INELIGIBLE,11793,1,
PW,AL,SKIP_INELIGIBLE,11794,1,
PW,AL,SKIP_INELIGIBLE,11795,1,
PW,AL,SKIP_INELIGIBLE,11796,1,
PW,AL,SKIP_INELIGIBLE,11797,1,
PW,AL,SKIP_INELIGIBLE,11798,1,
PW,AL,SKIP_INELIGIBLE,11801,1,
PW,AL,SKIP_INELIGIBLE,11803,1,
PW,AL,SKIP_INELIGIBLE,11804,1,
PW,AL,SKIP_INELIGIBLE,11805,1,
PW,AL,SKIP_INELIGIBLE,11807,1,
PW,AL,SKIP_INELIGIBLE,11835,1,
PW,AL,ENTER,11836,1,0.09318530497539057
PW,AL,SKIP,11977,-1,-0.2777953341441798
PW,AL,ENTER,11979,-1,0.5934713977773923
PW,AL,SKIP,12132,1,-0.4494168220777477
PW,AL,SKIP,12134,1,-0.35444069385371924
PW,AL,SKIP,12140,1,-0.3800822916827121
PW,AL,SKIP,12141,1,-0.3095016082832309
PW,AL,ENTER,12148,1,0.06335978348868565
PW,AL,ENTER,12287,1,0.20582018650512612
PW,AU,ENTER,11684,1,0.16626074106488942
