symbol,n_trades,A_return,A_long_return,A_short_return,A_long_recall,A_short_recall,M9_return,M9_long_return,M9_short_return,M9_long_recall,M9_short_recall,E9_return,E9_long_return,E9_short_return,E9_long_recall,E9_short_recall,M33_return,M33_long_return,M33_short_return,M33_long_recall,M33_short_recall,E33_return,E33_long_return,E33_short_return,E33_long_recall,E33_short_recall,E9_minus_A_mean,E9_minus_M9_mean,E33_minus_E9_mean,E33_minus_M33_mean,M9_minus_A_mean,M33_minus_M9_mean,E33_minus_A_mean
AG,74,0.8660373437475797,1.7746623914780784,0.09370605317665595,0.7093329752715566,0.46394951243581384,1.0617676856826235,1.7507457168901304,0.4761363591562433,0.7237483039973154,0.5067930957930958,1.239303105616887,1.856988232097995,0.7142707481079451,0.7157628277555366,0.5483525751265477,1.3994072833776636,1.8166770579676654,1.0447279749761624,0.6985165672603882,0.5709534431512171,1.195517608899191,2.1813165535110093,0.3575885059791456,0.7465412758955977,0.5381647630337698,0.37326576186930716,0.17753541993426314,-0.04378549671769597,-0.20388967447847298,0.19573034193504396,0.3376395976950402,0.3294802651516112
AU,73,0.37245761001170524,0.7174156090129196,0.054733137247429085,0.6298879394415109,0.3998282289825886,0.655074286262211,0.4825308853899073,0.8139958396972274,0.6197565232386661,0.4659025046150891,0.42961873416598806,0.3777783277570335,0.477366476911078,0.5979371818657532,0.498452713947981,0.1199487816012259,-0.30367917066511857,0.5101324218465433,0.5533654440797299,0.48607593386182585,-0.11024249208213299,0.13852928619433666,-0.33937439312624973,0.599110680985681,0.441949116442395,0.057161124154282726,-0.22545555209622273,-0.539861226248121,-0.23019127368335898,0.2826166762505055,-0.5351255046609849,-0.4827001020938383
CU,38,0.9124857835505992,1.9423896013205215,-0.3597483442828344,0.7354281505207337,0.44202708247024963,0.8369096221437422,1.608153660530054,-0.1158036017452303,0.7156756085149858,0.4737001255730244,0.7715242582925855,1.5587355930488016,-0.20091327287685803,0.724577258155678,0.5301323976874873,0.9044553186835778,1.382560687935332,0.3138545684314108,0.6711140945199429,0.544069878305869,0.46017557866750064,0.939793683512548,-0.13229384496461694,0.6190607103356218,0.5808550627613714,-0.1409615252580137,-0.06538536385115702,-0.3113486796250846,-0.4442797400160771,-0.07557616140685668,0.06754569653983539,-0.45231020488309837
AL,34,0.8354033248155891,1.7260912700978805,-0.05528462046670241,0.7822669392956828,0.5295164908803561,0.758230902595277,1.7960557649592075,-0.27959395976865326,0.8068446521810906,0.48648541166789805,0.6301074696491885,1.4065555614943972,-0.14634062219601993,0.722067519336428,0.4700776206974449,0.8899410517460598,1.5401851230278387,0.23969698046428078,0.7114631108937286,0.6227793087731672,0.750478281786183,1.0687034654407181,0.4322530981316478,0.703293383889108,0.6242532264436919,-0.2052958551664006,-0.12812343294608847,0.12037081213699452,-0.13946276995987666,-0.07717242222031218,0.13171014915078275,-0.08492504302940604
SN,44,0.03928740846674664,1.1883425630904616,-0.9182585537196827,0.7108874164659359,0.40616092434534745,0.5317086106725195,1.4072705340916005,-0.19792632551004805,0.6989518325716535,0.4443555609437611,0.20227213862284968,1.2572183254284055,-0.6768496837151137,0.6954904698025212,0.3495995068127069,0.1242816209734367,0.9261425780104557,-0.5439358432240794,0.7284784694120379,0.4203534638711498,0.7159594205326608,1.3742022550679498,0.16742372508658634,0.690502856868462,0.41954534447569436,0.16298473015610307,-0.3294364720496698,0.5136872819098109,0.591677799559224,0.49242120220577285,-0.40742698969908275,0.676672012065914
NI,35,0.16554690169715164,0.8267670658966335,-0.33036822145245975,0.6065434676830752,0.6596923139162745,0.24572638413535194,0.4459797034426058,0.09553639465491155,0.5696373289214502,0.6986470713303778,0.08424744617332543,0.936554093549239,-0.5549825393586099,0.6451792688099557,0.6078867157945103,0.4722214379577444,0.7188626813156781,0.28724050543929425,0.6339655153548999,0.6999138524321832,0.10682023317701425,0.7094852008677756,-0.34517849259105693,0.5757531628182833,0.599676720375922,-0.08129945552382624,-0.16147893796202653,0.02257278700368883,-0.3654012047807303,0.0801794824382003,0.22649505382239252,-0.058726668520137415
RB,27,0.590516193509403,0.9081040917645821,0.29561314512959397,0.7274704967771768,0.4652460403044516,0.9627797929685484,1.049078702068218,0.8826450916617122,0.732813660698276,0.6454592794462622,0.8336147272802241,1.1144701363145872,0.5728204188911727,0.687569170033745,0.5376981494930427,0.744479100996512,0.7652519362020171,0.7251900397342572,0.7273324094933405,0.5548742628891162,0.6994713528738535,1.109479008987581,0.3187499579111062,0.7607562140962951,0.5239258690735661,0.24309853377082113,-0.12916506568832414,-0.1341433744063708,-0.04500774812265859,0.3722635994591453,-0.21830069197203628,0.10895515936445045
I,30,-0.36019326368513255,0.48576412195354174,-1.1004059761189726,0.6157015916414411,0.6170449108853854,0.07350740848962292,0.34295122536235184,-0.16225593127401494,0.6057904501513521,0.6260760864172781,-0.06864053241819543,0.6785621677445015,-0.7224428950605555,0.6860389610389608,0.5653710734937112,0.3633002225823352,-0.028988273287525925,0.7065526564684637,0.4784713406893857,0.7063166770590514,0.07255628001191065,0.11624231610483259,0.034330998430604054,0.5098257006151742,0.5948713000999878,0.29155273126693726,-0.14214794090781838,0.14119681243010615,-0.2907439425704245,0.43370067217475566,0.2897928140927123,0.4327495436970434
SC,76,0.0790072384108832,0.6383117943968967,-0.6118983895718394,0.6766439461918294,0.5393993937232563,-0.08159296660583708,-0.004016856791215434,-0.1774222787297816,0.605526509820079,0.5807212272941196,-0.011760291584386764,-0.32339221782697225,0.3731967937741012,0.5463584353312791,0.6213687186236756,0.2364219571591014,-0.0420332674190496,0.580396058108582,0.6186839474766463,0.6313806009821025,0.43005259530037393,0.5698134050636079,0.2574068891222615,0.6503578494718089,0.5958821118689231,-0.09076752999526996,0.06983267502145021,0.44181288688476067,0.19363063814127254,-0.1606002050167202,0.3180149237649385,0.35104535688949084
RU,47,1.0851235558905263,2.3925454713831535,-0.6798960300245203,0.774829456979978,0.3118339984193771,0.7864004171148283,1.7482516459369521,-0.512098741795039,0.6814216709690399,0.3842769033405428,1.1539659828075235,2.435162992263508,-0.5756499799580556,0.8013441631860785,0.35326220123572855,1.0846037466033471,2.3527319126974997,-0.6273692776237585,0.8024987044443422,0.3632786102591502,0.8293698852573064,1.776090142776577,-0.4487024623937086,0.7460182105113075,0.43455836552803595,0.06884242691699698,0.367565565692695,-0.324596097550217,-0.2552338613460408,-0.2987231387756981,0.29820332948851885,-0.2557536706332199
