gid,teacher_direction,tr_A,tr_M9,tr_E9,tr_M33,tr_E33,delta_E9_minus_A,delta_E9_minus_M9,delta_E33_minus_E9,delta_E33_minus_M33,delta_M9_minus_A,delta_M33_minus_M9,delta_E33_minus_A
AG::AG_LONG_11764,LONG,14.804355927012573,14.804355927012573,14.804355927012573,14.804355927012573,14.804355927012573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_11846,LONG,3.461890307396586,3.461890307396586,3.461890307396586,3.461890307396586,3.461890307396586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_12107,LONG,-0.3481190458616492,1.421932919117702,0.8188746229892043,1.4410806271111047,0.3043329983146123,1.1669936688508535,-0.6030582961284976,-0.514541624674592,-1.1367476287964924,1.7700519649793511,0.019147707993402818,0.6524520441762616
AG::AG_LONG_12610,LONG,-2.9218481967310987,-0.8735806529962288,-1.4233800222625337,-0.26811577603595227,-1.2735121236566098,1.498468174468565,-0.5497993692663049,0.14986789860592387,-1.0053963476206575,2.04826754373487,0.6054648769602765,1.648336073074489
AG::AG_LONG_12660,LONG,9.184974668895462,9.184974668895462,9.184974668895462,9.184974668895462,9.184974668895462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG::AG_LONG_12716,LONG,3.806575411865044,1.770788084513496,-3.806575411865044,1.770788084513496,-3.806575411865044,-7.613150823730088,-5.57736349637854,0.0,-5.57736349637854,-2.0357873273515477,0.0,-7.613150823730088
AG::AG_LONG_12741,LONG,3.2812798907670038,3.2812798907670038,3.2812798907670038,3.2812798907670038,2.969926127474979,0.0,0.0,-0.3113537632920247,-0.3113537632920247,0.0,0.0,-0.3113537632920247
AG::AG_LONG_12968,LONG,1.0041786118669256,1.0041786118669256,1.0041786118669256,0.052066274205003,0.052066274205003,0.0,0.0,-0.9521123376619226,0.0,0.0,-0.9521123376619226,-0.9521123376619226
AG::AG_LONG_12999,LONG,-0.9959629902828451,0.9959629902828451,-0.9959629902828451,-0.9959629902828451,0.4502799233897699,0.0,-1.9919259805656901,1.446242913672615,1.446242913672615,1.9919259805656901,-1.9919259805656901,1.446242913672615
AG::AG_LONG_13013,LONG,-0.086859664152965,-0.086859664152965,0.13796682204408509,-0.086859664152965,0.0355738221918558,0.2248264861970501,0.2248264861970501,-0.10239299985222929,0.1224334863448208,0.0,0.0,0.1224334863448208
AG::AG_LONG_13019,LONG,-2.7515912967427387,-2.7515912967427387,-2.7515912967427387,-2.7515912967427387,1.60343976045688,0.0,0.0,4.355031057199619,4.355031057199619,0.0,0.0,4.355031057199619
