symbol,oracle_trade_id,n_candidates,return_atr_m0,return_atr_m1
AG,AG_LONG_11764,3,14.804355927012573,14.804355927012573
AG,AG_LONG_11846,5,3.461890307396586,3.461890307396586
AG,AG_LONG_12107,49,1.8065047053063792,1.1540526611301174
AG,AG_LONG_12610,10,-1.7665839505045169,0.6248875214723358
AG,AG_LONG_12660,8,9.184974668895462,9.184974668895462
AG,AG_LONG_12716,8,1.770788084513496,-1.0595894748543757
AG,AG_LONG_12741,29,3.2812798907670038,1.9377102841940546
AG,AG_LONG_12968,6,1.0041786118669256,0.052066274205003
AG,AG_LONG_12999,2,-0.9959629902828451,0.4502799233897699
AG,AG_LONG_13013,4,-0.086859664152965,-0.0355738221918558
AG,AG_LONG_13019,16,-2.7515912967427387,-2.7515912967427387
AG,AG_LONG_13075,7,-1.78761085265491,-1.78761085265491
AG,AG_LONG_13110,17,3.161691930408883,3.161691930408883
AG,AG_LONG_13275,2,0.5449943339305875,0.5449943339305875
AG,AG_LONG_13397,8,-5.141530198476894,-3.9622889297832833
AG,AG_LONG_13428,1,0.4215715742410777,0.4215715742410777
AG,AG_LONG_13516,56,6.315615357047167,7.11970891022617
AG,AG_LONG_13633,7,4.182035945980163,4.182035945980163
AG,AG_LONG_13699,21,2.4050957257696646,2.4050957257696646
AG,AG_LONG_13776,25,-2.256535764685488,-0.8338846235575282
AG,AG_LONG_13822,16,-4.119368252120012,-4.8173460752653705
AG,AG_LONG_13895,14,-2.4955330080640783,-2.318752256838053
AG,AG_LONG_13931,20,-1.4572041109204503,-2.3885106478506866
AG,AG_LONG_13958,5,1.0274565414050805,1.0274565414050805
AG,AG_LONG_13965,17,9.803218378490426,9.803218378490426
AG,AG_LONG_14054,1,10.791625518891006,10.791625518891006
AG,AG_LONG_14101,3,3.5844461012236755,0.7004533829102259
AG,AG_LONG_14257,17,2.7121048330196182,1.5798172687527139
AG,AG_LONG_14300,9,2.029216451871234,2.029216451871234
AG,AG_LONG_14370,11,3.637439319709547,3.637439319709547
AG,AG_LONG_14410,6,5.404781592333201,5.404781592333201
AG,AG_LONG_14439,5,3.2688995861388994,3.2688995861388994
AG,AG_LONG_14523,8,-4.635622609613091,-4.635622609613091
AG,AG_LONG_14567,39,0.6211454133774299,0.16444582202483435
AG,AG_LONG_14732,10,4.13166466423619,3.103839807775123
AG,AG_SHORT_11719,4,-1.9421094642027033,-1.9421094642027033
AG,AG_SHORT_11866,6,0.3012689754850602,-1.059682175934082
AG,AG_SHORT_11874,1,-6.609432474232304,-6.609432474232304
AG,AG_SHORT_11900,9,11.210604378475484,11.210604378475484
AG,AG_SHORT_11957,16,-2.8773168234407174,-4.298173108683986
AG,AG_SHORT_12155,219,1.588739691953588,1.046669767513091
AG,AG_SHORT_12549,1,5.454421441467455,-5.454421441467455
AG,AG_SHORT_12554,1,3.0517767951385357,3.0517767951385357
AG,AG_SHORT_12649,8,-0.9288979047384809,-0.9288979047384809
AG,AG_SHORT_12730,1,-1.4157153179958504,-1.4157153179958504
AG,AG_SHORT_12786,13,2.0606437290882518,3.6086632297953267
AG,AG_SHORT_12820,6,0.2795566421676971,0.2795566421676971
AG,AG_SHORT_12827,13,8.486855820163074,8.486855820163074
AG,AG_SHORT_12890,1,1.883587964839652,1.883587964839652
AG,AG_SHORT_12915,1,3.1983294747871875,3.1983294747871875
AG,AG_SHORT_12978,8,-1.9431828803907636,-1.9431828803907636
AG,AG_SHORT_13048,16,-3.2985804628618776,-3.2985804628618776
AG,AG_SHORT_13101,12,-1.4445852489124196,-1.4445852489124196
AG,AG_SHORT_13174,55,-3.1747400858261154,-0.42998848539781576
AG,AG_SHORT_13304,12,-1.3566646750256517,-1.3566646750256517
AG,AG_SHORT_13330,22,3.5354877469664157,0.2709221603241707
AG,AG_SHORT_13374,10,2.383221773625711,0.3045566803637729
AG,AG_SHORT_13433,3,-2.381670100494512,-2.381670100494512
AG,AG_SHORT_13449,10,7.41249085784556,7.41249085784556
AG,AG_SHORT_13661,16,1.8115419697491226,1.8115419697491226
AG,AG_SHORT_13733,28,-0.3343506212265648,0.5398463899548834
AG,AG_SHORT_13839,9,-3.8229460665924826,-3.8229460665924826
AG,AG_SHORT_13874,25,-3.1196618300876136,-3.1196618300876136
AG,AG_SHORT_13922,2,-4.45755026125566,-4.45755026125566
AG,AG_SHORT_14214,4,0.05193779859582076,0.05193779859582076
AG,AG_SHORT_14226,9,3.476448642881973,3.476448642881973
AG,AG_SHORT_14287,5,-1.7531280104825404,-1.7531280104825404
AG,AG_SHORT_14322,3,-3.2381679784068362,-3.2381679784068362
AG,AG_SHORT_14334,13,0.8596789938576702,6.932552436348008
AG,AG_SHORT_14463,2,-3.535553792361362,3.535553792361362
AG,AG_SHORT_14485,2,-2.25995931767563,-0.9232532883368302
AG,AG_SHORT_14518,6,0.9857593579187888,-0.3197734151505043
AG,AG_SHORT_14549,1,-1.1276644989660987,-1.1276644989660987
AG,AG_SHORT_14554,6,-1.0212212859188803,-1.542748164878383
AG,AG_SHORT_14634,14,-0.6492139757494414,-0.6492139757494414
AG,AG_SHORT_14670,14,1.2447532664504144,1.2447532664504144
AG,AG_SHORT_14718,1,1.5777546802151965,1.5777546802151965
AL,AL_LONG_10560,6,-1.8523345810581042,-1.216899494898416
AL,AL_LONG_10572,58,2.468480785916544,2.502557848527685
AL,AL_LONG_10689,57,-1.5201384434253757,1.6381919398901799
AL,AL_LONG_10897,1,0.1819139526059814,-0.1819139526059814
AL,AL_LONG_10900,1,0.550867659477085,0.550867659477085
AL,AL_LONG_10977,8,0.14844178210915826,-3.04840251619053
AL,AL_LONG_11014,3,-1.0988587036012913,-1.0988587036012913
AL,AL_LONG_11026,10,1.1236049778503248,1.1236049778503248
AL,AL_LONG_11046,19,2.387917503463172,2.387917503463172
AL,AL_LONG_11068,13,1.2778155888008815,1.0757060568984553
AL,AL_LONG_11094,26,1.6975749999880174,1.327251814167833
AL,AL_LONG_11158,19,1.602946832751378,1.301911840198172
AL,AL_LONG_11230,32,1.988171270268761,2.6805593696153074
AL,AL_LONG_11388,65,2.3237904994588097,2.1481289753065487
AL,AL_LONG_11559,81,4.343030528094905,2.279936855587064
AL,AL_LONG_11683,44,7.732553869446328,9.36221751843778
AL,AL_LONG_12104,59,2.6208148371061024,2.172742806889358
AL,AL_LONG_12225,141,10.429680622650716,9.51840531911402
AL,AL_SHORT_10539,10,1.6097702976337545,1.6097702976337545
AL,AL_SHORT_10644,7,-6.842111391139456,-6.842111391139456
AL,AL_SHORT_10767,9,-3.258750157708894,-3.258750157708894
AL,AL_SHORT_10788,7,8.839172990874832,7.724603561811136
AL,AL_SHORT_10878,1,2.242293624203145,2.242293624203145
AL,AL_SHORT_10889,2,-1.6042057427550942,-0.22848324801349318
AL,AL_SHORT_10904,15,-2.4009191027960637,-3.922602401319048
AL,AL_SHORT_10959,19,0.7458272925118911,3.1054544082222844
AL,AL_SHORT_10987,2,1.3635957705295265,1.3635957705295265
AL,AL_SHORT_11006,5,0.2027329396403133,0.7763321881468368
AL,AL_SHORT_11018,2,-0.0435398913447439,1.2114504369927395
AL,AL_SHORT_11132,14,-1.5059601589167904,-1.2938924179810773
AL,AL_SHORT_11254,2,-0.7758967400321537,-0.7758967400321537
AL,AL_SHORT_11257,81,-4.141687894256295,-3.6256421956733575
AL,AL_SHORT_11902,11,3.090423364320607,3.090423364320607
AL,AL_SHORT_12001,57,4.49573056353819,4.172830724312493
AL,AL_SHORT_9962,328,-1.7486010322412993,-1.0899877278234167
AU,AU_LONG_11919,2,-2.1865317894509895,-1.5057458563254436
AU,AU_LONG_11939,2,-1.7921514779448804,-0.9216090816440097
AU,AU_LONG_11951,2,0.5752421538538466,-0.1681423027743051
AU,AU_LONG_11972,1,-0.7392801087861112,-0.7392801087861112
AU,AU_LONG_11992,1,-1.7464391897523355,-1.7464391897523355
AU,AU_LONG_12032,15,2.8092097168709764,2.8092097168709764
AU,AU_LONG_12077,1,0.20453019221240143,-0.20453019221240143
AU,AU_LONG_12106,22,-0.23525571820337168,-0.20199361576249794
AU,AU_LONG_12235,21,5.837186050992099,4.4601988306656475
AU,AU_LONG_12332,7,-2.015730047092067,-2.015730047092067
AU,AU_LONG_12349,1,-4.672580361743761,4.672580361743761
AU,AU_LONG_12400,26,-2.7211638237481557,-2.7211638237481557
AU,AU_LONG_12624,1,9.17865122411457,9.17865122411457
AU,AU_LONG_12668,6,6.307176640330259,2.600377426897014
AU,AU_LONG_12685,1,0.676346485478803,0.676346485478803
AU,AU_LONG_12775,11,1.4102879298958324,1.4102879298958324
AU,AU_LONG_12832,4,-0.7440980677800614,0.0771156250824992
AU,AU_LONG_12975,1,0.7858532043839004,0.7858532043839004
AU,AU_LONG_13032,28,-4.64233459153851,-3.833774547458834
AU,AU_LONG_13103,8,5.390983577210859,5.390983577210859
AU,AU_LONG_13135,3,4.05974408458705,4.05974408458705
AU,AU_LONG_13196,10,0.8258984789105266,0.24927983032164516
AU,AU_LONG_13220,7,-0.05507194876774356,-1.8172152461228817
AU,AU_LONG_13273,20,0.21709643164110748,0.21709643164110748
AU,AU_LONG_13394,6,0.6402153114041697,0.6402153114041697
AU,AU_LONG_13522,64,4.390035654144195,6.522735657115843
AU,AU_LONG_13823,112,7.580453700589272,8.248978951586214
AU,AU_LONG_14063,1,-1.5506218623278443,-1.5506218623278443
AU,AU_LONG_14068,4,-1.6586863929048286,-1.6586863929048286
AU,AU_LONG_14101,13,2.2450676377609624,1.9161526071938595
AU,AU_LONG_14252,1,-0.8138536076842126,-0.8138536076842126
AU,AU_LONG_14257,21,-0.0076664268928703615,-0.0076664268928703615
AU,AU_LONG_14367,14,-7.1601397163236165,-7.1601397163236165
AU,AU_LONG_14412,4,4.057911846218275,4.057911846218275
AU,AU_LONG_14424,1,-1.1100782493993444,-1.1100782493993444
AU,AU_LONG_14754,2,7.499960793140785,7.499960793140785
AU,AU_SHORT_11790,73,-4.165862470458057,-1.8307739893767125
AU,AU_SHORT_11839,9,-2.025111810984017,-2.025111810984017
AU,AU_SHORT_11856,22,5.202681275656126,0.988721985894584
AU,AU_SHORT_11924,3,4.88486738957171,1.1599467277355036
AU,AU_SHORT_11957,4,-2.266416311302716,-1.0423174256698229
AU,AU_SHORT_11978,6,0.7800123685368265,1.9851784338496905
AU,AU_SHORT_12004,2,4.34613387171146,4.34613387171146
AU,AU_SHORT_12051,3,-1.6409058236338352,-1.6409058236338352
AU,AU_SHORT_12062,3,-2.2922787952210064,-0.6958212427069292
AU,AU_SHORT_12084,4,-1.416597451319272,2.1805735125802075
AU,AU_SHORT_12100,4,-1.2194591247486428,-0.16701990094326674
AU,AU_SHORT_12155,31,5.605384927630567,6.5608546691260665
AU,AU_SHORT_12295,13,-2.8613576564251026,-1.8254030376064023
AU,AU_SHORT_12358,15,-3.1664989901612364,-3.1664989901612364
AU,AU_SHORT_12387,9,3.122237485270329,3.122237485270329
AU,AU_SHORT_12437,3,-2.840593052149232,-2.840593052149232
AU,AU_SHORT_12446,13,5.249546467900776,5.249546467900776
AU,AU_SHORT_12541,8,10.505885948950562,6.654468371573075
AU,AU_SHORT_12696,2,-3.079619351247848,-3.079619351247848
AU,AU_SHORT_12787,12,7.737426697488744,4.069633734136459
AU,AU_SHORT_12841,2,7.3458858399631355,7.3458858399631355
AU,AU_SHORT_12897,2,1.455693974475972,1.455693974475972
AU,AU_SHORT_12997,4,0.8277121014059827,0.8277121014059827
AU,AU_SHORT_13091,10,-2.962571093950542,-2.962571093950542
AU,AU_SHORT_13123,1,-0.7806974511019464,-0.7806974511019464
AU,AU_SHORT_13138,1,-2.21961906172906,-2.21961906172906
AU,AU_SHORT_13177,11,-1.7954033586997247,-1.5729088926563157
AU,AU_SHORT_13229,30,-5.935140287663398,-4.8799732796192234
AU,AU_SHORT_13320,40,4.076915182460336,3.564170950609231
AU,AU_SHORT_13637,2,-4.220712058973783,-4.220712058973783
AU,AU_SHORT_13661,54,-2.1194117939281867,-1.742928878005485
AU,AU_SHORT_14025,4,-3.0782889248087724,-3.0782889248087724
AU,AU_SHORT_14048,6,-1.1432586866683947,-1.9896661254378627
AU,AU_SHORT_14188,18,4.489055866841212,4.489055866841212
AU,AU_SHORT_14321,31,-2.00009618833412,-0.7680893460236629
AU,AU_SHORT_14397,2,-1.051512583899928,-1.051512583899928
AU,AU_SHORT_14400,1,0.3148444294579539,0.3148444294579539
AU,AU_SHORT_14549,65,0.5632709091157928,5.079281540619122
AU,AU_SHORT_14691,6,3.431351382874261,-3.431351382874261
CF,CF_LONG_7372,30,1.9675944691544436,1.6805789049863453
CF,CF_LONG_7473,1,-1.9403042824443273,-1.9403042824443273
CF,CF_LONG_7482,10,-0.08150010474822968,-0.08150010474822968
CF,CF_LONG_7505,3,1.1008961367556795,0.25001042093807785
CF,CF_LONG_7524,1,0.3238366258724287,0.3238366258724287
CF,CF_LONG_7580,11,1.8423683649872358,1.8423683649872358
CF,CF_LONG_7661,57,4.554678838711229,4.564124029790836
CF,CF_LONG_7729,3,2.2007378187710716,2.2007378187710716
CF,CF_LONG_7864,74,2.4687327259439074,1.1333564008420012
CF,CF_LONG_8020,4,0.6454617905535349,0.6454617905535349
CF,CF_LONG_8115,51,5.574497834807598,3.6984844524956033
CF,CF_LONG_8214,12,4.7337831958461285,3.815102449116373
CF,CF_LONG_8270,3,1.1248612600331784,1.1248612600331784
