held_out_symbol,n_trades,n_qualified,tau0,tau1,tau2,sel0,sel1,sel2,delta10_mean,delta10_ci_low,delta10_ci_high,delta21_mean,delta21_ci_low,delta21_ci_high,regret_improve10,regret_improve21
AG,74,65,0.2991071714593724,0.1823970128375882,0.07444147185495263,1.0909364453684283,1.1248031799641869,1.9101617060165046,-0.11671015862178412,-0.2872557849346045,0.040751626970365135,-0.10795554098263559,-0.24403964293432115,0.028529266210138893,-0.03386673459575865,-0.7853585260523175
AU,73,60,0.1904915214499513,0.16511110637357188,0.06417337053738935,1.8427213307950165,2.377251930285707,2.2089095776761942,-0.025380415076379417,-0.17337077231943945,0.12584835982646023,-0.1009377358361825,-0.2741263763416077,0.07558922151519736,-0.5345305994906904,0.1683423526095128
CU,38,33,0.2742222602824106,0.1807307149046837,0.06472582493270208,2.3758258542743613,2.524967272935755,2.7791353652630595,-0.09349154537772687,-0.24706172763965853,0.06578713663046608,-0.1160048899719816,-0.2881429522622608,0.03318389469641729,-0.14914141866139358,-0.2541680923273042
AL,34,31,0.24323371894794543,0.30271283983309777,0.005921953169046911,2.5128903033967513,2.5581441150751196,2.7441164552015334,0.05947912088515236,-0.0888617430398051,0.20989558091229596,-0.29679088666405085,-0.5145151284603092,-0.10515178216594065,-0.04525381167836764,-0.18597234012641425
SN,44,39,0.39876773129464066,0.17367731375301934,0.03909420303348814,1.9514851028325177,2.0290831544425014,1.7679977977632086,-0.22509041754162135,-0.39260178518923133,-0.07124615563759225,-0.13458311071953113,-0.36091258823577677,0.09126469287269558,-0.07759805160998326,0.2610853566792928
NI,35,32,0.12341248034887783,0.18896083324398827,0.25277163492068544,2.3355255505533323,2.073869581615003,2.0298591444971588,0.06554835289511042,-0.15721795890775078,0.2928278760474996,0.06381080167669714,-0.09352920893646978,0.24672372520598437,0.26165596893832965,0.04401043711784414
RB,27,23,0.05684727591390037,0.16463472661614562,0.07287484676298431,2.6155937767801625,2.509719511049408,3.3554038215352446,0.10778745070224527,-0.051277803777607746,0.2848153933501176,-0.09175987985316132,-0.33755627755089396,0.12218603443737187,0.10587426573075398,-0.8456843104858365
I,30,25,0.2406293124347233,0.32832185413675274,-0.05115926927476002,1.6481118001808317,1.8200661894530956,2.423898021972781,0.08769254170202945,-0.1435530721878321,0.3185258137659612,-0.37948112341151286,-0.6162616186456276,-0.13609114363974836,-0.1719543892722637,-0.6038318325196852
SC,76,70,0.2372671312124942,0.10038524371232081,0.05370767499603405,1.465261470212253,1.9917012498955944,2.0927315711461154,-0.13688188750017335,-0.29547209626796533,0.014147141559287124,-0.04667756871628678,-0.1920064904888897,0.08228665129084858,-0.5264397796833405,-0.10103032125052175
RU,47,40,-0.05287922375429516,0.02856330042668358,-0.06930006897776445,1.5444213386097316,1.762939620797944,1.9465849996285627,0.08144252418097873,-0.10534796587099188,0.2860953775928447,-0.097863369404448,-0.3139251590722692,0.0907003336581002,-0.21851828218821243,-0.18364537883061857
MA,30,27,0.29443328483789705,0.04457061040614813,-0.10342382310320625,1.1829844749103875,2.3743871011200204,2.6681634400765866,-0.24986267443174892,-0.44780334897158514,-0.05282573495743871,-0.14799443350935443,-0.3556891353000298,0.05372313582585974,-1.1914026262096329,-0.2937763389565659
TA,31,29,0.1983305284395093,0.06606528960933115,0.02220157845307309,2.1997599429231407,1.9902881647613115,2.6842215616125547,-0.13226523883017818,-0.40141131406221214,0.10858648012940395,-0.04386371115625804,-0.22996300564472352,0.14995802257431237,0.20947177816182927,-0.6939333968512429
M,31,26,0.26826827100298867,0.06535853295186629,0.06384049486276,1.7589073602893455,2.000778308171165,2.3631645428072114,-0.2029097380511224,-0.5233550936680554,0.11382263571129066,-0.001518038089106273,-0.26860556025401117,0.2747616254048263,-0.24187094788181968,-0.36238623463604613
P,27,23,0.211371093064784,0.03096640904491524,0.06398149204098699,2.351795223834008,1.884415443880436,2.520164933107478,-0.1804046840198688,-0.33568644756892224,-0.0476583738135514,0.03301508299607176,-0.21720180731059543,0.2593391546833527,0.4673797799535716,-0.6357494892270413
CF,41,33,0.22567219010947978,0.22442160594343213,0.3416794751047921,1.4257973590297288,1.3217215498402657,1.8433993566656883,-0.0012505841660476965,-0.25910311709751843,0.24141280670572113,0.11725786916135995,-0.06882749291052345,0.3363436881198375,0.10407580918946337,-0.5216778068254226
