architecture,MODEL,eval_fold,regime,weight_share,mean_p_win,mean_mu_win,mean_mu_loss,mean_p_break_even,mean_actual_return,actual_win_rate
A0_V1_DISJOINT,PGM3,1,REGIME_LOW,0.52635,0.484922,1.368044,1.285304,0.487004,-0.005168,0.484407
A0_V1_DISJOINT,PGM3,1,REGIME_MID,0.207355,0.465134,0.878949,0.748401,0.461883,0.009424,0.446951
A0_V1_DISJOINT,PGM3,1,REGIME_HIGH,0.266295,0.500585,2.714364,2.7226,0.502469,0.002877,0.508132
A0_V1_DISJOINT,PGM3,2,REGIME_LOW,0.186446,0.373571,2.638097,1.611423,0.389252,-0.162661,0.366785
A0_V1_DISJOINT,PGM3,2,REGIME_MID,0.568972,0.473034,0.987533,0.903779,0.47941,-0.005169,0.463017
A0_V1_DISJOINT,PGM3,2,REGIME_HIGH,0.244581,0.597175,1.699188,2.443988,0.582312,0.136022,0.595542
A0_V1_DISJOINT,PGM3,3,REGIME_LOW,0.390958,0.463442,0.803986,0.667399,0.458505,0.001898,0.464788
A0_V1_DISJOINT,PGM3,3,REGIME_MID,0.366599,0.496768,1.357141,1.326912,0.496016,-0.000206,0.499425
A0_V1_DISJOINT,PGM3,3,REGIME_HIGH,0.242443,0.498848,2.812631,2.787457,0.497514,-0.002749,0.499537
A0_V1_DISJOINT,PGM3,4,REGIME_LOW,0.230319,0.367555,2.709876,1.602594,0.375024,-0.190148,0.337984
A0_V1_DISJOINT,PGM3,4,REGIME_MID,0.476895,0.471671,0.934774,0.828125,0.471621,0.006296,0.470188
A0_V1_DISJOINT,PGM3,4,REGIME_HIGH,0.292786,0.601401,1.642426,2.462728,0.594566,0.139323,0.623093
A0_V1_DISJOINT,GMM_MOE3,1,REGIME_LOW,0.52635,0.484922,1.368044,1.285304,0.487004,-0.005168,0.484407
A0_V1_DISJOINT,GMM_MOE3,1,REGIME_MID,0.207355,0.465134,0.878949,0.748401,0.461883,0.009424,0.446951
A0_V1_DISJOINT,GMM_MOE3,1,REGIME_HIGH,0.266295,0.500585,2.714364,2.7226,0.502469,0.002877,0.508132
A0_V1_DISJOINT,GMM_MOE3,2,REGIME_LOW,0.186446,0.373571,2.638097,1.611423,0.389252,-0.162661,0.366785
A0_V1_DISJOINT,GMM_MOE3,2,REGIME_MID,0.568972,0.473034,0.987533,0.903779,0.47941,-0.005169,0.463017
A0_V1_DISJOINT,GMM_MOE3,2,REGIME_HIGH,0.244581,0.597175,1.699188,2.443988,0.582312,0.136022,0.595542
A0_V1_DISJOINT,GMM_MOE3,3,REGIME_LOW,0.390958,0.463442,0.803986,0.667399,0.458505,0.001898,0.464788
A0_V1_DISJOINT,GMM_MOE3,3,REGIME_MID,0.366599,0.496768,1.357141,1.326912,0.496016,-0.000206,0.499425
A0_V1_DISJOINT,GMM_MOE3,3,REGIME_HIGH,0.242443,0.498848,2.812631,2.787457,0.497514,-0.002749,0.499537
A0_V1_DISJOINT,GMM_MOE3,4,REGIME_LOW,0.230319,0.367555,2.709876,1.602594,0.375024,-0.190148,0.337984
A0_V1_DISJOINT,GMM_MOE3,4,REGIME_MID,0.476895,0.471671,0.934774,0.828125,0.471621,0.006296,0.470188
A0_V1_DISJOINT,GMM_MOE3,4,REGIME_HIGH,0.292786,0.601401,1.642426,2.462728,0.594566,0.139323,0.623093
A1_SHARE_TO_WIN,PGM3,1,REGIME_LOW,0.525596,0.483939,1.320589,1.236535,0.484341,-0.000822,0.480948
A1_SHARE_TO_WIN,PGM3,1,REGIME_MID,0.172986,0.469207,0.852522,0.747589,0.468247,-0.005874,0.451807
A1_SHARE_TO_WIN,PGM3,1,REGIME_HIGH,0.301418,0.501781,2.599633,2.579407,0.498793,0.004805,0.50434
A1_SHARE_TO_WIN,PGM3,2,REGIME_LOW,0.186042,0.387605,2.703733,1.683711,0.393228,-0.158568,0.371728
A1_SHARE_TO_WIN,PGM3,2,REGIME_MID,0.58982,0.471288,0.998108,0.903097,0.477481,-0.002381,0.46154
A1_SHARE_TO_WIN,PGM3,2,REGIME_HIGH,0.224138,0.595197,1.68477,2.527542,0.59331,0.137883,0.60724
A1_SHARE_TO_WIN,PGM3,3,REGIME_LOW,0.366682,0.500581,1.302754,1.292425,0.498182,-0.00131,0.506371
A1_SHARE_TO_WIN,PGM3,3,REGIME_MID,0.369314,0.454665,0.814651,0.669749,0.456986,-0.000274,0.45809
A1_SHARE_TO_WIN,PGM3,3,REGIME_HIGH,0.264005,0.493293,2.709028,2.658715,0.493433,0.002202,0.496411
A1_SHARE_TO_WIN,PGM3,4,REGIME_LOW,0.234194,0.377026,2.724001,1.632944,0.377974,-0.168784,0.344471
A1_SHARE_TO_WIN,PGM3,4,REGIME_MID,0.473766,0.468321,0.93189,0.814818,0.469239,0.006222,0.468242
