architecture,MODEL,symbol,side,n,selected_n,coverage,selected_mean_return
A0_V1_DISJOINT,P,AG,LONG,1246,292,0.23435,0.317048
A0_V1_DISJOINT,P,AG,SHORT,1246,253,0.20305,0.114401
A0_V1_DISJOINT,P,AL,LONG,1430,268,0.187413,0.595256
A0_V1_DISJOINT,P,AL,SHORT,1430,295,0.206294,0.098069
A0_V1_DISJOINT,P,AU,LONG,1227,312,0.254279,0.497089
A0_V1_DISJOINT,P,AU,SHORT,1227,221,0.180114,-0.678064
A0_V1_DISJOINT,P,CF,LONG,883,225,0.254813,1.073692
A0_V1_DISJOINT,P,CF,SHORT,883,175,0.198188,-0.179333
A0_V1_DISJOINT,P,CU,LONG,1128,230,0.203901,0.616986
A0_V1_DISJOINT,P,CU,SHORT,1128,219,0.194149,-1.611071
A0_V1_DISJOINT,P,I,LONG,1030,216,0.209709,0.478285
A0_V1_DISJOINT,P,I,SHORT,1030,165,0.160194,0.030962
A0_V1_DISJOINT,P,M,LONG,857,133,0.155193,-0.072304
A0_V1_DISJOINT,P,M,SHORT,857,212,0.247375,0.574988
A0_V1_DISJOINT,P,MA,LONG,1094,220,0.201097,-0.090124
A0_V1_DISJOINT,P,MA,SHORT,1094,221,0.202011,0.144173
A0_V1_DISJOINT,P,NI,LONG,1311,241,0.183829,0.203062
A0_V1_DISJOINT,P,NI,SHORT,1311,295,0.225019,-0.045888
A0_V1_DISJOINT,P,P,LONG,1046,191,0.1826,0.023822
A0_V1_DISJOINT,P,P,SHORT,1046,245,0.234226,0.10901
A0_V1_DISJOINT,P,RB,LONG,1121,198,0.176628,-0.054893
A0_V1_DISJOINT,P,RB,SHORT,1121,263,0.234612,-0.055469
A0_V1_DISJOINT,P,RU,LONG,1073,185,0.172414,-0.089548
A0_V1_DISJOINT,P,RU,SHORT,1073,164,0.152842,-0.281586
A0_V1_DISJOINT,P,SC,LONG,1391,328,0.235802,0.341848
A0_V1_DISJOINT,P,SC,SHORT,1391,307,0.220705,-0.172051
A0_V1_DISJOINT,P,SN,LONG,1327,290,0.218538,0.562534
A0_V1_DISJOINT,P,SN,SHORT,1327,269,0.202713,-0.352154
A0_V1_DISJOINT,P,TA,LONG,1061,176,0.165881,-0.422289
A0_V1_DISJOINT,P,TA,SHORT,1061,199,0.187559,-0.15887
A0_V1_DISJOINT,EV_C,AG,LONG,1246,291,0.233547,-0.034023
A0_V1_DISJOINT,EV_C,AG,SHORT,1246,135,0.108347,-0.279575
A0_V1_DISJOINT,EV_C,AL,LONG,1430,224,0.156643,-0.003602
A0_V1_DISJOINT,EV_C,AL,SHORT,1430,212,0.148252,-0.070223
A0_V1_DISJOINT,EV_C,AU,LONG,1227,266,0.216789,1.426848
A0_V1_DISJOINT,EV_C,AU,SHORT,1227,186,0.151589,-0.209256
A0_V1_DISJOINT,EV_C,CF,LONG,883,140,0.15855,1.46011
A0_V1_DISJOINT,EV_C,CF,SHORT,883,122,0.138165,-1.547463
A0_V1_DISJOINT,EV_C,CU,LONG,1128,182,0.161348,1.014074
A0_V1_DISJOINT,EV_C,CU,SHORT,1128,214,0.189716,-1.947194
A0_V1_DISJOINT,EV_C,I,LONG,1030,135,0.131068,0.675956
A0_V1_DISJOINT,EV_C,I,SHORT,1030,66,0.064078,-0.222679
A0_V1_DISJOINT,EV_C,M,LONG,857,84,0.098016,-0.838328
A0_V1_DISJOINT,EV_C,M,SHORT,857,83,0.096849,2.842069
A0_V1_DISJOINT,EV_C,MA,LONG,1094,132,0.120658,-0.55343
A0_V1_DISJOINT,EV_C,MA,SHORT,1094,101,0.092322,-0.252776
A0_V1_DISJOINT,EV_C,NI,LONG,1311,211,0.160946,0.128741
A0_V1_DISJOINT,EV_C,NI,SHORT,1311,170,0.129672,-0.209432
A0_V1_DISJOINT,EV_C,P,LONG,1046,107,0.102294,-0.320294
A0_V1_DISJOINT,EV_C,P,SHORT,1046,193,0.184512,-0.198746
A0_V1_DISJOINT,EV_C,RB,LONG,1121,185,0.165031,0.447565
A0_V1_DISJOINT,EV_C,RB,SHORT,1121,122,0.108831,-0.547673
A0_V1_DISJOINT,EV_C,RU,LONG,1073,96,0.089469,-0.383351
A0_V1_DISJOINT,EV_C,RU,SHORT,1073,84,0.078285,0.164851
A0_V1_DISJOINT,EV_C,SC,LONG,1391,240,0.172538,-0.038464
A0_V1_DISJOINT,EV_C,SC,SHORT,1391,182,0.130841,-0.607447
A0_V1_DISJOINT,EV_C,SN,LONG,1327,145,0.109269,0.776418
A0_V1_DISJOINT,EV_C,SN,SHORT,1327,184,0.138659,-0.675114
A0_V1_DISJOINT,EV_C,TA,LONG,1061,159,0.149859,-0.417519
A0_V1_DISJOINT,EV_C,TA,SHORT,1061,123,0.115928,-0.676253
A0_V1_DISJOINT,MARGIN,AG,LONG,1246,308,0.247191,0.040668
A0_V1_DISJOINT,MARGIN,AG,SHORT,1246,140,0.11236,-0.220617
A0_V1_DISJOINT,MARGIN,AL,LONG,1430,228,0.159441,0.02606
A0_V1_DISJOINT,MARGIN,AL,SHORT,1430,188,0.131469,-0.135939
A0_V1_DISJOINT,MARGIN,AU,LONG,1227,259,0.211084,0.938258
A0_V1_DISJOINT,MARGIN,AU,SHORT,1227,184,0.149959,-0.291348
A0_V1_DISJOINT,MARGIN,CF,LONG,883,144,0.16308,1.026711
A0_V1_DISJOINT,MARGIN,CF,SHORT,883,133,0.150623,-0.829803
A0_V1_DISJOINT,MARGIN,CU,LONG,1128,187,0.16578,0.656566
A0_V1_DISJOINT,MARGIN,CU,SHORT,1128,237,0.210106,-1.083376
A0_V1_DISJOINT,MARGIN,I,LONG,1030,131,0.127184,0.39708
A0_V1_DISJOINT,MARGIN,I,SHORT,1030,93,0.090291,-0.056734
A0_V1_DISJOINT,MARGIN,M,LONG,857,74,0.086348,-0.7547
A0_V1_DISJOINT,MARGIN,M,SHORT,857,95,0.110852,1.19851
A0_V1_DISJOINT,MARGIN,MA,LONG,1094,129,0.117916,-0.321165
A0_V1_DISJOINT,MARGIN,MA,SHORT,1094,112,0.102377,0.149735
A0_V1_DISJOINT,MARGIN,NI,LONG,1311,202,0.154081,0.205651
A0_V1_DISJOINT,MARGIN,NI,SHORT,1311,172,0.131198,-0.043942
A0_V1_DISJOINT,MARGIN,P,LONG,1046,106,0.101338,-0.375014
A0_V1_DISJOINT,MARGIN,P,SHORT,1046,197,0.188337,-0.380465
A0_V1_DISJOINT,MARGIN,RB,LONG,1121,183,0.163247,0.449357
A0_V1_DISJOINT,MARGIN,RB,SHORT,1121,124,0.110616,-0.559578
A0_V1_DISJOINT,MARGIN,RU,LONG,1073,112,0.10438,-0.290675
