n,weight_sum,win_rate,mean_return,median_return,avg_win,avg_loss,p_win_q,p_be_q,scale_q,dimension
282,141.0,0.386525,0.10587,-0.149174,1.23022,-0.655589,0,0,0,3D
2667,1333.5,0.308961,-0.046593,-0.321374,1.544705,-0.804318,0,0,1,3D
3251,1625.5,0.265149,-0.208257,-0.899418,3.36834,-1.51847,0,0,2,3D
782,391.0,0.358056,-0.027955,-0.134352,0.758053,-0.528477,0,1,0,3D
319,159.5,0.319749,-0.178761,-0.389952,1.607668,-1.078082,0,1,1,3D
680,340.0,0.373529,-0.110202,-1.060613,3.460441,-2.26577,0,1,2,3D
153,76.5,0.359477,0.175486,-0.148572,1.356483,-0.536598,0,2,0,3D
62,31.0,0.33871,0.00353,-0.178994,1.112589,-0.625554,0,2,1,3D
202,101.0,0.440594,-0.209755,-1.265896,3.82741,-3.389468,0,2,2,3D
24,12.0,0.25,-0.286601,-0.348334,0.497305,-0.547903,0,3,0,3D
14,7.0,0.285714,-0.103524,-0.353663,1.285594,-0.732413,0,3,1,3D
68,34.0,0.455882,0.350774,-1.077721,4.564351,-3.17952,0,3,2,3D
26,13.0,0.384615,0.161939,-0.054027,0.943509,-0.373191,0,4,0,3D
1,0.5,1.0,0.359099,0.359099,0.359099,,0,4,1,3D
6,3.0,0.333333,-0.869975,-2.127639,3.469643,-3.039784,0,4,2,3D
335,167.5,0.426866,0.090933,-0.077169,0.925719,-0.585719,1,0,0,3D
1179,589.5,0.368109,0.012327,-0.261136,1.299244,-0.792695,1,0,1,3D
438,219.0,0.317352,-0.251853,-1.013556,3.326255,-1.954474,1,0,2,3D
2506,1253.0,0.407821,0.008967,-0.069944,0.71447,-0.542311,1,1,0,3D
1260,630.0,0.431746,0.076062,-0.207887,1.322377,-0.9063,1,1,1,3D
833,416.5,0.39976,-0.151873,-1.009624,2.594981,-1.985248,1,1,2,3D
690,345.0,0.415942,-0.053879,-0.05287,0.580408,-0.572342,1,2,0,3D
383,191.5,0.415144,-0.138941,-0.29803,1.131632,-1.089457,1,2,1,3D
485,242.5,0.424742,-0.185349,-1.06114,2.855482,-2.43055,1,2,2,3D
183,91.5,0.442623,-0.047669,-0.0612,0.612871,-0.614378,1,3,0,3D
40,20.0,0.4,-0.185898,-0.503958,1.122634,-1.058253,1,3,1,3D
111,55.5,0.486486,-0.998045,-0.73013,2.43801,-4.253254,1,3,2,3D
67,33.5,0.447761,0.042178,-0.097447,0.663517,-0.474433,1,4,0,3D
5,2.5,0.8,0.922545,0.925106,1.224758,-0.286306,1,4,1,3D
21,10.5,0.666667,0.360517,1.709815,2.706281,-4.33101,1,4,2,3D
76,38.0,0.447368,0.143889,-0.052522,0.772622,-0.393168,2,0,0,3D
114,57.0,0.421053,0.028489,-0.061454,0.805503,-0.610628,2,0,1,3D
