direction,value_arch,gate,eval_fold,TRADE20_coverage,TRADE20_mean_return
A9,A0,P,1,0.163476,0.048745
A9,A0,PGM3,1,0.029034,-0.051672
A9,A0,EV_C,1,0.1336,-0.108715
A9,A0,P,2,0.217502,0.037288
A9,A0,PGM3,2,0.225583,-0.065167
A9,A0,EV_C,2,0.130686,-0.206832
A9,A0,P,3,0.213517,0.200352
A9,A0,PGM3,3,0.152577,0.02004
A9,A0,EV_C,3,0.157388,0.312694
A9,A0,P,4,0.240201,0.30252
A9,A0,PGM3,4,0.20339,0.303446
A9,A0,EV_C,4,0.159693,0.378402
A9,A1,P,1,0.216916,0.12103
A9,A1,PGM3,1,0.237113,0.180298
A9,A1,EV_C,1,0.155481,-0.161187
A9,A1,P,2,0.181944,0.016855
A9,A1,PGM3,2,0.170169,0.02965
A9,A1,EV_C,2,0.104595,-0.392591
A9,A1,P,3,0.198855,0.120329
A9,A1,PGM3,3,0.138144,0.017977
A9,A1,EV_C,3,0.150974,0.196859
A9,A1,P,4,0.224311,0.266765
A9,A1,PGM3,4,0.212129,0.218205
A9,A1,EV_C,4,0.180085,0.147548
E9,A0,P,1,0.153166,-0.058883
E9,A0,PGM3,1,0.150011,-0.116813
E9,A0,EV_C,1,0.137177,-0.14299
E9,A0,P,2,0.220965,0.169309
E9,A0,PGM3,2,0.22489,-0.07634
E9,A0,EV_C,2,0.119603,0.08273
E9,A0,P,3,0.21764,0.205963
E9,A0,PGM3,3,0.170905,0.445585
E9,A0,EV_C,3,0.164261,0.292628
E9,A0,P,4,0.25053,0.165367
E9,A0,PGM3,4,0.201536,0.197052
E9,A0,EV_C,4,0.159958,0.393157
E9,A1,P,1,0.200715,0.044889
E9,A1,PGM3,1,0.235641,0.105367
E9,A1,EV_C,1,0.14454,-0.152063
E9,A1,P,2,0.182406,0.182026
E9,A1,PGM3,2,0.182406,0.208976
E9,A1,EV_C,2,0.091896,-0.18804
E9,A1,P,3,0.197938,0.137746
E9,A1,PGM3,3,0.157847,0.503696
E9,A1,EV_C,3,0.153036,0.151069
E9,A1,P,4,0.224841,0.077348
E9,A1,PGM3,4,0.207627,0.238996
E9,A1,EV_C,4,0.184852,0.223315
