direction,value_arch,gate,causal_q80_coverage,selected_mean_return,win_rate,avg_win,avg_loss,payoff_ratio,matched20_return
A9,A0,P,0.20656,0.150116,0.648679,1.442328,-2.235823,0.645099,0.163747
A9,A0,PGM3,0.147983,0.068888,0.504119,1.540749,-1.427427,1.079389,0.067022
A9,A0,EV_C,0.144615,0.10313,0.498595,2.208293,-1.990235,1.109564,0.084918
E9,A0,P,0.207896,0.131601,0.64172,1.414326,-2.165907,0.652995,0.14003
E9,A0,PGM3,0.185428,0.101666,0.508453,2.549216,-2.430068,1.049031,0.105534
E9,A0,EV_C,0.144615,0.159336,0.487756,2.334969,-1.91229,1.221033,0.124277
A9,A1,P,0.205167,0.132557,0.652235,1.388984,-2.223881,0.624576,0.132509
A9,A1,PGM3,0.189724,0.125664,0.621481,1.418266,-1.996628,0.710331,0.121703
A9,A1,EV_C,0.146938,-0.026432,0.489135,2.100127,-2.062534,1.018227,-0.009847
E9,A1,P,0.200697,0.107407,0.649986,1.340496,-2.182469,0.614211,0.112205
E9,A1,PGM3,0.196401,0.241656,0.632575,1.829162,-2.491459,0.734173,0.219394
E9,A1,EV_C,0.142293,0.031612,0.48266,2.109304,-1.906802,1.1062,0.023322
