direction,value_arch,eval_fold,regime,weight_share,mean_p_win,mean_mu_win,mean_mu_loss,mean_p_break_even,mean_actual_return,actual_win_rate
A9,A0,1,REGIME_LOW,0.258401,0.487689,2.776274,2.696629,0.497237,0.008887,0.497868
A9,A0,1,REGIME_MID,0.545853,0.489677,1.344479,1.308985,0.493681,0.049556,0.495482
A9,A0,1,REGIME_HIGH,0.195746,0.468263,0.868456,0.750892,0.465425,0.016199,0.45791
A9,A0,2,REGIME_LOW,0.200907,0.495664,2.612646,2.600508,0.493952,-0.077395,0.46787
A9,A0,2,REGIME_MID,0.372014,0.459111,0.890159,0.773633,0.468603,0.038477,0.463031
A9,A0,2,REGIME_HIGH,0.427078,0.501109,1.41161,1.423182,0.50577,-0.07356,0.482171
A9,A0,3,REGIME_LOW,0.230723,0.491975,2.894269,2.79918,0.494571,0.393725,0.526312
A9,A0,3,REGIME_MID,0.386203,0.490904,1.352764,1.339029,0.494918,-0.019272,0.488583
A9,A0,3,REGIME_HIGH,0.383073,0.463671,0.795051,0.673237,0.463267,0.013546,0.46606
A9,A0,4,REGIME_LOW,0.388003,0.499177,1.403293,1.413849,0.505111,-0.015764,0.52595
A9,A0,4,REGIME_MID,0.347855,0.465905,0.839802,0.728505,0.467519,0.034718,0.476307
A9,A0,4,REGIME_HIGH,0.264142,0.486287,2.714224,2.578107,0.48591,0.280636,0.531183
A9,A1,1,REGIME_LOW,0.211194,0.371508,2.702605,1.721532,0.394807,-0.000955,0.362075
A9,A1,1,REGIME_MID,0.267369,0.460281,0.894782,0.768094,0.464623,0.006486,0.449668
A9,A1,1,REGIME_HIGH,0.521437,0.545189,1.555827,1.897386,0.539782,0.059423,0.560084
A9,A1,2,REGIME_LOW,0.158213,0.375118,2.815363,1.698914,0.38392,-0.243094,0.334387
A9,A1,2,REGIME_MID,0.57285,0.463579,1.007316,0.884229,0.472513,0.000586,0.463599
A9,A1,2,REGIME_HIGH,0.268938,0.585392,1.622877,2.389973,0.588051,0.020353,0.571509
A9,A1,3,REGIME_LOW,0.257442,0.490237,2.72983,2.658645,0.496271,0.348304,0.523748
A9,A1,3,REGIME_MID,0.390971,0.48803,1.304592,1.275094,0.491479,-0.012801,0.48889
A9,A1,3,REGIME_HIGH,0.351587,0.456944,0.801936,0.67665,0.463039,0.011162,0.462712
A9,A1,4,REGIME_LOW,0.235029,0.378797,2.83583,1.732536,0.380946,0.0006,0.391387
A9,A1,4,REGIME_MID,0.470407,0.464463,0.936994,0.813148,0.468706,0.047733,0.480466
A9,A1,4,REGIME_HIGH,0.294564,0.599499,1.515055,2.353553,0.600707,0.19518,0.65202
E9,A0,1,REGIME_LOW,0.188251,0.467195,0.864285,0.74899,0.465751,0.033143,0.46214
E9,A0,1,REGIME_MID,0.537148,0.485313,1.33625,1.268611,0.487816,0.027795,0.489053
E9,A0,1,REGIME_HIGH,0.274601,0.484678,2.767967,2.615593,0.490344,-0.070948,0.490288
E9,A0,2,REGIME_LOW,0.209459,0.498781,2.545762,2.601406,0.497378,0.18824,0.484484
E9,A0,2,REGIME_MID,0.371437,0.457944,0.890103,0.773313,0.468353,0.017174,0.456768
E9,A0,2,REGIME_HIGH,0.419103,0.499941,1.409188,1.416006,0.505259,-0.019462,0.485193
E9,A0,3,REGIME_LOW,0.391376,0.459242,0.801166,0.67061,0.460006,0.022525,0.456717
E9,A0,3,REGIME_MID,0.376453,0.493637,1.373304,1.345272,0.494231,-0.002459,0.482397
E9,A0,3,REGIME_HIGH,0.232171,0.48889,2.927365,2.730885,0.487669,0.347862,0.530952
E9,A0,4,REGIME_LOW,0.347554,0.467748,0.836897,0.730153,0.468945,0.013824,0.461631
E9,A0,4,REGIME_MID,0.389355,0.50305,1.400431,1.415277,0.506395,0.157189,0.514097
E9,A0,4,REGIME_HIGH,0.263092,0.483883,2.745801,2.553059,0.483321,0.213285,0.503653
E9,A1,1,REGIME_LOW,0.266164,0.387599,2.548819,1.674353,0.403762,-0.072351,0.370192
E9,A1,1,REGIME_MID,0.260607,0.461654,0.889578,0.766132,0.465138,0.024797,0.455627
E9,A1,1,REGIME_HIGH,0.473229,0.548113,1.543266,1.892026,0.54027,0.030602,0.564324
E9,A1,2,REGIME_LOW,0.169505,0.380756,2.72254,1.684585,0.389088,-0.042773,0.352827
E9,A1,2,REGIME_MID,0.565253,0.46417,0.998141,0.878901,0.472704,-0.007431,0.459551
E9,A1,2,REGIME_HIGH,0.265243,0.587655,1.616489,2.425073,0.590972,0.185119,0.584062
E9,A1,3,REGIME_LOW,0.364749,0.452381,0.809936,0.672764,0.458872,0.023816,0.451491
E9,A1,3,REGIME_MID,0.378997,0.493727,1.323198,1.302338,0.494467,-0.008492,0.485669
E9,A1,3,REGIME_HIGH,0.256254,0.484269,2.783481,2.590989,0.485995,0.324618,0.526321
E9,A1,4,REGIME_LOW,0.456144,0.469817,0.915565,0.807338,0.472035,0.019251,0.467871
E9,A1,4,REGIME_MID,0.253253,0.38306,2.793162,1.722714,0.38485,0.074454,0.373228
E9,A1,4,REGIME_HIGH,0.290603,0.601585,1.491803,2.312282,0.600573,0.32513,0.637215
