symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,stop_gross_mean,stop_eligible_rate,stop_signal_rate,stop_executable_rate,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_stop_gross_mean
AG,A9,td1,1048,74,-0.02844418093196247,0.06026638588551215,0.03182220495354964,0.9812580437580438,0.2854580982186937,0.2827691974084622,1048,0.0411791077192953,0.046044685543118705,0.08722379326241408
AG,A9,td3,1048,74,0.5392806700582814,-0.615370989681768,-0.07609031962348642,0.9812580437580438,0.6732824042850519,0.664836458339106,1048,0.1534742225699727,-0.39497772901567807,-0.24150350644570548
AG,A9,td5,1048,74,-0.2927721585776736,-0.5264975928835168,-0.8192697514611904,0.9812580437580438,0.7791646177776315,0.7791646177776315,1048,0.2536526059127689,-0.6717070174513713,-0.4180544115386022
AG,E9,td1,1048,74,0.02598974004422382,0.04372644667772608,0.06971618672194989,0.9835263835263836,0.2846596694316037,0.28220858197073145,1048,0.11015527520507475,-0.003317183568484065,0.10683809163659069
AG,E9,td3,1048,74,0.2855658775691548,0.3536993430430824,0.6392652206122375,0.9835263835263836,0.652312533164093,0.6421773980289578,1048,0.04247297813995705,0.0048834106201451405,0.04735638876010197
AG,E9,td5,1048,74,-0.7734833716051998,0.7308720174779213,-0.04261135412727845,0.9835263835263836,0.7587187900392977,0.7542142855347931,1048,-0.286616031875442,0.4193764697222058,0.13276043784676397
AL,A9,td1,1074,34,0.265297854061874,0.136820165704999,0.40211801976687306,0.9969040247678019,0.2095170576774751,0.19181432652488065,1074,0.01239113734322694,0.12085588705076819,0.1332470243939951
AL,A9,td3,1074,34,0.7908945758391948,-0.9920648751126857,-0.20117029927349125,0.9969040247678019,0.6470898643751203,0.6418121435306849,1074,-0.5137695575463967,0.17929051170483165,-0.33447904584156507
AL,A9,td5,1074,34,-0.9388141563130115,0.9001784148585147,-0.03863574145449708,0.9969040247678019,0.6683563973886965,0.6683563973886965,1074,-1.7577417238511597,1.4709292941549759,-0.28681242969618354
AL,E9,td1,1074,34,0.23774185468294629,0.15515595495898407,0.39289780964193044,0.9979946524064173,0.1977275400146366,0.18423929953636065,1074,-0.01878290122822738,0.053223166472569444,0.034440265244342065
