system,horizon,side,n_rows,n_gids,delta_ev_gross,delta_ev_ci_low,delta_ev_ci_high,break_even_incremental_exit_cost_atr,break_even_incremental_exit_cost_ci_low,break_even_incremental_exit_cost_ci_high,has_positive_gross_cost_capacity,delta_wrong_gross,delta_wrong_gross_ci_low,delta_wrong_gross_ci_high,delta_correct_gross,delta_correct_gross_ci_low,delta_correct_gross_ci_high,wlr_gross,wlr_gross_ci_low,wlr_gross_ci_high,cpe_gross,cpe_gross_ci_low,cpe_gross_ci_high,stop_eligible_rate,stop_signal_rate,stop_executable_rate,stop_hit_rate_correct,stop_hit_rate_wrong,raw_n_correct,raw_n_wrong
A9,td1,LONG,8662,535,0.03736024964584834,-0.03191932760783536,0.11112053822730511,0.03736024964584834,-0.03191932760783536,0.11112053822730511,True,0.13564790812183694,-0.011775768066292285,0.29345887329904385,-0.03426373653442435,-0.09187093135126549,0.026746580959594857,0.21882230655829316,0.09963499214257016,0.36120166784434315,0.05460186204723809,0.03451283006500995,0.07677221396987267,0.9818442699711658,0.2762497508933544,0.27204960442403725,0.1954745963853595,0.37713141624833674,5318,3344
A9,td1,SHORT,5111,427,0.11925760985361959,0.03035233512649812,0.21139063421138946,0.11925760985361959,0.03035233512649812,0.21139063421138946,True,0.2982615059846102,0.14016971190786406,0.46623187905847485,0.013322611055123001,-0.08555065256888131,0.11807971384553172,0.31379019313444245,0.15887173582371553,0.4787521488130729,0.05643448853729062,0.03465689764586469,0.08172967901268985,0.9869481455372694,0.2758632361986182,0.25985161058940326,0.19515186610797963,0.3691781454665506,3466,1645
A9,td3,LONG,8662,535,0.4839432951908443,0.11395814721919663,0.8751894682088213,0.4839432951908443,0.11395814721919663,0.8751894682088213,True,0.7813559419164702,0.04712767106924153,1.493026185164814,0.2672133452743085,-0.14637591752658183,0.7357037457229321,1.5619738452350649,1.012718890184906,2.1459810138188335,0.5422756056021563,0.42938387176430004,0.6609575486099772,0.9818442699711658,0.6085536805550177,0.6084612451573601,0.5156653974335227,0.7358024764330706,5318,3344
A9,td3,SHORT,5111,427,-0.047621597917891306,-0.48924916378040295,0.39287846107995456,-0.047621597917891306,-0.48924916378040295,0.39287846107995456,False,0.7995306918920129,-0.021333788445785103,1.699141780536227,-0.548968656517577,-0.9977179015530347,-0.10319834993245276,1.4917923804425914,0.8246413662539046,2.2409683126773245,0.8402194679916387,0.6294014167425724,1.0631820074550244,0.9869481455372694,0.6099824546974013,0.6024995044868822,0.5175682826390257,0.7460122225343911,3466,1645
A9,td5,LONG,8662,535,0.5477700254082372,-0.05860783958028641,1.1818008954777517,0.5477700254082372,-0.05860783958028641,1.1818008954777517,True,0.754172799396659,-0.36600330004390375,1.9032818779476324,0.3973606081839145,-0.2665218481961167,1.0931796382955745,2.323721669801197,1.4676274216052418,3.2081287538807657,0.9825210848511499,0.7482462927332336,1.2489155692467793,0.9818442699711658,0.6985483755038242,0.698512790045571,0.6188360394861517,0.8078510392146419,5318,3344
A9,td5,SHORT,5111,427,-0.48938836372243316,-1.2303222283102884,0.25358462541721793,-0.48938836372243316,-1.2303222283102884,0.25358462541721793,False,0.4654432039068529,-1.0351106341943137,1.887283687502362,-1.0544603155393693,-1.830565067265966,-0.2832599559350915,2.222077764221139,1.2300071179043368,3.2626025737007347,1.7075328947409258,1.32249278410997,2.1432859038498204,0.9869481455372694,0.6881666086764996,0.6881666086764996,0.617389736634713,0.8077619831527221,3466,1645
E9,td1,LONG,7086,481,0.03537940877234183,-0.04354684139447169,0.12265246339646411,0.03537940877234183,-0.04354684139447169,0.12265246339646411,True,0.12593308040831697,-0.05138982394635446,0.32185342548228135,-0.022552504235379307,-0.08830279182651643,0.04371770984519188,0.22362216222579506,0.09105249665188661,0.3975787092830069,0.05076769066881464,0.028686289157759243,0.07510931551063461,0.9961080225414773,0.27573619771503266,0.271890603209968,0.19814002341082532,0.38717051439129313,4502,2584
E9,td1,SHORT,6687,496,0.08480001619462957,-0.0021221331659854875,0.1738324165428936,0.08480001619462957,-0.0021221331659854875,0.1738324165428936,True,0.210075421541431,0.026008305465839574,0.3884063924363812,0.004540923819720164,-0.07501565905623227,0.0900895344432104,0.26141396624757585,0.10659495425209886,0.4185454501714238,0.048511301705052405,0.03115860089750517,0.06862333037495459,0.9686826871702814,0.26271982680638994,0.2475287633333529,0.16684060698266093,0.3734738892301301,4226,2461
E9,td3,LONG,7086,481,0.512985818263169,0.06983655264641717,0.9651053973589397,0.512985818263169,0.06983655264641717,0.9651053973589397,True,0.6320598002789092,-0.22605629305347752,1.5203897986699557,0.43680797320185105,-0.017870947640097747,0.9579697337889788,1.5014200712703794,0.8550741024251264,2.2313418677204004,0.5021156845631861,0.38468615965164765,0.6262905454660098,0.9961080225414773,0.6108393257876369,0.6107340332447869,0.516221042896704,0.7584677753046035,4502,2584
E9,td3,SHORT,6687,496,0.06756313740117384,-0.3327794163826331,0.4549269191413163,0.06756313740117384,-0.3327794163826331,0.4549269191413163,True,0.7620965376658567,0.00023506104877251508,1.4971182413974415,-0.3773974689923169,-0.7686933552720574,0.007186268009618608,1.4797317610411653,0.9078359310492778,2.0752605537949758,0.7398659054294894,0.5775174830137815,0.9262103192413919,0.9686826871702814,0.5960157323576133,0.5899193998510848,0.49601062338408664,0.7365004249961333,4226,2461
