ns,SHFE.ag2511,SHFE.ag2512,SHFE.ag2601,SHFE.ag2602,SHFE.ag2603,SHFE.ag2604,SHFE.ag2605,SHFE.ag2606,SHFE.ag2607,SHFE.ag2608,SHFE.ag2609,SHFE.ag2610,SHFE.ag2611
1734534000000000000,7773.0,,,,,,,,,,,,
1734534900000000000,7774.0,,,,,,,,,,,,
1734535800000000000,7778.0,,,,,,,,,,,,
1734536700000000000,7780.0,,,,,,,,,,,,
1734537600000000000,7768.0,,,,,,,,,,,,
1734538500000000000,7768.0,,,,,,,,,,,,
1734539400000000000,7763.0,,,,,,,,,,,,
1734540300000000000,7760.0,,,,,,,,,,,,
1734541200000000000,7759.0,,,,,,,,,,,,
1734542100000000000,7780.0,,,,,,,,,,,,
1734543000000000000,7780.0,,,,,,,,,,,,
1734543900000000000,7775.0,,,,,,,,,,,,
1734544800000000000,7788.0,,,,,,,,,,,,
1734545700000000000,7788.0,,,,,,,,,,,,
1734570000000000000,7612.0,,,,,,,,,,,,
1734570900000000000,7622.0,,,,,,,,,,,,
1734571800000000000,7640.0,,,,,,,,,,,,
1734572700000000000,7618.0,,,,,,,,,,,,
1734573600000000000,7610.0,,,,,,,,,,,,
1734575400000000000,7601.0,,,,,,,,,,,,
1734576300000000000,7610.0,,,,,,,,,,,,
1734577200000000000,7599.0,,,,,,,,,,,,
1734578100000000000,7585.0,,,,,,,,,,,,
1734586200000000000,7594.0,,,,,,,,,,,,
1734587100000000000,7582.0,,,,,,,,,,,,
1734588000000000000,7572.0,,,,,,,,,,,,
1734588900000000000,7598.0,,,,,,,,,,,,
1734589800000000000,7608.0,,,,,,,,,,,,
1734590700000000000,7614.0,,,,,,,,,,,,
1734613200000000000,7555.0,,,,,,,,,,,,
1734614100000000000,7564.0,,,,,,,,,,,,
1734615000000000000,7555.0,,,,,,,,,,,,
1734615900000000000,7541.0,,,,,,,,,,,,
1734616800000000000,7556.0,,,,,,,,,,,,
1734617700000000000,7559.0,,,,,,,,,,,,
1734618600000000000,7539.0,,,,,,,,,,,,
1734619500000000000,7522.0,,,,,,,,,,,,
1734620400000000000,7503.0,,,,,,,,,,,,
1734621300000000000,7489.0,,,,,,,,,,,,
1734622200000000000,7486.0,,,,,,,,,,,,
1734623100000000000,7492.0,,,,,,,,,,,,
1734624000000000000,7497.0,,,,,,,,,,,,
1734624900000000000,7501.0,,,,,,,,,,,,
1734625800000000000,7506.0,,,,,,,,,,,,
1734626700000000000,7506.0,,,,,,,,,,,,
1734627600000000000,7502.0,,,,,,,,,,,,
1734628500000000000,7500.0,,,,,,,,,,,,
1734629400000000000,7506.0,,,,,,,,,,,,
1734630300000000000,7512.0,,,,,,,,,,,,
1734631200000000000,7519.0,,,,,,,,,,,,
1734632100000000000,7519.0,,,,,,,,,,,,
1734656400000000000,7527.0,,,,,,,,,,,,
1734657300000000000,7530.0,,,,,,,,,,,,
1734658200000000000,7529.0,,,,,,,,,,,,
1734659100000000000,7537.0,,,,,,,,,,,,
1734660000000000000,7520.0,,,,,,,,,,,,
1734661800000000000,7503.0,,,,,,,,,,,,
1734662700000000000,7516.0,,,,,,,,,,,,
1734663600000000000,7514.0,,,,,,,,,,,,
1734664500000000000,7527.0,,,,,,,,,,,,
1734672600000000000,7526.0,,,,,,,,,,,,
1734673500000000000,7533.0,,,,,,,,,,,,
1734674400000000000,7534.0,,,,,,,,,,,,
1734675300000000000,7548.0,,,,,,,,,,,,
1734676200000000000,7547.0,,,,,,,,,,,,
1734677100000000000,7551.0,,,,,,,,,,,,
1734699600000000000,7533.0,,,,,,,,,,,,
1734700500000000000,7523.0,,,,,,,,,,,,
1734701400000000000,7554.0,,,,,,,,,,,,
1734702300000000000,7561.0,,,,,,,,,,,,
1734703200000000000,7577.0,,,,,,,,,,,,
1734704100000000000,7576.0,,,,,,,,,,,,
1734705000000000000,7590.0,,,,,,,,,,,,
1734705900000000000,7581.0,,,,,,,,,,,,
1734706800000000000,7590.0,,,,,,,,,,,,
1734707700000000000,7598.0,,,,,,,,,,,,
1734708600000000000,7621.0,,,,,,,,,,,,
1734709500000000000,7623.0,,,,,,,,,,,,
1734710400000000000,7628.0,,,,,,,,,,,,
1734711300000000000,7608.0,,,,,,,,,,,,
1734712200000000000,7609.0,,,,,,,,,,,,
1734713100000000000,7609.0,,,,,,,,,,,,
1734714000000000000,7609.0,,,,,,,,,,,,
1734714900000000000,7618.0,,,,,,,,,,,,
1734715800000000000,7610.0,,,,,,,,,,,,
1734716700000000000,7610.0,,,,,,,,,,,,
1734717600000000000,7617.0,,,,,,,,,,,,
1734718500000000000,7623.0,,,,,,,,,,,,
1734915600000000000,7619.0,,,,,,,,,,,,
