ns,contract
1760535900000000000,SHFE.ag2512
1760536800000000000,SHFE.ag2512
1760537700000000000,SHFE.ag2512
1760538600000000000,SHFE.ag2512
1760539500000000000,SHFE.ag2512
1760540400000000000,SHFE.ag2512
1760541300000000000,SHFE.ag2512
1760542200000000000,SHFE.ag2512
1760543100000000000,SHFE.ag2512
1760544000000000000,SHFE.ag2512
1760544900000000000,SHFE.ag2512
1760545800000000000,SHFE.ag2512
1760546700000000000,SHFE.ag2512
1760547600000000000,SHFE.ag2512
1760548500000000000,SHFE.ag2512
1760549400000000000,SHFE.ag2512
1760550300000000000,SHFE.ag2512
1760551200000000000,SHFE.ag2512
1760552100000000000,SHFE.ag2512
1760576400000000000,SHFE.ag2512
1760577300000000000,SHFE.ag2512
1760578200000000000,SHFE.ag2512
1760579100000000000,SHFE.ag2512
1760580000000000000,SHFE.ag2512
1760581800000000000,SHFE.ag2512
1760582700000000000,SHFE.ag2512
1760583600000000000,SHFE.ag2512
1760584500000000000,SHFE.ag2512
1760592600000000000,SHFE.ag2512
1760593500000000000,SHFE.ag2512
1760594400000000000,SHFE.ag2512
1760595300000000000,SHFE.ag2512
1760596200000000000,SHFE.ag2512
1760597100000000000,SHFE.ag2512
1760619600000000000,SHFE.ag2512
1760620500000000000,SHFE.ag2512
1760621400000000000,SHFE.ag2512
1760622300000000000,SHFE.ag2512
1760623200000000000,SHFE.ag2512
1760624100000000000,SHFE.ag2512
1760625000000000000,SHFE.ag2512
1760625900000000000,SHFE.ag2512
1760626800000000000,SHFE.ag2512
1760627700000000000,SHFE.ag2512
1760628600000000000,SHFE.ag2512
1760629500000000000,SHFE.ag2512
1760630400000000000,SHFE.ag2512
1760631300000000000,SHFE.ag2512
1760632200000000000,SHFE.ag2512
1760633100000000000,SHFE.ag2512
1760634000000000000,SHFE.ag2512
1760634900000000000,SHFE.ag2512
1760635800000000000,SHFE.ag2512
1760636700000000000,SHFE.ag2512
1760637600000000000,SHFE.ag2512
1760638500000000000,SHFE.ag2512
1760662800000000000,SHFE.ag2512
1760663700000000000,SHFE.ag2512
1760664600000000000,SHFE.ag2512
1760665500000000000,SHFE.ag2512
1760666400000000000,SHFE.ag2512
1760668200000000000,SHFE.ag2512
1760669100000000000,SHFE.ag2512
1760670000000000000,SHFE.ag2512
1760670900000000000,SHFE.ag2512
1760679000000000000,SHFE.ag2512
1760679900000000000,SHFE.ag2512
1760680800000000000,SHFE.ag2512
