contract,start,end,start_ns,end_ns,bars,factor
SHFE.ag2512,2025-10-15 21:45:00,2025-11-14 14:45:00,1760535900000000000,1763102700000000000,811,0.9808593563543294
SHFE.ag2602,2025-11-14 21:00:00,2025-11-19 02:00:00,1763125200000000000,1763488800000000000,95,0.9789570836632179
SHFE.ag2603,2025-11-19 02:15:00,2025-11-19 02:15:00,1763489700000000000,1763489700000000000,1,0.9786296732673438
SHFE.ag2602,2025-11-19 09:00:00,2025-11-20 13:30:00,1763514000000000000,1763616600000000000,47,0.9786296732673438
SHFE.ag2603,2025-11-20 13:45:00,2025-11-20 13:45:00,1763617500000000000,1763617500000000000,1,0.9781442418817945
SHFE.ag2602,2025-11-20 14:00:00,2025-11-20 14:15:00,1763618400000000000,1763619300000000000,2,0.9781442418817945
SHFE.ag2603,2025-11-20 14:30:00,2025-11-20 14:30:00,1763620200000000000,1763620200000000000,1,0.9779011642868933
SHFE.ag2602,2025-11-20 14:45:00,2025-11-20 14:45:00,1763621100000000000,1763621100000000000,1,0.9779011642868933
SHFE.ag2606,2025-11-20 21:00:00,2025-11-20 21:00:00,1763643600000000000,1763643600000000000,1,0.9777388839742006
SHFE.ag2608,2025-11-20 21:15:00,2025-11-20 21:15:00,1763644500000000000,1763644500000000000,1,0.9769308353097592
SHFE.ag2602,2025-11-20 21:30:00,2025-11-21 13:45:00,1763645400000000000,1763703900000000000,31,0.9769308353097592
SHFE.ag2603,2025-11-21 14:00:00,2025-11-21 14:15:00,1763704800000000000,1763705700000000000,2,0.9773482200979801
SHFE.ag2602,2025-11-21 14:30:00,2025-11-21 14:45:00,1763706600000000000,1763707500000000000,2,0.9773482200979801
SHFE.ag2603,2025-11-21 21:00:00,2025-11-21 21:00:00,1763730000000000000,1763730000000000000,1,0.9775156029066969
SHFE.ag2602,2025-11-21 21:15:00,2025-11-21 22:15:00,1763730900000000000,1763734500000000000,5,0.9775156029066969
SHFE.ag2603,2025-11-21 22:30:00,2025-11-21 22:30:00,1763735400000000000,1763735400000000000,1,0.9775989659975127
SHFE.ag2602,2025-11-21 22:45:00,2025-11-22 01:45:00,1763736300000000000,1763747100000000000,13,0.9775989659975127
SHFE.ag2603,2025-11-22 02:00:00,2025-11-22 02:00:00,1763748000000000000,1763748000000000000,1,0.9780918316219128
SHFE.ag2602,2025-11-22 02:15:00,2025-11-24 09:30:00,1763748900000000000,1763947800000000000,4,0.9780918316219128
SHFE.ag2611,2025-11-24 09:45:00,2025-11-24 09:45:00,1763948700000000000,1763948700000000000,1,0.9785889979206024
SHFE.ag2602,2025-11-24 10:00:00,2025-11-24 14:30:00,1763949600000000000,1763965800000000000,10,0.9785889979206024
SHFE.ag2603,2025-11-24 14:45:00,2025-11-24 14:45:00,1763966700000000000,1763966700000000000,1,0.9789199377237545
SHFE.ag2602,2025-11-24 21:00:00,2025-11-24 23:00:00,1763989200000000000,1763996400000000000,9,0.9789199377237545
SHFE.ag2603,2025-11-24 23:15:00,2025-11-24 23:15:00,1763997300000000000,1763997300000000000,1,0.9790841860354531
SHFE.ag2602,2025-11-24 23:30:00,2025-11-24 23:30:00,1763998200000000000,1763998200000000000,1,0.9790841860354531
SHFE.ag2603,2025-11-24 23:45:00,2025-11-25 00:00:00,1763999100000000000,1764000000000000000,2,0.9795768896432877
SHFE.ag2602,2025-11-25 00:15:00,2025-11-25 00:30:00,1764000900000000000,1764001800000000000,2,0.9795768896432877
SHFE.ag2603,2025-11-25 00:45:00,2025-11-25 00:45:00,1764002700000000000,1764002700000000000,1,0.9794129437203349
SHFE.ag2602,2025-11-25 01:00:00,2025-11-25 02:00:00,1764003600000000000,1764007200000000000,5,0.9794129437203349
SHFE.ag2603,2025-11-25 02:15:00,2025-11-25 02:15:00,1764008100000000000,1764008100000000000,1,0.9794947045470918
SHFE.ag2602,2025-11-25 09:00:00,2025-11-25 21:00:00,1764032400000000000,1764075600000000000,16,0.9794947045470918
SHFE.ag2611,2025-11-25 21:15:00,2025-11-25 21:15:00,1764076500000000000,1764076500000000000,1,0.9796562174013332
SHFE.ag2602,2025-11-25 21:30:00,2025-11-25 22:15:00,1764077400000000000,1764080100000000000,4,0.9796562174013332
SHFE.ag2611,2025-11-25 22:30:00,2025-11-25 22:30:00,1764081000000000000,1764081000000000000,1,0.9792524352657296
SHFE.ag2603,2025-11-25 22:45:00,2025-11-25 22:45:00,1764081900000000000,1764081900000000000,1,0.9794962730235148
SHFE.ag2602,2025-11-25 23:00:00,2025-11-25 23:00:00,1764082800000000000,1764082800000000000,1,0.9794962730235148
SHFE.ag2611,2025-11-25 23:15:00,2025-11-25 23:15:00,1764083700000000000,1764083700000000000,1,0.9801472633187868
SHFE.ag2602,2025-11-25 23:30:00,2025-11-26 00:45:00,1764084600000000000,1764089100000000000,6,0.9801472633187868
SHFE.ag2603,2025-11-26 01:00:00,2025-11-26 01:00:00,1764090000000000000,1764090000000000000,1,0.979984691206775
SHFE.ag2602,2025-11-26 01:15:00,2025-11-26 01:15:00,1764090900000000000,1764090900000000000,1,0.979984691206775
SHFE.ag2603,2025-11-26 01:30:00,2025-11-26 01:30:00,1764091800000000000,1764091800000000000,1,0.979903814365048
SHFE.ag2602,2025-11-26 01:45:00,2025-11-26 23:15:00,1764092700000000000,1764170100000000000,28,0.979903814365048
SHFE.ag2611,2025-11-26 23:30:00,2025-11-26 23:30:00,1764171000000000000,1764171000000000000,1,0.980865840526578
SHFE.ag2603,2025-11-26 23:45:00,2025-11-26 23:45:00,1764171900000000000,1764171900000000000,1,0.9804655198015243
SHFE.ag2602,2025-11-27 00:00:00,2025-11-27 01:30:00,1764172800000000000,1764178200000000000,7,0.9804655198015243
SHFE.ag2603,2025-11-27 01:45:00,2025-11-27 01:45:00,1764179100000000000,1764179100000000000,1,0.9805446342628977
SHFE.ag2602,2025-11-27 02:00:00,2025-11-27 09:45:00,1764180000000000000,1764207900000000000,6,0.9805446342628977
SHFE.ag2603,2025-11-27 10:00:00,2025-11-27 10:00:00,1764208800000000000,1764208800000000000,1,0.9803864946557268
SHFE.ag2602,2025-11-27 10:30:00,2025-12-02 00:30:00,1764210600000000000,1764606600000000000,99,0.9803864946557268
SHFE.ag2605,2025-12-02 00:45:00,2025-12-02 00:45:00,1764607500000000000,1764607500000000000,1,0.9823858261816089
SHFE.ag2602,2025-12-02 01:00:00,2025-12-02 01:15:00,1764608400000000000,1764609300000000000,2,0.9823858261816089
SHFE.ag2608,2025-12-02 01:30:00,2025-12-02 01:30:00,1764610200000000000,1764610200000000000,1,0.9826010414202933
SHFE.ag2602,2025-12-02 01:45:00,2025-12-02 02:00:00,1764611100000000000,1764612000000000000,2,0.9826010414202933
SHFE.ag2610,2025-12-02 02:15:00,2025-12-02 02:15:00,1764612900000000000,1764612900000000000,1,0.9823153600592175
SHFE.ag2602,2025-12-02 09:00:00,2025-12-02 10:00:00,1764637200000000000,1764640800000000000,5,0.9823153600592175
SHFE.ag2609,2025-12-02 10:30:00,2025-12-02 10:30:00,1764642600000000000,1764642600000000000,1,0.9828281272121193
SHFE.ag2603,2025-12-02 10:45:00,2025-12-02 10:45:00,1764643500000000000,1764643500000000000,1,0.9825366814037682
SHFE.ag2602,2025-12-02 11:00:00,2025-12-02 11:00:00,1764644400000000000,1764644400000000000,1,0.9825366814037682
SHFE.ag2603,2025-12-02 11:15:00,2025-12-02 11:15:00,1764645300000000000,1764645300000000000,1,0.9822457964414697
SHFE.ag2609,2025-12-02 13:30:00,2025-12-02 13:30:00,1764653400000000000,1764653400000000000,1,0.9823186417245046
SHFE.ag2602,2025-12-02 13:45:00,2025-12-02 14:45:00,1764654300000000000,1764657900000000000,5,0.9823186417245046
SHFE.ag2603,2025-12-02 21:00:00,2025-12-02 21:00:00,1764680400000000000,1764680400000000000,1,0.9825382360557396
SHFE.ag2602,2025-12-02 21:15:00,2025-12-02 22:30:00,1764681300000000000,1764685800000000000,6,0.9825382360557396
SHFE.ag2611,2025-12-02 22:45:00,2025-12-02 22:45:00,1764686700000000000,1764686700000000000,1,0.9830436569590605
SHFE.ag2602,2025-12-02 23:00:00,2025-12-02 23:30:00,1764687600000000000,1764689400000000000,3,0.9830436569590605
SHFE.ag2608,2025-12-02 23:45:00,2025-12-02 23:45:00,1764690300000000000,1764690300000000000,1,0.9831163135486362
SHFE.ag2602,2025-12-03 00:00:00,2025-12-03 14:15:00,1764691200000000000,1764742500000000000,23,0.9831163135486362
